date,edge_turnover,n_edges
2021-07-19,0.5416666666666667,123
2021-08-17,0.5257142857142857,135
2021-09-17,0.5217391304347826,137
2021-10-21,0.6649746192893401,126
2021-11-19,0.6201117318435754,121
2021-12-20,0.7091836734693877,132
2022-01-19,0.564516129032258,135
2022-02-24,0.5769230769230769,124
2022-03-25,0.5029585798816568,129
2022-04-26,0.7414634146341463,129
2022-05-27,0.6276595744680851,129
2022-06-27,0.5172413793103448,129
2022-07-26,0.6021505376344086,131
2022-08-24,0.6373056994818653,132
2022-09-26,0.7087378640776699,134
2022-10-25,0.7407407407407407,138
2022-11-23,0.5572916666666667,139
2022-12-22,0.5326086956521738,131
2023-01-30,0.5675675675675675,134
2023-02-28,0.6717171717171717,129
2023-03-29,0.6770833333333333,125
2023-04-27,0.6388888888888888,120
2023-05-31,0.6453488372093024,113
2023-06-29,0.7102272727272727,114
2023-07-28,0.6705882352941177,112
2023-08-28,0.7219251336898396,127
2023-09-28,0.625,126
2023-10-27,0.6174863387978142,127
2023-11-27,0.563953488372093,120
2023-12-26,0.5325443786982249,128
2024-01-25,0.6595744680851063,124
2024-03-01,0.6193181818181819,119
2024-04-01,0.5283018867924528,115
2024-05-06,0.5063291139240507,121
2024-06-04,0.5411764705882354,127
2024-07-03,0.5310734463276836,133
2024-08-01,0.5833333333333333,122
2024-08-30,0.5780346820809248,124
2024-10-02,0.5476190476190477,120
2024-10-31,0.6914285714285715,109
2024-11-29,0.6196319018404908,116
2024-12-30,0.5795454545454546,134
2025-02-05,0.5760869565217391,128
2025-03-06,0.5114942528735632,131
2025-04-04,0.7087378640776699,135
2025-05-09,0.6568627450980392,139
2025-06-09,0.3828571428571429,144
2025-07-08,0.5867346938775511,133
2025-08-06,0.6649746192893401,130
2025-09-08,0.5469613259668509,133
2025-10-07,0.5028901734104047,126
2025-11-05,0.644808743169399,122
2025-12-04,0.6201117318435754,125
2026-01-06,0.5287356321839081,131
2026-02-04,0.625668449197861,126
2026-03-12,0.49696969696969695,122
2026-04-10,0.5748502994011976,116
2026-05-14,0.5465838509316769,118
