ticker,rmse_A,rmse_B,rmse_C
ACB,0.0001902329561289351,0.00020200787198610036,0.00020847611749408442
BCM,0.000416405909749878,0.00041273198572598586,0.0004674026853214706
BID,0.00045474489457748304,0.000460856783478647,0.0004527566961875213
BVH,0.0006010070444513561,0.0005977745258919847,0.0006063883154660311
CTG,0.00031472060065900636,0.0003229587521062988,0.00031728331176541813
FPT,0.00028199416443428047,0.0002761230803626324,0.00028093220789582795
GAS,0.0007435315191744543,0.000743294295010142,0.0007974192425574192
GVR,0.0007356990001122192,0.0007608810939024233,0.0007581909470134674
HDB,0.000428133802693207,0.0004214358867350253,0.0004264210403721097
HPG,0.00025185465060268233,0.0002814495487649866,0.00026968387164339375
LPB,0.0004635119780070832,0.0004787593048327721,0.00046663409084834117
MBB,0.0002685427218205173,0.0002866317474822019,0.0002813631288137203
MSN,0.00034165620226038663,0.0003935437961504834,0.00041677620241466624
MWG,0.0003987598905198665,0.00039713192130336075,0.0003957111050527834
NVL,0.0006879795824343999,0.0006862090292236009,0.000692006183406393
PDR,0.000697319197866162,0.0006953337947883897,0.00071865083776829
PLX,0.0009479810871447693,0.001001934169484851,0.0009719942333524385
POW,0.0004148141136170096,0.0004113494185210574,0.0004135914706729499
SAB,0.0003470158560607742,0.00035459437056852006,0.0004154156207964224
SHB,0.000314620179253818,0.00033016635847519935,0.0003256111907787667
SSB,0.00026086450825966897,0.00025810510211058963,0.00026184919695697816
SSI,0.00044038879981971886,0.00045298719850669087,0.0004548863846069144
STB,0.0005662421100216796,0.0005582636973633221,0.0005599711081019741
TCB,0.0003161716928059805,0.0003270663709866297,0.00031725821489804294
TPB,0.0003311578476657468,0.0003284846473456607,0.00032362307963023593
VCB,0.0002835955635376681,0.00028503034986470234,0.0002856272313510635
VHM,0.0007954699686647044,0.0008162892878849167,0.0008288346787074217
VIB,0.0002745815439447763,0.0003155153982099693,0.00032257695420024815
VIC,0.0007694775813552777,0.000803873055216981,0.0007850361549378339
VJC,0.0005794225200709806,0.0005990731814085313,0.0005927785913219943
VNM,0.0002522837368828802,0.00025811034902988966,0.0002600701716091782
VPB,0.0003971616626280943,0.0003877114167238891,0.00039125293003309435
VRE,0.000657079627855783,0.0006993660954700461,0.0006900698203143734
