baseline,rmse,r2,qlike,dir_acc,n
A_own,0.0005006419749056916,0.29632464615050147,0.380051164647696,33.412247474747474,6369
B_own+market,0.0005132326170230785,0.26048613648735064,0.4017954520203055,39.42550505050505,6369
C_own+neighbors,0.0005172213572145332,0.24894676459671272,0.41848152059865384,40.83017676767677,6369
