date,n_edges,density,avg_degree
2021-06-18,147,0.2784090909090909,8.909090909090908
2021-07-19,233,0.4412878787878788,14.121212121212121
2021-08-17,297,0.5625,18.0
2021-09-17,344,0.6515151515151515,20.848484848484848
2021-10-21,129,0.24431818181818182,7.818181818181818
2021-11-19,102,0.19318181818181818,6.181818181818182
2021-12-20,203,0.38446969696969696,12.303030303030303
2022-01-19,243,0.4602272727272727,14.727272727272727
2022-02-24,260,0.49242424242424243,15.757575757575758
2022-03-25,230,0.4356060606060606,13.93939393939394
2022-04-26,432,0.8181818181818182,26.181818181818183
2022-05-27,487,0.9223484848484849,29.515151515151516
2022-06-27,450,0.8522727272727273,27.272727272727273
2022-07-26,426,0.8068181818181818,25.818181818181817
2022-08-24,322,0.6098484848484849,19.515151515151516
2022-09-26,213,0.4034090909090909,12.909090909090908
2022-10-25,461,0.8731060606060606,27.939393939393938
2022-11-23,426,0.8068181818181818,25.818181818181817
2022-12-22,378,0.7159090909090909,22.90909090909091
2023-01-30,415,0.7859848484848485,25.151515151515152
2023-02-28,313,0.5928030303030303,18.96969696969697
2023-03-29,196,0.3712121212121212,11.878787878787879
2023-04-27,189,0.35795454545454547,11.454545454545455
2023-05-31,100,0.1893939393939394,6.0606060606060606
2023-06-29,68,0.12878787878787878,4.121212121212121
2023-07-28,57,0.10795454545454546,3.4545454545454546
2023-08-28,318,0.6022727272727273,19.272727272727273
2023-09-28,379,0.7178030303030303,22.96969696969697
2023-10-27,353,0.6685606060606061,21.393939393939394
2023-11-27,337,0.6382575757575758,20.424242424242426
2023-12-26,426,0.8068181818181818,25.818181818181817
2024-01-25,349,0.6609848484848485,21.151515151515152
2024-03-01,142,0.2689393939393939,8.606060606060606
2024-04-01,226,0.42803030303030304,13.696969696969697
2024-05-06,323,0.6117424242424242,19.575757575757574
2024-06-04,316,0.5984848484848485,19.151515151515152
2024-07-03,280,0.5303030303030303,16.96969696969697
2024-08-01,201,0.3806818181818182,12.181818181818182
2024-08-30,286,0.5416666666666666,17.333333333333332
2024-10-02,311,0.5890151515151515,18.848484848484848
2024-10-31,97,0.18371212121212122,5.878787878787879
2024-11-29,84,0.1590909090909091,5.090909090909091
2024-12-30,173,0.32765151515151514,10.484848484848484
2025-02-05,163,0.3087121212121212,9.878787878787879
2025-03-06,127,0.24053030303030304,7.696969696969697
2025-04-04,306,0.5795454545454546,18.545454545454547
2025-05-09,465,0.8806818181818182,28.181818181818183
2025-06-09,445,0.8428030303030303,26.96969696969697
2025-07-08,386,0.7310606060606061,23.393939393939394
2025-08-06,300,0.5681818181818182,18.181818181818183
2025-09-08,320,0.6060606060606061,19.393939393939394
2025-10-07,332,0.6287878787878788,20.12121212121212
2025-11-05,324,0.6136363636363636,19.636363636363637
2025-12-04,340,0.6439393939393939,20.606060606060606
2026-01-06,309,0.5852272727272727,18.727272727272727
2026-02-04,206,0.39015151515151514,12.484848484848484
2026-03-12,194,0.36742424242424243,11.757575757575758
2026-04-10,209,0.3958333333333333,12.666666666666666
2026-05-14,240,0.45454545454545453,14.545454545454545
