date,market_pk
2021-03-24,0.01672204189251624
2021-03-25,0.01362191981522717
2021-03-26,0.02390137385291786
2021-03-29,0.01141475696155099
2021-03-30,0.0120045625079977
2021-03-31,0.011648177484784729
2021-04-01,0.01545388952365296
2021-04-02,0.011109760538146742
2021-04-05,0.015670052195208506
2021-04-06,0.013680801251069548
2021-04-07,0.011097355165711174
2021-04-08,0.010798976888542042
2021-04-09,0.010304547989833924
2021-04-12,0.011767212407337179
2021-04-13,0.0171928116418101
2021-04-14,0.014500009132006197
2021-04-15,0.018443645920854564
2021-04-16,0.023781346262083985
2021-04-19,0.017151608750774996
2021-04-20,0.019814125531339915
2021-04-22,0.02541507849849439
2021-04-23,0.02258014852907103
2021-04-26,0.024048513880454512
2021-04-27,0.015544804877443424
2021-04-28,0.014598706289512866
2021-04-29,0.016081226817873287
2021-05-04,0.02284831142269836
2021-05-05,0.01591794641743726
2021-05-06,0.016085581219172602
2021-05-07,0.017465046082924887
2021-05-10,0.02186038883171592
2021-05-11,0.016006063534252404
2021-05-12,0.014474143271674714
2021-05-13,0.01809358886492718
2021-05-14,0.013655913608897913
2021-05-17,0.01879424012492136
2021-05-18,0.014293449035287228
2021-05-19,0.01865692601935888
2021-05-20,0.015931638108703343
2021-05-21,0.019076845662425304
2021-05-24,0.011661749029351933
2021-05-25,0.015284568190718306
2021-05-26,0.012551370196697732
2021-05-27,0.020101149890370453
2021-05-28,0.014048855931610862
2021-05-31,0.018754768048224575
2021-06-01,0.017625560030252164
2021-06-02,0.017818468055501045
2021-06-03,0.018608822927316315
2021-06-04,0.019922730776142147
2021-06-07,0.0267805851121666
2021-06-08,0.03291872848854261
2021-06-09,0.021348593163519405
2021-06-10,0.019512626886150138
2021-06-11,0.018931902479255754
2021-06-14,0.016156785382950668
2021-06-15,0.016458256810191477
2021-06-16,0.01710244708204476
2021-06-17,0.02049139724315917
2021-06-18,0.012092244844489959
2021-06-21,0.017844812091407397
2021-06-22,0.01411091148854545
2021-06-23,0.013738320599130669
2021-06-24,0.013863821901538644
2021-06-25,0.012906539796613504
2021-06-28,0.01638028244989339
2021-06-29,0.013394194145113772
2021-06-30,0.014589248707219699
2021-07-01,0.014684379580916734
2021-07-02,0.012592873731129403
2021-07-05,0.01817788222549869
2021-07-06,0.03590630426984011
2021-07-07,0.029336397120279398
2021-07-08,0.01888600825086677
2021-07-09,0.028565758790888286
2021-07-12,0.038738662534138144
2021-07-13,0.025098794974946857
2021-07-14,0.02542163068688401
2021-07-15,0.02322318598739322
2021-07-16,0.013257960140598107
2021-07-19,0.02747785765745878
2021-07-20,0.030567151888223593
2021-07-21,0.01507369995068181
2021-07-22,0.018961357733988174
2021-07-23,0.019213449371810583
2021-07-26,0.01848026439008294
2021-07-27,0.014531717592492535
2021-07-28,0.011016892872929708
2021-07-29,0.011762881496324797
2021-07-30,0.012970489924186866
2021-08-02,0.014284597034261054
2021-08-03,0.012185566907713106
2021-08-04,0.010894833100151926
2021-08-05,0.013138589891405702
2021-08-06,0.013716558622565414
2021-08-09,0.015777471412577567
2021-08-10,0.01280800300401956
2021-08-11,0.013866386939025324
2021-08-12,0.010797211842758708
2021-08-13,0.013416511275361654
2021-08-16,0.01740879005699348
2021-08-17,0.011892689699143848
2021-08-18,0.011266976213446621
2021-08-19,0.01162249794575296
2021-08-20,0.02909495939495729
2021-08-23,0.0186004392487887
2021-08-24,0.014345356595699766
2021-08-25,0.012842678661943135
2021-08-26,0.014106451253070921
2021-08-27,0.016729806147028698
2021-08-30,0.012718646417961846
2021-08-31,0.01306295445419263
2021-09-01,0.011212607029020293
2021-09-06,0.012142047815944843
2021-09-07,0.015170261447478888
2021-09-08,0.012682802092956354
2021-09-09,0.010362881821510584
2021-09-10,0.009743832098563089
2021-09-13,0.011101262563664952
2021-09-14,0.01114762780200592
2021-09-15,0.009624584262142081
2021-09-16,0.009439270220096482
2021-09-17,0.012830724978759624
2021-09-20,0.015025841277680285
2021-09-21,0.012336891793650223
2021-09-22,0.010985027124416924
2021-09-23,0.01146939936470512
2021-09-24,0.010444805949537282
2021-09-27,0.017214716310145952
2021-09-28,0.01359823141436362
2021-09-29,0.011271212675699093
2021-09-30,0.009920894244397151
2021-10-01,0.015424570587016018
2021-10-04,0.016880591953997683
2021-10-05,0.011302597496036869
2021-10-11,0.013701610357095275
2021-10-12,0.010169670735408495
2021-10-13,0.011077224784724797
2021-10-14,0.009131371543475267
2021-10-15,0.010060661725488087
2021-10-18,0.011099796967012108
2021-10-19,0.01137366862645998
2021-10-20,0.015899305906270974
2021-10-21,0.012388152660741315
2021-10-22,0.009292420638766829
2021-10-25,0.011416306920056707
2021-10-26,0.012391661165516753
2021-10-27,0.014160064616249165
2021-10-28,0.011439606913117337
2021-10-29,0.012856378743160635
2021-11-01,0.012232325621892033
2021-11-02,0.010234443258415837
2021-11-03,0.0189298843067603
2021-11-04,0.013768244364714976
2021-11-05,0.011959001379363171
2021-11-08,0.012952294190894961
2021-11-09,0.011956437258676188
2021-11-10,0.012100794199590474
2021-11-11,0.018798442519057993
2021-11-12,0.01397366911881651
2021-11-15,0.014571636683452864
2021-11-16,0.014725530821469487
2021-11-17,0.0109887592936004
2021-11-18,0.013420936818658729
2021-11-19,0.022817021053931828
2021-11-22,0.02486845572038691
2021-11-23,0.017126990784883223
