source,target,mean_corr,std_corr,sign_consistency,persistence_0.2,persistence_0.3,persistence_0.4,persistence_0.5,same_sector
ACB,BCM,0.172116815148974,0.16690503132003223,0.8305084745762712,0.4576271186440678,0.23728813559322035,0.06779661016949153,0.05084745762711865,0
ACB,BID,0.49743787714571536,0.18912957309771344,1.0,0.9491525423728814,0.847457627118644,0.6101694915254238,0.5084745762711864,1
ACB,BVH,0.33536550224114103,0.20922998287074257,0.9322033898305084,0.711864406779661,0.6440677966101694,0.3728813559322034,0.1864406779661017,0
ACB,CTG,0.5408681303295231,0.17728712082795636,1.0,0.9661016949152542,0.9152542372881356,0.8135593220338984,0.6610169491525424,1
ACB,FPT,0.3551442016790306,0.19518196334121607,0.9830508474576272,0.7627118644067796,0.559322033898305,0.4406779661016949,0.2542372881355932,0
ACB,GAS,0.25818154409554234,0.22290046671285743,0.864406779661017,0.5932203389830508,0.3559322033898305,0.2542372881355932,0.1016949152542373,0
ACB,GVR,0.349692074022824,0.19865320281206006,0.9830508474576272,0.7796610169491526,0.6101694915254238,0.4576271186440678,0.22033898305084745,0
ACB,HDB,0.44893726817745055,0.2342142763856336,0.9661016949152542,0.847457627118644,0.7457627118644068,0.576271186440678,0.423728813559322,1
ACB,HPG,0.38939595236877744,0.18233326169956515,1.0,0.8813559322033898,0.6949152542372882,0.3898305084745763,0.2542372881355932,0
ACB,LPB,0.4071525850145874,0.2425329697222887,0.9491525423728814,0.7627118644067796,0.6440677966101694,0.559322033898305,0.423728813559322,1
ACB,MBB,0.6207167383654767,0.14525452873248634,1.0,1.0,1.0,0.8983050847457628,0.7627118644067796,1
ACB,MSN,0.31893000870173305,0.2013913650877561,0.8983050847457628,0.7627118644067796,0.5932203389830508,0.3389830508474576,0.2033898305084746,0
ACB,MWG,0.35243035252850746,0.19911584523741116,0.9830508474576272,0.7627118644067796,0.5932203389830508,0.3559322033898305,0.1864406779661017,0
ACB,NVL,0.15535498554899377,0.20258310514966757,0.7966101694915254,0.4576271186440678,0.23728813559322035,0.11864406779661017,0.05084745762711865,0
ACB,PDR,0.24363349549730565,0.212905353220911,0.847457627118644,0.5932203389830508,0.4576271186440678,0.2711864406779661,0.13559322033898305,0
ACB,PLX,0.35367343988011984,0.19572168614259078,0.9830508474576272,0.7627118644067796,0.576271186440678,0.3898305084745763,0.2711864406779661,0
ACB,POW,0.3447362984380717,0.2383564649048975,0.8983050847457628,0.6779661016949152,0.559322033898305,0.4745762711864407,0.3050847457627119,0
ACB,SAB,0.20279983408427316,0.223405177176341,0.7796610169491526,0.5084745762711864,0.3220338983050847,0.13559322033898305,0.0847457627118644,0
ACB,SHB,0.43860601027431584,0.1972929649193855,0.9491525423728814,0.8813559322033898,0.7796610169491526,0.6610169491525424,0.4067796610169492,1
ACB,SSB,0.35491800606759644,0.20683742732313248,0.9830508474576272,0.6949152542372882,0.5932203389830508,0.4915254237288136,0.2711864406779661,1
ACB,SSI,0.4270680918127471,0.1826388105480968,1.0,0.8983050847457628,0.7627118644067796,0.576271186440678,0.3728813559322034,0
ACB,STB,0.48218255787949765,0.19188845630270512,1.0,0.9491525423728814,0.7627118644067796,0.6610169491525424,0.4406779661016949,1
ACB,TCB,0.5670214262399664,0.166573654429094,1.0,0.9830508474576272,0.9661016949152542,0.847457627118644,0.6779661016949152,1
ACB,TPB,0.5205128237627273,0.1626834648282836,1.0,0.9491525423728814,0.9322033898305084,0.7627118644067796,0.576271186440678,1
ACB,VCB,0.3920036928936163,0.22732327152290108,0.9830508474576272,0.7966101694915254,0.6779661016949152,0.3898305084745763,0.3050847457627119,1
ACB,VHM,0.2583693062969565,0.19348316394992254,0.9322033898305084,0.559322033898305,0.3559322033898305,0.2711864406779661,0.15254237288135594,0
ACB,VIB,0.5112281344561961,0.15003288473640014,1.0,0.9661016949152542,0.9322033898305084,0.7966101694915254,0.5254237288135594,1
ACB,VIC,0.2359344995870982,0.19876047986851023,0.8983050847457628,0.5254237288135594,0.3728813559322034,0.23728813559322035,0.1016949152542373,0
ACB,VJC,0.28980329384894077,0.19219533962508695,0.9661016949152542,0.6271186440677966,0.4915254237288136,0.23728813559322035,0.15254237288135594,0
ACB,VNM,0.267283867147009,0.2152500095126261,0.9661016949152542,0.559322033898305,0.4067796610169492,0.23728813559322035,0.13559322033898305,0
ACB,VPB,0.4810461012685712,0.17289009081260168,0.9830508474576272,0.9491525423728814,0.8813559322033898,0.6779661016949152,0.423728813559322,1
ACB,VRE,0.2677744574714198,0.2253111795284095,0.9152542372881356,0.5932203389830508,0.423728813559322,0.2542372881355932,0.1694915254237288,0
BCM,BID,0.26942351926361124,0.1898744137796366,0.8983050847457628,0.711864406779661,0.5254237288135594,0.2542372881355932,0.05084745762711865,0
