config,n_nodes,n_edges,density,avg_degree,n_connected_components,largest_component_frac,avg_clustering,n_communities,modularity
pk_topk5,33,134,0.2537878787878788,8.121212121212121,1,1.0,0.5476948976948978,4,0.30589725263033213
pk_topk8,33,207,0.39204545454545453,12.545454545454545,1,1.0,0.6039817563783227,4,0.20684295635203892
pk_threshold_0.3,33,373,0.7064393939393939,22.606060606060606,1,1.0,0.8412312935719415,4,0.059584448076920524
