edge_definition,gain_over_har_pct,winrate_over_har,sign_p_over_har,gain_over_market_pct,winrate_over_market,sign_p_over_market,n_stocks
edge_vol2pk_dir,0.23623872737384824,0.6060606060606061,0.296206368599087,0.17472482494006394,0.6666666666666666,0.08014331245794892,33
edge_residcorr,-0.7610930187451526,0.21212121212121213,0.0013187271542847157,-0.9245731254733467,0.30303030303030304,0.03508203336969018,33
edge_leadlag_dir,-2.722779369674118,0.30303030303030304,0.03508203336969018,-1.1489971811921587,0.3333333333333333,0.08014331245794892,33
edge_pkcorr_abs,-3.480396402727064,0.2727272727272727,0.013530986849218607,-2.200049391908504,0.2727272727272727,0.013530986849218607,33
edge_pkcorr_pos,-3.480396402727064,0.2727272727272727,0.013530986849218607,-2.200049391908504,0.2727272727272727,0.013530986849218607,33
edge_multi,-3.614083415325069,0.15151515151515152,6.618769839406013e-05,-2.2132829432031818,0.24242424242424243,0.004551384132355452,33
