source,target,corr,raw_p,n_obs,fdr_q,significant_fdr_0.05,same_sector
MBB,TCB,0.7406051520750009,1.1017648941693038e-225,1296,5.817318641213924e-223,True,1
CTG,MBB,0.73686023824695,2.929178499404339e-222,1296,7.733031238427455e-220,True,1
ACB,MBB,0.7165022321672265,1.2731598583914517e-204,1296,2.240761350768955e-202,True,1
VHM,VIC,0.6933573753453319,2.270768736232403e-186,1296,2.997414731826772e-184,True,1
ACB,TCB,0.6901352020623965,5.757097805818003e-184,1296,6.07949528294381e-182,True,1
MBB,TPB,0.6666455679664329,2.36860746328448e-167,1296,2.0843745676903422e-165,True,1
MBB,VIB,0.6663319990280127,3.85489334296576e-167,1296,2.9076909786941734e-165,True,1
BID,CTG,0.6660859576080106,5.646768578697935e-167,1296,3.7268672619406373e-165,True,1
CTG,TCB,0.6590080424621088,2.8444142447591773e-162,1296,1.6687230235920506e-160,True,1
HPG,SSI,0.6583773374433546,7.358766558676745e-162,1296,3.8854287429813216e-160,True,0
GAS,PLX,0.64572274300646,8.774848274409446e-154,1296,4.2119271717165336e-152,True,1
MBB,STB,0.6416920824506761,2.727163557219238e-151,1296,1.1999519651764647e-149,True,1
BID,MBB,0.6415668639352963,3.2549407431250147e-151,1296,1.322006701823083e-149,True,1
ACB,CTG,0.6407355593027648,1.0512540220150799e-150,1296,3.964729454456873e-149,True,1
TPB,VIB,0.6402431000582727,2.1017913862195375e-150,1296,7.398305679492772e-149,True,1
STB,TCB,0.6383345782444374,3.044085571362758e-149,1296,1.0045482385497102e-147,True,1
ACB,TPB,0.6364990482060683,3.91009931173104e-148,1296,1.2144308450552877e-146,True,1
STB,VIB,0.6277915166527651,5.63230375185355e-143,1296,1.6521424338770416e-141,True,1
TCB,TPB,0.6254582382338911,1.2740449864559104e-141,1296,3.5405039623616874e-140,True,1
TCB,VIB,0.624616195843257,3.900998841814652e-141,1296,1.029863694239068e-139,True,1
HDB,MBB,0.6245752061698611,4.1190330105254176e-141,1296,1.0356425855035336e-139,True,1
