source,target,corr,raw_p,n_obs,fdr_q,significant_fdr_0.05,same_sector
ACB,VIB,0.6196888815660366,2.5431539332643895e-138,1296,6.103569439834535e-137,True,1
SHB,VIB,0.6169942755978214,8.38028896888462e-137,1296,1.9238228589439475e-135,True,1
CTG,STB,0.6135354165588209,7.082118448277287e-135,1296,1.558066058621003e-133,True,1
CTG,TPB,0.6134903469826787,7.5008978818915e-135,1296,1.5841896326554846e-133,True,1
CTG,VIB,0.6085870680297979,3.677836104778208e-132,1296,7.468836397395746e-131,True,1
LPB,MBB,0.6042105738137051,8.463665645657346e-130,1296,1.655116837372992e-128,True,1
MBB,SSI,0.6040516917690306,1.0294763484457882e-129,1296,1.9412982570692008e-128,True,0
HDB,TCB,0.603662710327646,1.6620959210388046e-129,1296,3.0261608493396166e-128,True,1
ACB,STB,0.6027424305615503,5.148839008985971e-129,1296,9.061956655815309e-128,True,1
MBB,SHB,0.6013131225274335,2.959420317773996e-128,1296,5.040561057369903e-127,True,1
MBB,VPB,0.5967567177153756,7.360388330077443e-126,1296,1.214464074462778e-124,True,1
HDB,STB,0.5888007741520204,9.100211119520011e-122,1296,1.4560337791232017e-120,True,1
BID,VCB,0.5886257407606102,1.1163602771049022e-121,1296,1.7336418420923185e-120,True,1
HDB,TPB,0.5884895375646026,1.3086707874663678e-121,1296,1.9742233593778346e-120,True,1
ACB,HDB,0.5870593784891094,6.912555326573619e-121,1296,1.0138414478974641e-119,True,1
BID,STB,0.5804927615734575,1.2960444967368762e-117,1296,1.837111839039123e-116,True,1
SSI,VIB,0.5804751758827275,1.322163823550884e-117,1296,1.837111839039123e-116,True,0
ACB,LPB,0.5800868855748174,2.0534352570901704e-117,1296,2.780035424983615e-116,True,1
SSI,STB,0.5796899516804657,3.218601550703788e-117,1296,4.2485540469289997e-116,True,0
ACB,SHB,0.5775150760717895,3.735784663688107e-116,1296,4.810961713237367e-115,True,1
STB,TPB,0.5771019286589306,5.939301471337159e-116,1296,7.466550421109571e-115,True,1
SHB,TPB,0.5763916925510614,1.3158562472211237e-115,1296,1.5897573930243871e-114,True,1
HDB,VIB,0.5763856385204339,1.3247978275203225e-115,1296,1.5897573930243871e-114,True,1
LPB,STB,0.5751386815249264,5.328883453307789e-115,1296,6.252556585214473e-114,True,1
TCB,VPB,0.5738629279889367,2.1998725028809006e-114,1296,2.5250710467850339e-113,True,1
VHM,VRE,0.5726920667059674,8.038105667772968e-114,1296,9.030042111881122e-113,True,1
SSI,TCB,0.5725364781832729,9.544743731918346e-114,1296,1.049921810511018e-112,True,0
TPB,VPB,0.5724394467955323,1.0623662252590507e-113,1296,1.1447538100750588e-112,True,1
CTG,HDB,0.5723673787672149,1.1502931105538871e-113,1296,1.2147095247449047e-112,True,1
CTG,LPB,0.5712911120698638,3.7629378125611526e-113,1296,3.895747382416252e-112,True,1
SSI,TPB,0.5699502649280103,1.6372722090082496e-112,1296,1.662461012223761e-111,True,0
CTG,SSI,0.5680622204485326,1.283373183280187e-111,1296,1.2785302656074317e-110,True,0
SHB,TCB,0.5673937709880401,2.6519422813771427e-111,1296,2.5930102306798726e-110,True,1
ACB,VPB,0.5673064917249394,2.915196321967109e-111,1296,2.7985884690884246e-110,True,1
HPG,MBB,0.5667003226334333,5.6208398748892966e-111,1296,5.299649024895622e-110,True,0
CTG,VPB,0.5642486072333563,7.889235064894036e-110,1296,7.307923007480791e-109,True,1
ACB,BID,0.5601891341470994,5.964546544889988e-108,1296,5.4297940960377824e-107,True,1
LPB,VIB,0.5584831114211815,3.608428872733849e-107,1296,3.229238042039783e-106,True,1
LPB,TCB,0.5583231018129143,4.269781530775824e-107,1296,3.757407747082725e-106,True,1
BID,VIB,0.5541252161154735,3.417658320417761e-105,1296,2.958235398656685e-104,True,1
SHB,SSI,0.5535273801857099,6.34725628311782e-105,1296,5.405405350784208e-104,True,0
BVH,GAS,0.5531700676068607,9.18365513902503e-105,1296,7.696777640325739e-104,True,0
SHB,STB,0.5513789260513605,5.81159484578816e-104,1296,4.794565747775232e-103,True,1
HPG,TCB,0.5510122111551251,8.467371967912165e-104,1296,6.878111383165573e-103,True,0
LPB,SHB,0.5503403109452834,1.68540275265798e-103,1296,1.348322202126384e-102,True,1
CTG,SHB,0.5483204691456743,1.3222909007689365e-102,1296,1.0420441725462663e-101,True,1
ACB,SSI,0.5477605598870448,2.3347490139708102e-102,1296,1.812863940259688e-101,True,0
ACB,VCB,0.5476084059247088,2.7243161568130175e-102,1296,2.0846941026047436e-101,True,1
POW,VIB,0.5465559074963939,7.904879693354512e-102,1296,5.962537825844547e-101,True,0
SSI,VPB,0.5448446214793421,4.4320793054604223e-101,1296,3.295968835610004e-100,True,0
HDB,LPB,0.5438548310808156,1.1958718297038144e-100,1296,8.769726751161305e-100,True,1
HPG,STB,0.5435841345528667,1.5679379578549252e-100,1296,1.1340701941745212e-99,True,0
BID,TCB,0.5416929601882889,1.0333341464462287e-99,1296,7.372978774643362e-99,True,1
ACB,HPG,0.541567132078566,1.1709586902672367e-99,1296,8.243549179481347e-99,True,0
LPB,SSI,0.5411546136558577,1.7636055524890155e-99,1296,1.2252417522555265e-98,True,0
HPG,MSN,0.5396841598839403,7.557707695544216e-99,1296,5.1824281340874625e-98,True,0
STB,VPB,0.5392870038249973,1.1182745710602412e-98,1296,7.569858634869325e-98,True,1
POW,TPB,0.5382092441214393,3.229696999004566e-98,1296,2.1585822980688745e-97,True,0
VIB,VPB,0.5379009085140682,4.371509503188108e-98,1296,2.8566723123623054e-97,True,1
HDB,SSI,0.5378983740438001,4.382395024646718e-98,1296,2.8566723123623054e-97,True,0
HPG,TPB,0.5360936995511671,2.561318381941919e-97,1296,1.6492391532504063e-96,True,0
MWG,TCB,0.5339964807664928,1.9664718012523693e-96,1296,1.2509603747725916e-95,True,0
LPB,TPB,0.5331510077652328,4.4544897229318706e-96,1296,2.7999649687000333e-95,True,1
CTG,HPG,0.5305705299272292,5.3263174419830454e-95,1296,3.308583069843586e-94,True,0
HDB,VPB,0.5260940434492429,3.748745725088204e-93,1296,2.301555514937874e-92,True,1
HPG,VIB,0.5258589607322635,4.678885436653002e-93,1296,2.839599437416994e-92,True,0
CTG,VCB,0.5256576008116418,5.656276374237568e-93,1296,3.3937658245425404e-92,True,1
VIC,VRE,0.525301818980946,7.906174174829297e-93,1296,4.6904044542807515e-92,True,1
MBB,VCB,0.5238329401189945,3.1374969794034076e-92,1296,1.8406648945833324e-91,True,1
BVH,PLX,0.5230925095682,6.269328466033298e-92,1296,3.637588384687452e-91,True,0
GVR,SSI,0.5226517096737666,9.459028210552119e-92,1296,5.428659668664695e-91,True,0
BID,TPB,0.5224748889850406,1.1153874121000067e-91,1296,6.332522081600037e-91,True,1
BID,HDB,0.519634378549449,1.5542658710778511e-90,1296,8.730344467330908e-90,True,1
HPG,VPB,0.5178407678718655,8.0981915525911e-90,1296,4.500889620808527e-89,True,0
BID,POW,0.5173224750968177,1.302385676735025e-89,1296,7.163121222042637e-89,True,0
BID,PLX,0.5170171201733416,1.7224470017119458e-89,1296,9.375793988700075e-89,True,0
HPG,LPB,0.5164266551053951,2.9550097940977986e-89,1296,1.5920869094730995e-88,True,0
MBB,POW,0.5160513736619032,4.1620279555464826e-89,1296,2.2197482429581238e-88,True,0
HDB,SHB,0.515404730145737,7.501906579690677e-89,1296,3.9610066740766776e-88,True,1
GVR,PLX,0.5143245155781282,2.0015551547257542e-88,1296,1.0463575462328694e-87,True,0
VPB,VRE,0.5141943156332213,2.2523408088504207e-88,1296,1.1659175951696296e-87,True,0
BID,SSI,0.5119016262788745,1.785471085417698e-87,1296,9.152706146607227e-87,True,0
BID,GVR,0.5109975687243287,4.0217240474277075e-87,1296,2.0417983625402204e-86,True,0
MWG,SSI,0.5086160631407508,3.37550572239095e-86,1296,1.697397163259449e-85,True,0
POW,STB,0.507353950359632,1.0352067346694385e-85,1296,5.156501470806259e-85,True,0
GVR,MBB,0.50648031660542,2.2424249929688634e-85,1296,1.1065424264369717e-84,True,0
MSN,SSI,0.5041661950819409,1.7187534008935164e-84,1296,8.402794404368303e-84,True,0
BID,LPB,0.5033261566407431,3.586004510747915e-84,1296,1.7370737446558706e-83,True,1
MBB,MWG,0.5024147055383565,7.946088938001298e-84,1296,3.8141226902406225e-83,True,0
MBB,MSN,0.5007343024951643,3.423568269309318e-83,1296,1.6285081497255137e-82,True,0
HPG,MWG,0.4974631229429154,5.743677234270986e-82,1296,2.707733553299179e-81,True,0
HPG,SHB,0.49744377442725884,5.839753289278495e-82,1296,2.728663483839863e-81,True,0
VCB,VIB,0.4966879459760821,1.1154946440327318e-81,1296,5.166501509204231e-81,True,1
POW,SSI,0.49641720959689173,1.4059694909164435e-81,1296,6.455233836555497e-81,True,0
FPT,MWG,0.49561821726150873,2.780151226293794e-81,1296,1.2654481443820028e-80,True,0
NVL,PDR,0.49337938551272503,1.8602432515347087e-80,1296,8.394943904361763e-80,True,1
TPB,VCB,0.49253589292438604,3.793104952820771e-80,1296,1.6972537416011585e-79,True,1
CTG,POW,0.4895200444497113,4.7672309995126546e-79,1296,2.1152083762543544e-78,True,0
CTG,GVR,0.4870005599128116,3.8745324844351247e-78,1296,1.7047942931514549e-77,True,0
GVR,TCB,0.485874712461357,9.82620105693256e-78,1296,4.287796824843299e-77,True,0
MSN,TCB,0.48571489956525893,1.1210743479644432e-77,1296,4.851862751846115e-77,True,0
FPT,MBB,0.48562366041525595,1.2086619127235355e-77,1296,5.188402357057128e-77,True,0
MSN,VIB,0.4855453464429629,1.2892561045409952e-77,1296,5.489735670948754e-77,True,0
BVH,POW,0.4840053958537891,4.572192044841089e-77,1296,1.931293919740876e-76,True,0
SHB,VPB,0.4837856033580723,5.474757687920828e-77,1296,2.294184173985871e-76,True,1
HDB,VCB,0.48313961333711913,9.289465549941021e-77,1296,3.862077016038472e-76,True,1
LPB,VPB,0.4812332246135945,4.393198677632618e-76,1296,1.812194454523455e-75,True,1
CTG,MSN,0.48074951317258097,6.506073569120943e-76,1296,2.662951042244851e-75,True,0
BID,HPG,0.4802898317639549,9.443471201380606e-76,1296,3.8355021494838154e-75,True,0
MSN,MWG,0.47979208468846923,1.4127518236674452e-75,1296,5.694144754934435e-75,True,0
TCB,VCB,0.47757270316349676,8.444356036995917e-75,1296,3.377742414798367e-74,True,1
HDB,POW,0.4774642163715064,9.212483729361377e-75,1296,3.657286773761509e-74,True,0
BID,GAS,0.47661094674523696,1.8251028175357675e-74,1296,7.191449907902128e-74,True,0
ACB,MSN,0.47520886569810966,5.589143857127746e-74,1296,2.1859762641210742e-73,True,0
GVR,HPG,0.4745310482570537,9.583276915334688e-74,1296,3.72056633183582e-73,True,1
GAS,POW,0.4739836711717674,1.4799088142035464e-73,1296,5.703590174448703e-73,True,0
BVH,MBB,0.47154650302789025,1.0147443816913526e-72,1296,3.8825002429930014e-72,True,0
MSN,TPB,0.47145543129593154,1.090108788375635e-72,1296,4.140844893973635e-72,True,0
BID,VPB,0.46987612628112124,3.762884517257933e-72,1296,1.4191450179372776e-71,True,1
POW,VPB,0.469459061197372,5.213627487251128e-72,1296,1.952337101608933e-71,True,0
PLX,POW,0.4693244624356984,5.791654894798219e-72,1296,2.1535167496151123e-71,True,0
HPG,VCB,0.46914680322366686,6.653381037924297e-72,1296,2.456632998618202e-71,True,0
STB,VCB,0.4688294854832923,8.522134961713119e-72,1296,3.1247828192948104e-71,True,1
GVR,STB,0.46809313951276327,1.5121108284022494e-71,1296,5.5061690854923285e-71,True,0
BVH,FPT,0.4643036246523494,2.8289541207646402e-70,1296,1.0230738190162534e-69,True,0
MSN,STB,0.4642272882092819,2.999755889917845e-70,1296,1.077463340052124e-69,True,0
FPT,VNM,0.46280337131940463,8.929232500857295e-70,1296,3.1855640273328727e-69,True,0
CTG,MWG,0.45989386488911066,8.162925877223984e-69,1296,2.892634136358566e-68,True,0
ACB,POW,0.45854159311636167,2.2665041511326232e-68,1296,7.978094611986835e-68,True,0
POW,VCB,0.45718287613368086,6.2947190523481325e-68,1296,2.2010673242647772e-67,True,0
GVR,POW,0.45414809976264847,6.061975967994878e-67,1296,2.1057390204613787e-66,True,0
BCM,POW,0.4537828868481244,7.949122816563352e-67,1296,2.7432266974806863e-66,True,0
GAS,GVR,0.4534300361593362,1.0325333065271133e-66,1296,3.5401141938072453e-66,True,0
POW,TCB,0.45314011046423686,1.279773548348433e-66,1296,4.3594866679224046e-66,True,0
GVR,MSN,0.4521754731568951,2.610215571403923e-66,1296,8.834575780136353e-66,True,0
FPT,TCB,0.45145514083860494,4.4378889976159127e-66,1296,1.4924875100262434e-65,True,0
GVR,MWG,0.45060186987042095,8.308081103749838e-66,1296,2.7763714068227306e-65,True,0
MWG,VIB,0.44925511716258426,2.227144091570262e-65,1296,7.395799247478606e-65,True,0
SSI,VCB,0.4488898061704978,2.9079079062481485e-65,1296,9.59609609061889e-65,True,0
HDB,HPG,0.4488322428337632,3.0326332232377818e-65,1296,9.945530073723906e-65,True,0
ACB,MWG,0.44875454649268404,3.20946631951791e-65,1296,1.0460482819169484e-64,True,0
MSN,SHB,0.4484402481788098,4.035825123324926e-65,1296,1.3073102239972768e-64,True,0
ACB,FPT,0.4464081171657867,1.7650035881835397e-64,1296,5.682450576590908e-64,True,0
MSN,VCB,0.44524770019586773,4.080629668092957e-64,1296,1.3058014937897463e-63,True,0
BVH,GVR,0.4448259276885626,5.529338317315153e-64,1296,1.75872929610988e-63,True,0
MSN,VPB,0.4443651889698403,7.701883532405947e-64,1296,2.4350865300061915e-63,True,0
LPB,POW,0.44205533055659435,4.025420679357241e-63,1296,1.2651322135122758e-62,True,0
BID,VNM,0.4407205290900123,1.0406998461350613e-62,1296,3.2514172707651615e-62,True,0
BID,MSN,0.44038849080395237,1.3172089070407435e-62,1296,4.09109589951478e-62,True,0
CTG,FPT,0.4401500023495361,1.5598508471914779e-62,1296,4.816381563257897e-62,True,0
LPB,MSN,0.4397732701436776,2.036836424702588e-62,1296,6.25261414094748e-62,True,0
BID,BVH,0.4393698408378928,2.7094347509984927e-62,1296,8.269257505937595e-62,True,0
SHB,VCB,0.4392126166160309,3.027808618224467e-62,1296,9.187833048405281e-62,True,1
MSN,POW,0.4389319350755877,3.6914944069145604e-62,1296,1.1137765982005072e-61,True,0
TCB,VRE,0.43745322425495403,1.0455153530282556e-61,1296,3.136546059084767e-61,True,0
POW,SHB,0.4372438941706875,1.2110277782678492e-61,1296,3.6125574402566346e-61,True,0
BCM,GAS,0.435547937753314,3.968216808834373e-61,1296,1.1770890309351399e-60,True,0
HPG,POW,0.43508288917978954,5.4881187661526415e-61,1296,1.6188417366081535e-60,True,0
BVH,STB,0.4341588158739867,1.043769481252449e-60,1296,3.061723811673851e-60,True,0
GAS,VCB,0.4331059660155595,2.165901184031007e-60,1296,6.318208978830783e-60,True,0
MWG,VPB,0.43215272220892886,4.185184071006724e-60,1296,1.2141632909294232e-59,True,0
VIC,VJC,0.43016630520729604,1.6402842270723876e-59,1296,4.732623343684266e-59,True,0
VCB,VPB,0.43013949560019293,1.6706990427723216e-59,1296,4.794179861868401e-59,True,1
GVR,VIB,0.42983980899983315,2.0513627544271235e-59,1296,5.8547001856082235e-59,True,0
BID,SHB,0.4296062929346849,2.4068083511995334e-59,1296,6.832230158243837e-59,True,1
BID,FPT,0.42940456816694794,2.762794564227599e-59,1296,7.800831710760279e-59,True,0
MBB,VNM,0.4293638102415615,2.8408461713144874e-59,1296,7.978546693904519e-59,True,0
FPT,GAS,0.4290583333445648,3.500070340560937e-59,1296,9.777974284741666e-59,True,0
BVH,HDB,0.4285354301336266,5.000299724004536e-59,1296,1.3895569759338923e-58,True,0
GVR,LPB,0.42845865381409576,5.268893707403004e-59,1296,1.4565318730412493e-58,True,0
FPT,SSI,0.42750571561516093,1.0075611589065451e-58,1296,2.7707931869929992e-58,True,0
GVR,TPB,0.42613134205325703,2.557125179186325e-58,1296,6.995658521297303e-58,True,0
BCM,GVR,0.4254792701542692,3.9719520666404575e-58,1296,1.0810261294774028e-57,True,0
FPT,GVR,0.424204850647275,9.366529731263636e-58,1296,2.5361680503113848e-57,True,0
GAS,STB,0.423990724516273,1.081486884613032e-57,1296,2.913393240182045e-57,True,0
ACB,GVR,0.4237855081792059,1.2411471109011801e-57,1296,3.3265262667808277e-57,True,0
PLX,STB,0.42297333861950825,2.1384127508182214e-57,1296,5.702434002181923e-57,True,0
TCB,VNM,0.42106324840396636,7.642049448120375e-57,1296,2.027639250556562e-56,True,0
MWG,STB,0.4203955796353289,1.1904504113742719e-56,1296,3.1427890860280778e-56,True,0
FPT,VPB,0.41989591446634705,1.6576402421235035e-56,1296,4.354398247966218e-56,True,0
BVH,TCB,0.41875417939544196,3.524642521735716e-56,1296,9.212926987507218e-56,True,0
HPG,VNM,0.4183208798705226,4.689440511086735e-56,1296,1.2197165467260082e-55,True,0
MSN,VNM,0.41714486990459243,1.0157062005035712e-55,1296,2.6288866365974782e-55,True,1
FPT,STB,0.41705159173310064,1.0797759026209023e-55,1296,2.781081349189446e-55,True,0
LPB,VCB,0.4165330707145606,1.5165438874310088e-55,1296,3.887063944483362e-55,True,1
VCB,VNM,0.41538822979698076,3.2036903954641422e-55,1296,8.171732023212885e-55,True,0
FPT,VCB,0.4151082858173282,3.8448559512885844e-55,1296,9.760018953271022e-55,True,0
FPT,POW,0.41419162780564717,6.978886908443767e-55,1296,1.7630872189752676e-54,True,0
FPT,HDB,0.4137375281240307,9.370154015175765e-55,1296,2.3559244381013352e-54,True,0
BID,MWG,0.41232549409764596,2.335528861603939e-54,1296,5.844356582591847e-54,True,0
STB,VRE,0.41143720555824315,4.139341322722505e-54,1296,1.0309302916969257e-53,True,0
MBB,PLX,0.41091928163626024,5.774336232588772e-54,1296,1.4313847562473577e-53,True,0
FPT,LPB,0.40944973890066916,1.4801969496855199e-53,1296,3.6520747169810954e-53,True,0
BVH,CTG,0.40861925097854995,2.514509333852754e-53,1296,6.1751671082523445e-53,True,0
FPT,MSN,0.4083385531411823,3.0066954082479207e-53,1296,7.349699886828251e-53,True,0
BVH,LPB,0.4082918050371779,3.097504486038439e-53,1296,7.536785108886156e-53,True,0
PLX,VCB,0.40816415939897627,3.3595906165061443e-53,1296,8.136990117042404e-53,True,0
STB,VNM,0.40814315164925163,3.4047898063995965e-53,1296,8.208808300360671e-53,True,0
HDB,MSN,0.4072312304420139,6.076206959311789e-53,1296,1.4582896702348294e-52,True,0
FPT,HPG,0.4069738713170884,7.152873376262778e-53,1296,1.7089217840121026e-52,True,0
BCM,BVH,0.40619908935837734,1.1678686035749595e-52,1296,2.7776334355296333e-52,True,0
CTG,VRE,0.405574802743069,1.731975107481625e-52,1296,4.100819985427345e-52,True,0
MWG,TPB,0.40497759062974337,2.5230499542152384e-52,1296,5.947189177793062e-52,True,0
FPT,PLX,0.4047442316010419,2.921980419519124e-52,1296,6.84353265661509e-52,True,0
FPT,TPB,0.4047402856497895,2.929239356808732e-52,1296,6.84353265661509e-52,True,0
VHM,VJC,0.4041500233367363,4.2440454269303135e-52,1296,9.871612270569189e-52,True,0
CTG,VNM,0.4025378129243366,1.1639741295481453e-51,1296,2.6955190368483366e-51,True,0
VNM,VPB,0.40167663439885315,1.9906932385691385e-51,1296,4.589895327355918e-51,True,0
GVR,VPB,0.4010587825367856,2.9227448991383484e-51,1296,6.709605681500209e-51,True,0
BVH,VNM,0.4008971902715281,3.2311258810898567e-51,1296,7.385430585348243e-51,True,0
GVR,SHB,0.4002893352574722,4.709849676292856e-51,1296,1.071896822880443e-50,True,0
SSI,VNM,0.399554879978977,7.418062216281382e-51,1296,1.6810029399985276e-50,True,0
HDB,VJC,0.39924445881172804,8.98512254357925e-51,1296,2.0274122662435231e-50,True,0
GAS,VNM,0.3990106546128985,1.0379003431647583e-50,1296,2.3319633242169887e-50,True,0
VNM,VRE,0.39557394902269655,8.53107124003841e-50,1296,1.9086464469238477e-49,True,0
BVH,VPB,0.3955166953079885,8.833912619476895e-50,1296,1.968061545604979e-49,True,0
BVH,TPB,0.3938497468454417,2.4317932873220912e-49,1296,5.394902755067497e-49,True,0
GVR,HDB,0.3931927615404555,3.618757293509722e-49,1296,7.994576782314366e-49,True,0
GAS,MBB,0.3919800984035701,7.519334028041485e-49,1296,1.654253486169127e-48,True,0
GAS,MSN,0.390050189259549,2.3929039041772838e-48,1296,5.2425446531352936e-48,True,0
LPB,MWG,0.3888665731610358,4.8484674037569134e-48,1296,1.057847433546963e-47,True,0
TCB,VHM,0.3878598362144167,8.819957418110433e-48,1296,1.9164351920832546e-47,True,0
MBB,VRE,0.3862140802572851,2.335210582938761e-47,1296,5.053242572916663e-47,True,0
BVH,VIB,0.3831270107402522,1.428984015925198e-46,1296,3.0796063690143046e-46,True,0
FPT,VIB,0.38279752342134554,1.731790306692344e-46,1296,3.717013341193323e-46,True,0
MWG,VNM,0.3824149862264579,2.1641238752633856e-46,1296,4.626143344692582e-46,True,0
HDB,VRE,0.38191564044477,2.8935371743989898e-46,1296,6.160433984204301e-46,True,0
ACB,BVH,0.38172557034968646,3.2313779870129413e-46,1296,6.852078623063586e-46,True,0
STB,VHM,0.38094335242555744,5.08655355427137e-46,1296,1.0742801106621133e-45,True,0
PLX,TCB,0.38038483660834965,7.027189082158446e-46,1296,1.4782294164859202e-45,True,0
VHM,VPB,0.3793275677884222,1.2933934104171983e-45,1296,2.7099671456360348e-45,True,0
FPT,SHB,0.3790311371325624,1.5340515272536012e-45,1296,3.2014988394857767e-45,True,0
GAS,SAB,0.37867098250230563,1.887023548968169e-45,1296,3.922631629351155e-45,True,0
BID,VRE,0.3780617554434389,2.677041440384061e-45,1296,5.543050511854056e-45,True,0
CTG,PLX,0.3778792014821226,2.972364291316383e-45,1296,6.13050135084004e-45,True,0
ACB,SSB,0.37580026845110603,9.741132507307426e-45,1296,2.0012910365207476e-44,True,1
BVH,VCB,0.3754813593286543,1.167768218047324e-44,1296,2.389851236934058e-44,True,0
BCM,BID,0.3750172088423162,1.5198841248492326e-44,1296,3.098451034441679e-44,True,0
HDB,MWG,0.3748880629062248,1.6353967777458602e-44,1296,3.321113456345439e-44,True,0
BVH,SSI,0.37415389626508355,2.478547808461829e-44,1296,5.01407372746301e-44,True,0
CTG,GAS,0.37220997973867676,7.414373398022842e-44,1296,1.4941943336473515e-43,True,0
BCM,MSN,0.3718628095705644,9.009915799773251e-44,1296,1.8088348069506756e-43,True,0
MWG,SHB,0.37137399712059205,1.1850223792038344e-43,1296,2.370044758407669e-43,True,0
GAS,VIB,0.3700947467390329,2.422158778738463e-43,1296,4.826037113863805e-43,True,0
VJC,VRE,0.36963249545586574,3.1336279413718944e-43,1296,6.220133658061504e-43,True,0
BCM,VIB,0.36842912545984174,6.114426537807455e-43,1296,1.2091450232068676e-42,True,0
PLX,VNM,0.36802113743395015,7.664806712336675e-43,1296,1.510081322430509e-42,True,0
GVR,VRE,0.3675322613962704,1.004427563345523e-42,1296,1.971515812068536e-42,True,0
GVR,VCB,0.36723531436873563,1.1834222060648943e-42,1296,2.3142478696380155e-42,True,0
BCM,SSI,0.36669928879204283,1.5904241735654688e-42,1296,3.098686212703201e-42,True,0
HDB,VNM,0.364480028327951,5.3754740058425145e-42,1296,1.0434743658400176e-41,True,0
PLX,VHM,0.3634613821289794,9.371144387727497e-42,1296,1.812441112351692e-41,True,0
LPB,VRE,0.36339988891846925,9.690271404414026e-42,1296,1.867322372821389e-41,True,0
ACB,PLX,0.3632388309052603,1.0578193861279436e-41,1296,2.0310132213656515e-41,True,0
GAS,LPB,0.36316527610922966,1.1010151330801434e-41,1296,2.1062898198054916e-41,True,0
BVH,VHM,0.36268896166945747,1.4263998410530872e-41,1296,2.718913776447762e-41,True,0
VHM,VNM,0.3626294947737379,1.4732172708808887e-41,1296,2.7980529461334865e-41,True,0
BVH,SHB,0.36257446650718383,1.5178987599118085e-41,1296,2.872582599402993e-41,True,0
ACB,VNM,0.36223147348125984,1.82837540916304e-41,1296,3.447793628707447e-41,True,0
SHB,SSB,0.36140599121928785,2.8587538647630946e-41,1296,5.371608685391153e-41,True,1
VCB,VRE,0.35973775058970986,7.026212045131254e-41,1296,1.3155460850458518e-40,True,0
BVH,VRE,0.3593538267038745,8.635173038729341e-41,1296,1.6110852877911986e-40,True,0
GAS,SSI,0.3582415023813643,1.5668456467804491e-40,1296,2.9130088080988632e-40,True,0
POW,VRE,0.3578178388541807,1.96476492130792e-40,1296,3.6399855384230936e-40,True,0
VIB,VNM,0.35756707272229704,2.246026167011091e-40,1296,4.146509846789706e-40,True,0
SSI,VRE,0.35736400568912446,2.502813996391885e-40,1296,4.6044801048603326e-40,True,0
FPT,VRE,0.3571971055760431,2.7355421770933723e-40,1296,5.015160658004516e-40,True,0
GAS,HDB,0.35663967737050034,3.679979572831648e-40,1296,6.723284479083425e-40,True,0
GVR,VNM,0.35635371874095056,4.283713960848638e-40,1296,7.799313694234762e-40,True,0
SSB,TPB,0.3562124976953204,4.617185924821005e-40,1296,8.377574461530894e-40,True,1
HDB,SSB,0.3558980284120752,5.455259167954964e-40,1296,9.864304248904867e-40,True,1
STB,VIC,0.35549738842487755,6.745038072470001e-40,1296,1.2154880895099523e-39,True,0
HDB,PLX,0.35510331423506825,8.3083269516962e-40,1296,1.492107697447481e-39,True,0
GAS,VHM,0.3550408207105279,8.58733098601826e-40,1296,1.5369866985144546e-39,True,0
VIC,VPB,0.3535966598707213,1.83844579923428e-39,1296,3.279389804039526e-39,True,0
BCM,FPT,0.353400501234175,2.0380854191594453e-39,1296,3.6232629673945694e-39,True,0
SSB,VIB,0.35174877163243545,4.841304958520075e-39,1296,8.577882611069127e-39,True,1
BCM,STB,0.3514742856123432,5.587101186785292e-39,1296,9.866185373319847e-39,True,0
