k,graph_density,neighbor_jaccard,sector_purity,mean_edge_strength,pred_rmse_gain_vs_market_pct
3,0.16098484848484848,0.33150470219435735,0.5151515151515151,0.5611308770087773,0.03135626385899902
5,0.25946969696969696,0.38996492013733386,0.47878787878787876,0.543090438460367,-0.7771797931687833
8,0.3996212121212121,0.45302883578745645,0.45075757575757575,0.5240364975001495,-0.8871057499495697
10,0.4791666666666667,0.4893672027492888,0.41515151515151516,0.5138195617282643,-1.2470695633406108
