baseline,rmse,r2,qlike,dir_acc,n
A_own,0.0005403928745560012,0.18736987388273585,0.4557313456672215,48.59767891682786,6237
B_own+market,0.0005551281268072687,0.1424486093493722,0.4902879324438552,48.72662798194713,6237
C_own+neighbors,0.000552964639679215,0.14911981189077717,0.5096048949905938,49.22630560928433,6237
