source,target,corr_raw,corr_market_adj,same_sector
ACB,BCM,0.2300084271043108,-0.21664189562221198,0
ACB,BID,0.5601891341470994,0.03820263000280153,1
ACB,BVH,0.38172557034968646,-0.13990233413771688,0
ACB,CTG,0.6407355593027648,0.13083959171861248,1
ACB,FPT,0.4464081171657867,-0.052494541117598874,0
ACB,GAS,0.3221153096739691,-0.19769484955708416,0
ACB,GVR,0.4237855081792059,-0.12286977012545103,0
ACB,HDB,0.5870593784891094,0.10194662039029105,1
ACB,HPG,0.541567132078566,-0.007422848268727129,0
ACB,LPB,0.5800868855748174,0.1231627614223538,1
ACB,MBB,0.7165022321672265,0.2511707782952371,1
ACB,MSN,0.47520886569810966,-0.041484014421190485,0
ACB,MWG,0.44875454649268404,-0.04976731870165171,0
ACB,NVL,0.09272867206047339,-0.13589381934833572,0
ACB,PDR,0.18555035342637569,-0.12126687357250082,0
ACB,PLX,0.3632388309052603,-0.13130367522954725,0
ACB,POW,0.45854159311636167,-0.09117411717223065,0
ACB,SAB,0.25877012343678885,-0.100582903700571,0
ACB,SHB,0.5775150760717895,0.14345477544514096,1
ACB,SSB,0.37580026845110603,0.16274845430265833,1
ACB,SSI,0.5477605598870448,-0.03458411612824612,0
ACB,STB,0.6027424305615503,0.07703498316288152,1
ACB,TCB,0.6901352020623965,0.22576123285486666,1
ACB,TPB,0.6364990482060683,0.17409576612592914,1
ACB,VCB,0.5476084059247088,0.09640137151874034,1
ACB,VHM,0.2814710324105881,-0.1904339309307684,0
ACB,VIB,0.6196888815660366,0.14023571756585473,1
ACB,VIC,0.25828858391729,-0.15677595599925181,0
ACB,VJC,0.29691479415042255,-0.08497728674010738,0
ACB,VNM,0.36223147348125984,-0.14647045811006443,0
ACB,VPB,0.5673064917249394,0.04185301857552676,1
ACB,VRE,0.3387924570766086,-0.1590652867165529,0
BCM,BID,0.3750172088423162,0.06301131076991923,0
BCM,BVH,0.40619908935837734,0.17775936040372672,0
BCM,CTG,0.3450777273992015,-0.030801034087290603,0
BCM,FPT,0.353400501234175,0.08889617541010933,0
BCM,GAS,0.435547937753314,0.23273436202729786,0
BCM,GVR,0.4254792701542692,0.18596590401149013,0
BCM,HDB,0.34090705948757255,0.011406231120317438,0
BCM,HPG,0.28207840221757363,-0.08683106487610942,0
BCM,LPB,0.267878792261111,-0.08308818168075771,0
BCM,MBB,0.3335839526120457,-0.10111921101938325,0
BCM,MSN,0.3718628095705644,0.0987543573168521,0
BCM,MWG,0.26546103430987905,-0.03973660655872218,0
BCM,NVL,-0.04304535098245671,-0.18026878869349533,1
BCM,PDR,0.0859605501593494,-0.09246376045506721,1
BCM,PLX,0.34251297314561135,0.1023365660373893,0
BCM,POW,0.4537828868481244,0.21627292199070275,0
BCM,SAB,0.27881816352414746,0.1016321083102456,0
