date,parkinson_volatility
2018-08-03,0.00043392198274974436
2018-08-06,0.00018555692502598544
2018-08-07,1.226306230126118e-05
2018-08-08,3.996488346446077e-05
2018-08-09,2.7834475402012724e-05
2018-08-10,2.7834475402014116e-05
2018-08-13,7.686860109513609e-05
2018-08-14,2.767217163002174e-05
2018-08-15,3.1291089110875223e-06
2018-08-16,2.7997669374558996e-05
2018-08-17,4.933965527477865e-05
2018-08-20,1.2487699186112089e-07
2018-08-21,2.43751590084133e-05
2018-08-22,2.7997669374558996e-05
2018-08-23,0.0007298808510206265
2018-08-24,3.1291089110875223e-06
2018-08-27,1.017453804687078e-05
2018-08-28,3.147806261949234e-06
2018-08-29,1.2703251678328914e-05
2018-08-30,1.2771670313556314e-07
2018-08-31,0.0010801521145462215
2018-09-03,0.0
2018-09-04,3.2233540691598763e-06
2018-09-05,2.9185898628139338e-05
2018-09-06,0.0004888095392181434
2018-09-07,1.1333850419977402e-05
2018-09-10,0.00016227091986155843
2018-09-11,0.0002826807024585477
2018-09-12,1.716536722440224e-05
2018-09-13,1.7252268767691266e-05
2018-09-14,9.174829588393263e-05
2018-09-17,4.347118558416853e-05
2018-09-18,0.0004677054222732242
2018-09-19,0.0001452464784234808
2018-09-20,0.0001414366620126242
2018-09-21,0.0003877866485599038
2018-09-24,5.5658425913155027e-05
2018-09-25,6.163134794069194e-05
2018-09-26,0.00014050761692646052
2018-09-27,1.550870679498895e-05
2018-09-28,5.597674253457659e-06
2018-10-01,0.00019188222495284253
2018-10-02,0.00019062230235959943
2018-10-03,4.028219783069196e-05
2018-10-04,6.32757425413406e-05
2018-10-05,0.0013436480499666565
2018-10-08,0.0017168136684647904
2018-10-09,0.00026348846099026255
2018-10-10,6.676531110454691e-05
2018-10-11,0.0008830278007333193
2018-10-12,0.00025795600605150304
2018-10-15,0.0001121943758935993
2018-10-16,0.0025112573986727587
2018-10-17,0.00017799837629292988
2018-10-18,0.0026741615240321705
2018-10-19,0.005078146650974498
2018-10-22,4.185125693177883e-05
2018-10-23,4.155311618207654e-05
2018-10-24,0.00034537560084564107
2018-10-25,0.00047016410198271434
2018-10-26,0.0001154288062437522
2018-10-29,0.0008090712998423525
2018-10-30,0.0008336326255324206
2018-10-31,0.0003486375930735799
2018-11-01,0.0005017232046864908
2018-11-02,0.0002086015533475008
2018-11-05,0.001359440868513183
2018-11-06,3.6430835923523796e-05
2018-11-07,6.586610034035372e-05
2018-11-08,4.22684606123983e-05
2018-11-09,1.6355452179636452e-05
2018-11-12,3.240539515010687e-05
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,0.0001472079702927459
2018-11-16,0.00010120135546659947
2018-11-19,0.0006455450195206859
2018-11-20,8.554136714991868e-05
2018-11-21,5.256674181386167e-05
2018-11-22,5.256674181386167e-05
2018-11-23,1.6137380885333677e-05
2018-11-26,5.24962980924964e-05
2018-11-27,3.17138967704514e-05
2018-11-28,3.6188658353077905e-05
2018-11-29,1.0300243335818915e-05
2018-11-30,1.439848748142722e-06
2018-12-03,0.00014143666201262735
2018-12-04,5.1185164639229996e-05
2018-12-05,0.0001232058403063092
2018-12-06,0.0005368203837769827
2018-12-07,1.5022479668265624e-07
2018-12-10,0.0003721833390077942
2018-12-11,0.00018814248016740437
2018-12-12,0.0
2018-12-13,0.00030108015727242085
2018-12-14,3.883184654657499e-05
2018-12-17,3.0881625899708436e-05
2018-12-18,6.412225411379182e-05
2018-12-19,0.00028584530929700604
