market,ticker,n_obs,n_days_gt20pct,worst_pct,worst_date,worst_prevC,worst_open,worst_gap_days
HOSE,CCL,3863,1,50,2015-05-06,1.27,1.9,1
HOSE,DCL,4476,1,-22,2008-10-24,11.39,8.84,1
HOSE,DMC,4848,1,-20,2009-08-24,19.52,15.54,3
HOSE,DPG,2394,1,-25,2018-05-22,14.25,10.63,7
HOSE,DQC,4615,1,-22,2008-10-10,6.8,5.3,1
HOSE,DRL,3586,1,-53,2020-12-25,33.72,15.68,1
HOSE,DTA,4012,1,715,2020-12-18,4.38,35.71,1
HOSE,DTT,4880,1,-37,2007-07-16,24.6,15.38,3
HOSE,FPT,4906,1,37,2007-08-17,8.08,11.08,1
HOSE,GEE,1095,1,22,2023-12-28,12.28,15.04,1
HOSE,GMD,6069,1,24,2007-08-17,24.61,30.51,1
HOSE,HCM,4311,1,-28,2020-06-05,5.78,4.14,1
HOSE,HRC,4734,1,-43,2007-04-04,161.67,91.47,1
HOSE,ICT,1646,1,-25,2020-01-16,14.96,11.17,1
HOSE,KHP,5106,1,64,2007-06-26,3.55,5.83,1
HOSE,KLB,2280,1,22,2019-12-27,4.4,5.38,1
HOSE,LCG,4432,1,-30,2009-06-24,11.32,7.88,1
HOSE,MHC,5345,1,-24,2007-05-18,18.17,13.74,1
HOSE,MIG,2319,1,-19,2018-11-05,5.82,4.7,3
HOSE,NHA,4015,1,38,2013-04-02,0.48,0.66,1
HOSE,NSC,4851,1,-26,2009-07-21,15.1,11.18,1
HOSE,NTC,2406,1,25,2016-12-29,10.92,13.66,1
HOSE,NTL,4651,1,-51,2008-05-19,2.85,1.4,3
HOSE,PNC,5125,1,-25,2009-06-23,10.56,7.92,1
HOSE,SAV,6051,1,-23,2007-08-01,12.91,10.0,1
HOSE,SGT,4629,1,-24,2008-06-11,26.92,20.35,1
HOSE,SHP,3974,1,-25,2010-09-30,5.22,3.93,1
HOSE,SIP,1798,1,39,2019-06-13,3.91,5.45,1
HOSE,SJS,5019,1,-19,2013-04-11,5.24,4.22,1
HOSE,SMA,3853,1,4455,2020-12-08,7.28,331.63,1
HOSE,SMB,3966,1,24,2012-03-15,2.4,2.98,1
HOSE,SMC,4938,1,-23,2009-06-11,9.0,6.95,1
HOSE,TPC,4462,1,-51,2008-08-15,4.44,2.19,1
HOSE,TTF,4618,1,-21,2009-01-02,6.71,5.27,2
HOSE,VGC,2700,1,26,2016-12-22,9.76,12.26,7
HOSE,VTB,4895,1,-21,2007-08-08,11.36,9.01,1
HOSE,VTO,4704,1,-29,2007-12-24,19.54,13.96,3
