date,parkinson_volatility
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0016349956536641178
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,1.774775515891853e-05
2016-12-16,0.005506616344780755
2016-12-19,0.0012772808714066341
2016-12-20,0.0017630895389652592
2016-12-21,0.0032839147136246405
2016-12-22,0.0004017441732704149
2016-12-23,0.0003151874803326613
2016-12-26,0.0006169807796614174
2016-12-27,0.00042011329168433175
2016-12-28,6.639643996141549e-05
2016-12-29,0.00023595696226608097
2016-12-30,5.823727252230456e-05
2017-01-03,3.062095008701209e-05
2017-01-04,0.00012065687772135495
2017-01-05,3.738254714716564e-05
2017-01-06,0.0014096093915018579
2017-01-09,7.586946315290421e-05
2017-01-10,0.00025087976520198063
2017-01-11,0.0005434713251351207
2017-01-12,7.232403749341799e-05
2017-01-13,2.0496055296176924e-05
2017-01-16,7.506461927081544e-05
2017-01-17,0.0006914775641778305
2017-01-18,0.0007002746307747706
2017-01-19,0.00018219579185202908
2017-01-20,3.215938817289151e-05
2017-01-23,8.077700302565952e-05
2017-01-24,0.0001177663381784986
2017-01-25,0.00010683638724284596
2017-02-02,0.00017592184569259993
2017-02-03,0.00031702407582369905
2017-02-06,0.0004965698769998019
2017-02-07,0.00037780996239905455
2017-02-08,3.109966218555261e-05
2017-02-09,0.00043017418976610107
2017-02-10,7.163370790277868e-05
2017-02-13,0.00017658417592951158
2017-02-14,0.00011218286863585108
2017-02-15,8.10818545440857e-05
2017-02-16,3.138646286521676e-05
2017-02-17,7.669247078110235e-06
2017-02-20,0.00017735413993726293
2017-02-21,4.304807376108319e-05
2017-02-22,0.00018300852820033982
2017-02-23,6.361485289300655e-05
2017-02-24,0.00011012183891580798
2017-02-27,0.00010753420120650877
2017-02-28,8.555247963321075e-06
2017-03-01,7.329893827116397e-06
2017-03-02,0.00044129369722033175
2017-03-03,0.00013990806835158465
2017-03-06,8.772379126929358e-05
2017-03-07,4.114582874882504e-05
2017-03-08,0.00013109300512083652
2017-03-09,0.0006250794660529372
2017-03-10,0.000197853260203879
2017-03-13,0.00017644063301311657
2017-03-14,0.0015554350393659115
2017-03-15,0.0001261805233917039
2017-03-16,0.0005910019345530007
2017-03-17,0.00019699685914413489
2017-03-20,3.055753538495078e-05
2017-03-21,0.0001488948457055576
2017-03-22,0.00025332830826312963
2017-03-23,0.00016134455259701514
2017-03-24,8.03821273531175e-05
2017-03-27,2.064027651947609e-05
2017-03-28,8.047027496232395e-05
2017-03-29,0.0004327001050955675
2017-03-30,3.5915295684163065e-05
2017-03-31,3.5915295684163065e-05
2017-04-03,3.210470181546162e-05
2017-04-04,9.328121145448282e-06
2017-04-05,5.177339945627665e-05
2017-04-07,7.81190883495649e-05
2017-04-10,0.00022102551435153762
2017-04-11,5.1990818116984716e-05
2017-04-12,0.00017172158070993167
2017-04-13,0.00013946182070398376
2017-04-14,0.0001663701295574274
2017-04-17,7.660158981279764e-05
2017-04-18,5.3777939135195944e-05
2017-04-19,0.00017598319525698603
2017-04-20,2.0437381451571343e-05
2017-04-21,8.127017028706432e-05
2017-04-24,2.0437381451571343e-05
2017-04-25,8.866014861359945e-06
2017-04-26,2.064027651947609e-05
2017-04-27,1.0840942857639516e-05
2017-04-28,3.5640987027938275e-05
2017-05-03,7.452989406464e-06
2017-05-04,2.390929530712486e-05
2017-05-05,3.0289852039474618e-06
2017-05-08,2.22200183322604e-06
2017-05-09,4.907918557282627e-05
2017-05-10,5.765613897476501e-05
2017-05-11,5.3051967427690783e-05
2017-05-12,3.341664586196272e-05
2017-05-15,5.914222790065747e-05
2017-05-16,8.251913219467316e-05
2017-05-17,0.0004790849886837109
2017-05-18,1.4033781656925136e-05
2017-05-19,1.2138595104271063e-05
2017-05-22,6.196949995532015e-05
2017-05-23,0.00021296718522872005
2017-05-24,0.00013440638460359574
2017-05-25,1.2009359132063389e-05
2017-05-26,0.00030823823924251063
2017-05-29,1.0324591950687017e-05
2017-05-30,1.1998971104823269e-05
2017-05-31,3.9057165094512655e-05
2017-06-01,4.010905117097062e-05
2017-06-02,4.0190292056561626e-05
2017-06-05,1.0271054111569087e-05
2017-06-06,4.0062738358249484e-05
2017-06-07,3.658881643872436e-05
2017-06-08,9.671680987823133e-06
2017-06-09,7.798070400285998e-05
2017-06-12,0.00014902666433102803
2017-06-13,5.619697461909203e-05
2017-06-14,0.00046026832952341567
2017-06-15,3.5915295684163065e-05
2017-06-16,8.113988543580044e-05
2017-06-19,9.271962131099431e-06
2017-06-20,0.0021579686410465562
2017-06-21,7.390792077484424e-05
2017-06-22,6.25628674173885e-05
2017-06-23,5.691545163992029e-05
2017-06-26,1.857345877455e-05
2017-06-27,1.8484919410746807e-05
2017-06-28,0.0003332111543718668
2017-06-29,0.0002494008693069586
2017-06-30,5.223864492689866e-05
2017-07-03,0.00035311909305205715
2017-07-04,0.0002910919882385211
2017-07-05,8.039730048149836e-06
2017-07-06,4.727075085281443e-05
2017-07-07,1.8792767953607145e-05
2017-07-10,1.6103656775390995e-05
2017-07-11,1.602796839685349e-05
2017-07-12,1.8543696023778992e-05
2017-07-13,3.21592786226624e-05
2017-07-14,5.123311519146142e-06
2017-07-17,0.0007663670725194965
2017-07-18,0.0003485792339365026
2017-07-19,0.0005466747639610098
2017-07-20,0.0005480849537036485
2017-07-21,0.00019764768120000674
2017-07-24,0.0010455501673925828
2017-07-25,6.783426039156362e-05
2017-07-26,0.001923818863639119
2017-07-27,0.0001951509268188943
2017-07-28,0.00012807446001274005
2017-07-31,0.00015695767593024273
2017-08-01,0.0002966163297653087
2017-08-02,0.00015275326809485965
2017-08-03,4.376110705212405e-05
2017-08-04,0.00017156398612646508
2017-08-07,0.001812148824179886
2017-08-08,0.0004973861588424097
2017-08-09,0.0017584810776292462
2017-08-10,0.0003795303969458412
2017-08-11,0.00017035077067381087
2017-08-14,0.00020637564205042635
2017-08-15,0.0004903688497680944
2017-08-16,0.00047799448481051067
2017-08-17,0.0009546388750698384
2017-08-18,0.0004640359501068814
2017-08-21,0.0008256166559508061
2017-08-22,0.0015450945521692622
2017-08-23,0.0011343544215398499
2017-08-24,0.0004640359501068814
2017-08-25,0.0003514264296280577
2017-08-28,0.00037194534385171977
2017-08-29,5.937580400191308e-05
2017-08-30,4.58372871390475e-05
2017-08-31,0.00038321856327620097
2017-09-01,6.873965324638927e-05
2017-09-05,0.00038836330040095056
2017-09-06,0.00026087376616474575
2017-09-07,0.0007395136484785681
2017-09-08,0.000355741748917743
2017-09-11,0.00023660758702573939
2017-09-12,0.0003619383986241835
2017-09-13,0.00026251203753895514
2017-09-14,0.00026784786428899
2017-09-15,0.00012417460129397238
2017-09-18,0.0006804449666389253
2017-09-19,0.00017111201096032153
2017-09-20,0.00012506088778924633
2017-09-21,0.0002456025306988972
2017-09-22,0.00017530517228289339
2017-09-25,0.0014236495688666785
2017-09-26,0.00010366099423965283
2017-09-27,0.0001381696178290243
2017-09-28,0.0017984961943795204
2017-09-29,0.0007954347898975763
2017-10-02,0.00025482800824063335
2017-10-03,0.00018756158608033318
2017-10-04,0.00014789993996735113
2017-10-05,0.0005138279527431028
2017-10-06,0.0002425289708438755
2017-10-09,0.00028689819154057615
2017-10-10,3.1046414543171695e-05
2017-10-11,2.3112552772604665e-05
2017-10-12,0.0001398781840314266
2017-10-13,0.0006041419826831502
2017-10-16,6.664382128655803e-05
2017-10-17,0.0005618553746142562
2017-10-18,0.00011544693380493926
2017-10-19,0.00022344643717556797
2017-10-20,0.0009233083892974452
2017-10-23,0.00046650708198196745
2017-10-24,0.0006579881183643201
2017-10-25,0.00019729211741622112
2017-10-26,0.0002282783210858801
2017-10-27,0.00045977583222844625
2017-10-30,0.0004537065764344205
2017-10-31,6.75660585321326e-05
2017-11-01,0.00017721248491791642
2017-11-02,0.0001098695453993486
2017-11-03,0.00035058478735173625
2017-11-06,6.901089079320453e-05
2017-11-07,0.00010433115828692476
2017-11-08,0.0019540777334944043
2017-11-09,0.00012510544661358265
2017-11-10,8.367025345443693e-05
2017-11-13,0.00021453811875550045
2017-11-14,0.0001578760578594402
2017-11-15,0.0003711727702588199
2017-11-16,0.0006928007543690645
2017-11-17,0.00034125170485170016
2017-11-20,0.00014087754848651372
2017-11-21,0.0014741938233122276
2017-11-22,0.001021862097964911
2017-11-23,0.0003139017719689359
2017-11-24,0.0007874229753016636
2017-11-27,0.0013336167881554074
2017-11-28,0.0013532078174630898
2017-11-29,0.0012267428444513015
2017-11-30,0.001026069232754672
2017-12-01,0.00013597362713886597
2017-12-04,0.00038708803409082256
2017-12-05,0.00020669258453471042
2017-12-06,0.000991192860243724
2017-12-07,0.0011132911590823376
2017-12-08,0.0005291444606769722
2017-12-11,0.0012815641752445038
2017-12-12,0.00011279035516615572
2017-12-13,0.00022946853717689032
2017-12-14,0.00023534754935242228
2017-12-15,3.398841229736627e-05
2017-12-18,0.0002765799477965738
2017-12-19,0.002027393440889703
2017-12-20,0.0007524271785593293
2017-12-21,0.0014170497610727843
2017-12-22,0.000662286255215331
2017-12-25,0.0010400675727358373
2017-12-26,0.0003574325087226854
2017-12-27,0.0003348832414745582
2017-12-28,0.00013172348882675383
2017-12-29,0.00012005968846065144
2018-01-02,0.0001295000284841617
2018-01-03,0.000869009421394466
2018-01-04,0.0001666797911761794
2018-01-05,0.0001480622134748186
2018-01-08,0.0001318840846640315
2018-01-09,8.454827316435463e-05
2018-01-10,4.7667569770567786e-05
2018-01-11,0.00011628854409043199
2018-01-12,8.403610646995586e-05
2018-01-15,0.0014269274176916605
2018-01-16,3.337473032989307e-05
2018-01-17,4.868042320256275e-05
2018-01-18,0.00011184231668343534
2018-01-19,4.9631646227915465e-05
2018-01-22,0.0005896706397721705
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.00013325417277323885
2018-01-26,0.0002007193445330073
2018-01-29,0.0003381050148672823
2018-01-30,3.744711904803257e-05
2018-01-31,0.00021067349120331392
2018-02-01,6.881755133647725e-05
2018-02-02,0.00021149274638475825
2018-02-05,0.0007242509166032916
2018-02-06,0.0018682687505925627
2018-02-07,0.00046627382514654345
2018-02-08,0.0005548115838144584
2018-02-09,0.0006010394629555917
2018-02-12,0.0004428728241775905
2018-02-13,0.00010370075689866595
2018-02-21,0.0007619147731160155
2018-02-22,0.00011062786531177741
2018-02-23,0.00024148956061371483
2018-02-26,0.0003050507589772527
2018-02-27,0.00019934184478861494
2018-02-28,0.0002932977837085041
2018-03-01,0.00018827434166447646
2018-03-02,3.318511791166961e-05
2018-03-05,0.00015918482339082916
2018-03-06,0.0003255904591031421
2018-03-07,0.00011155942108599095
2018-03-08,2.9713175318091657e-05
2018-03-09,5.330567327330153e-05
2018-03-12,2.9713175318091657e-05
2018-03-13,0.0002292973545070699
2018-03-14,0.0006357389306302031
2018-03-15,0.0006989009805291474
2018-03-16,0.002654847946256128
2018-03-19,0.0006573088223197924
2018-03-20,0.0006730506949371775
2018-03-21,0.0002557065789743746
2018-03-22,0.001072130152900145
2018-03-23,0.0007991124006106396
2018-03-26,0.0007619147731160155
2018-03-27,0.0004654627146803247
2018-03-28,0.0003025218522690686
2018-03-29,5.645206309145205e-05
2018-03-30,5.243301582369685e-05
2018-04-02,0.0003025218522690686
2018-04-03,0.0006592139471290996
2018-04-04,0.0004476418016557876
2018-04-05,0.0007621029493028159
2018-04-06,0.00011167735622838018
2018-04-09,0.00017489944446338402
2018-04-10,0.0005754489457574303
2018-04-11,0.0004120018263229846
2018-04-12,6.19962072559934e-05
2018-04-13,0.00013834918077614724
2018-04-16,5.788154915379222e-05
2018-04-17,6.19962072559934e-05
2018-04-18,9.896269242459777e-05
2018-04-19,0.002050147323397338
2018-04-20,0.0009045347154786886
2018-04-23,0.0010558910109532732
2018-04-24,0.0004809347062357908
2018-04-26,0.00012104505547581425
2018-04-27,0.0004298069080462538
2018-05-02,6.96998067788104e-05
2018-05-03,0.0002115593274702065
2018-05-04,6.903139421146086e-05
2018-05-07,0.0014552884697100307
2018-05-08,0.0009177831676592431
2018-05-09,0.0003974111778861375
2018-05-10,0.0021155438230136907
2018-05-11,0.0004052831068226974
2018-05-14,0.001607109083190462
2018-05-15,0.0014769659739104495
2018-05-16,0.00037759522030534053
2018-05-17,0.0005598301764268436
2018-05-18,0.0006742551030114262
2018-05-21,0.00032903604610669274
2018-05-22,0.00013566873962678107
2018-05-23,0.00047261658738462144
2018-05-24,0.0009067746191865427
2018-05-25,0.0007364430519964112
2018-05-28,0.0006266427498931385
2018-05-29,0.0010319018449568768
2018-05-30,0.0005364335634617367
2018-05-31,0.0028909711198321047
2018-06-01,0.00048069149907667885
2018-06-04,0.00022104654784373405
2018-06-05,0.0007309711196516566
2018-06-06,0.00019912968733084297
2018-06-07,0.0002903369590904352
2018-06-08,0.00021389513028474447
2018-06-11,0.00018919100349683597
2018-06-12,0.0003099659695600259
2018-06-13,0.000162184541686756
2018-06-14,0.00015649970702569325
2018-06-15,0.0002847574146408846
2018-06-18,0.00023641409428860533
2018-06-19,0.0024343767866210355
2018-06-20,0.001037406872923591
2018-06-21,0.0002466518154738607
2018-06-22,0.00014459254787880688
2018-06-25,8.8355813591405e-05
2018-06-26,8.84976595340068e-05
2018-06-27,7.92208291999414e-05
2018-06-28,0.00018013223058919284
2018-06-29,0.0006547407702927277
2018-07-02,0.0006141270407871778
2018-07-03,0.00015305024007345524
2018-07-04,0.00011212437229000583
2018-07-05,0.00034517623894760155
2018-07-06,0.00026277261427162877
2018-07-09,0.00010170808031531817
2018-07-10,0.0002013246196959952
2018-07-11,9.783598475254748e-05
2018-07-12,6.77754162159674e-05
2018-07-13,0.00019974940281174909
2018-07-16,0.0001227497727927486
2018-07-17,0.00011774609657292771
2018-07-18,6.841420406928522e-05
2018-07-19,6.841420406928522e-05
2018-07-20,0.002268815335460124
2018-07-23,0.00041496229356853434
2018-07-24,0.00022497559219730617
2018-07-25,0.00012820529204069552
2018-07-26,0.00019837852078392375
2018-07-27,0.0001288997384255636
2018-07-30,3.32810414646645e-05
2018-07-31,7.593852622499124e-05
2018-08-01,4.562524858314285e-05
2018-08-02,7.258820091283261e-05
2018-08-03,0.0002669979441845173
2018-08-06,7.128697649821365e-05
2018-08-07,0.00025333259032736657
2018-08-08,0.00023004776889207567
2018-08-09,0.000705666474433455
2018-08-10,0.0002555015060673926
2018-08-13,0.00012697208307949252
2018-08-14,5.1476177060286666e-05
2018-08-15,0.000124687153410286
2018-08-16,0.00018257501626654172
2018-08-17,7.299743498505994e-05
2018-08-20,7.299743498505994e-05
2018-08-21,0.0001584722434700611
2018-08-22,6.779622912128276e-05
2018-08-23,5.916254003060076e-05
2018-08-24,7.299743498505994e-05
2018-08-27,0.0006990902035867506
2018-08-28,0.00013736864849052193
2018-08-29,0.00026032815059626733
2018-08-30,0.00010344166509484326
2018-08-31,5.146929068172853e-05
2018-09-04,4.061296637782549e-05
2018-09-05,5.249035659602864e-05
2018-09-06,0.00011257458051891137
2018-09-07,0.00010031469686222751
2018-09-10,6.181279391139323e-05
2018-09-11,5.837372640702147e-05
2018-09-12,4.973836130658122e-05
2018-09-13,2.1370546543979596e-05
2018-09-14,6.419947577553887e-05
2018-09-17,8.84976595340068e-05
2018-09-18,2.9181045562775386e-05
2018-09-19,6.655340678279486e-05
2018-09-20,9.091007647727962e-05
2018-09-21,0.00015884260572588622
2018-09-24,1.6830216771166247e-05
2018-09-25,1.0756607751618405e-05
2018-09-26,3.0539082015363156e-05
2018-09-27,0.00010722105544915683
2018-09-28,4.582539508372008e-05
2018-10-01,3.915070800524568e-05
2018-10-02,0.0001954862761174599
2018-10-03,2.841607476707807e-05
2018-10-04,2.062307342381626e-05
2018-10-05,0.00010956986822903178
2018-10-08,8.036877335516777e-05
2018-10-09,7.010521472063097e-05
2018-10-10,0.00013203998385524605
2018-10-11,0.00042092547292792837
2018-10-12,0.00011885759721071644
2018-10-15,0.00017546518645412108
2018-10-16,0.00010072636870878259
2018-10-17,3.474725429747777e-05
