date,open,high,low,close,volume
2015-08-03,7.96372904413647,7.96372904413647,7.321492535483949,7.385716796875,190563
2015-08-04,7.3857162306046575,7.44993972391438,6.8719267578125,6.8719267578125,5609
2015-08-05,6.871926422563177,7.06459765625,6.80770293238662,7.06459765625,11815
2015-08-06,6.871926685374688,6.871926685374688,6.61503271484375,6.61503271484375,14388
2015-08-07,6.1526220703125,6.615032335485717,6.1526220703125,6.1526220703125,14534
2015-08-10,6.152622549661047,6.55080859375,6.152622549661047,6.55080859375,7014
2015-08-11,6.615033037283868,6.871927020336728,6.22969091796875,6.22969091796875,13889
2015-08-12,6.242535478358995,6.358138149741714,6.0370199149064065,6.16546728515625,15210
2015-08-13,6.1654666759769094,6.293914033535503,5.8957276448402824,6.2810693359375,89556
2015-08-14,6.101244006481354,6.281070178556011,6.075554226260448,6.26822509765625,2171
2015-08-17,5.985640755977406,6.242535099299334,5.985640755977406,6.216845703125,303104
2015-08-18,6.152622586289126,6.191156682890498,6.114088489687753,6.16546728515625,286373
2015-08-19,6.165466910776329,6.281069575139415,6.152622212689161,6.216845703125,154898
2015-08-20,6.242535374588237,6.29391455078125,6.062709211859179,6.29391455078125,623488
2015-08-21,6.293915224796004,6.409517525058284,6.191157242984231,6.383828125,634987
2015-08-24,6.255380859375,6.255380859375,6.139778556964458,6.255380859375,296655
2015-08-25,6.31960393863509,6.31960393863509,5.908572819177409,6.11408837890625,458368
2015-08-26,6.204001297626389,6.204001297626389,5.908572846110178,6.12693310546875,641131
2015-08-27,6.126933736407067,6.152623136438385,6.0113310546875,6.0113310546875,124782
2015-08-28,6.152622522752035,6.152622522752035,5.947106961421771,5.95995166015625,300975
2015-08-31,6.049865074066336,6.049865074066336,5.908573375778053,5.972796875,383596
2015-09-01,6.037020374221948,6.062709773910726,5.934262775466831,5.972796875,393452
2015-09-02,5.972796875,5.972796875,5.972796875,5.972796875,0
2015-09-03,5.998485728291253,5.998485728291253,5.8571936612945255,5.94710693359375,640341
2015-09-04,5.985641220065485,5.985641220065485,5.85719384765625,5.85719384765625,99412
2015-09-07,5.870038546739313,5.870038546739313,5.780125653157873,5.85719384765625,500530
2015-09-08,5.81866064453125,5.844350046644936,5.780126541360721,5.81866064453125,347883
2015-09-09,5.844348953646672,5.844348953646672,5.76728076171875,5.76728076171875,362971
2015-09-10,5.780125460373403,5.780125460373403,5.754436063064096,5.76728076171875,366500
2015-09-11,5.76728076171875,5.780125460373403,5.754436063064096,5.76728076171875,105922
2015-09-14,5.76728076171875,5.8957281298438815,5.754436063064096,5.76728076171875,424784
2015-09-15,5.76728073374861,5.76728073374861,5.523231078915186,5.75443603515625,77875
2015-09-16,5.703057644248943,5.767281141754225,5.690212944747888,5.71590234375,435249
2015-09-17,5.715901394338233,5.947106328532704,5.715901394338233,5.8957275390625,266175
2015-09-18,5.895728138896248,6.037019824314379,5.895728138896248,5.94710693359375,272502
2015-09-21,5.908573295970708,5.998486193666977,5.870038815379396,5.9342626953125,250478
2015-09-22,5.934262854593546,6.0113310546875,5.9085734545622275,6.0113310546875,478993
2015-09-23,6.011330974533168,6.011330974533168,5.95995217515561,5.972796875,38085
2015-09-24,6.011330426965628,6.011330426965628,5.767280770573897,5.94710693359375,288320
2015-09-25,5.947107394983395,5.947107394983395,5.908573295970708,5.9342626953125,182641
2015-09-28,5.921416963056018,5.921416963056018,5.895727568193982,5.908572265625,305903
2015-09-29,5.908572265625,5.908572265625,5.8058143045982975,5.908572265625,288868
2015-09-30,6.011331517410632,6.011331517410632,5.908573909375577,5.99848681640625,152890
2015-10-01,6.011330648649575,6.101243924264592,5.985641250353458,6.04986474609375,210932
2015-10-02,6.04986474609375,6.04986474609375,6.04986474609375,6.04986474609375,0
2015-10-05,6.370982674296305,6.615032709251564,6.3581379757806165,6.4865849609375,472483
2015-10-06,6.4865849609375,6.743479694408447,6.422361468359059,6.4865849609375,624948
2015-10-07,6.422361156096992,6.615032387621617,6.31960357296767,6.34529296875,301644
2015-10-08,6.4095171171944685,6.486585312465157,6.383827718770906,6.42236181640625,560579
2015-10-09,6.529234200654696,6.783619838006217,6.444438729843675,6.580111328125,378752
