measure,mkt_ret_1d+0,mkt_ret_2d+0,mkt_ret_3d+0,mkt_ret_5d+0,mkt_abs_ret_1d+0_x,mkt_abs_ret_2d+0,mkt_abs_ret_3d+0,mkt_abs_ret_5d+0,mkt_fwd_vol_22d+0,mkt_fwd_vol_22d+1,mkt_fwd_vol_22d+3,mkt_fwd_vol_22d+5,mkt_vol_avg+0,mkt_vol_avg+1,mkt_vol_avg+3,mkt_vol_avg+5,mkt_abs_ret_1d+0_y,mkt_abs_ret_1d+1,mkt_abs_ret_1d+3,mkt_abs_ret_1d+5
mkt_news_count,0.002436140117725503,0.002920305182999949,0.00794639740675666,0.012860542976904981,-0.05215622108685192,-0.04741839138361734,-0.03819719981198442,-0.052450363146363865,-0.0931413315166609,-0.0947960235190223,-0.09442616169577006,-0.09120352335443997,0.0015203613622812966,-0.004482826488249511,-0.011518058012953854,-0.023880658773827793,-0.05215622108685192,-0.07727373851749204,-0.07072610278657562,-0.06674154313250809
mkt_sent_mean,0.028465614549295488,0.01843181129698814,0.013852074135940402,0.009399318585826882,0.017735776034113047,0.021765885899054083,0.029593312464739185,-0.00014107701569041157,0.0030022158213670385,0.011076114523491581,0.0051550948838489045,0.0006508544756448173,-0.023465009284911832,0.0056136856137178935,-0.022293496947389593,-0.014253133637143296,0.017735776034113047,0.026452976761646155,-0.029783852155527427,-0.019535604937645425
mkt_neg_ratio,0.0004221127232853063,0.05658364678840785,0.049164600273581834,0.043693094324220486,-0.029587584615103493,0.01129262461516049,0.011445045425557505,0.012580329004401519,-0.03558538195288625,-0.03899944576470798,-0.035747177288836196,-0.03865649468226827,0.0005211120265221191,-0.018998402719158553,-0.06565186920363995,-0.016862885827447435,-0.029587584615103493,0.018303511131339753,-0.028970981438793623,-0.019297641765992364
mkt_sent_std,0.0024533948834860237,0.02274946018128217,0.04628238437530828,0.018456803077354252,-0.04489609333636779,0.014580119481034827,0.009712972388573,0.026538537481501163,-0.041069483272095274,-0.04140066917255942,-0.06645137541481295,-0.07941247824251788,-0.05511851980285111,-0.011496357629574168,-0.03281247755223185,-0.024477755563267208,-0.04489609333636779,0.018947690423746028,-0.020312344565084066,0.005606594658414835
