horizon,n_pos,n_neg,mean_pos_bp,mean_neg_bp,spread_bp,p_value
1,762,14,6.605440110643933,0.796091573681592,5.809348536962341,0.6749849096221399
2,762,14,12.592070596193993,43.31632866117629,-30.724258064982298,0.47889276405607584
3,762,14,21.048037760228013,82.32943115810963,-61.281393397881615,0.2738178885017022
5,761,14,35.944583264011165,55.97795739865872,-20.033374134647556,0.8495042874687934
