date,parkinson_volatility
2011-01-03,3.281504668045978e-05
2011-01-04,6.733707326339014e-05
2011-01-05,0.00013525160590921006
2011-01-06,0.00011645216077154862
2011-01-07,0.0002765200548112645
2011-01-10,9.217248031963786e-05
2011-01-11,0.00012014786278290244
2011-01-12,3.961748248761034e-05
2011-01-13,2.5096001604664913e-05
2011-01-14,3.93653386368983e-05
2011-01-18,0.00011759675594124746
2011-01-19,2.400108298253494e-05
2011-01-20,4.1945661965334536e-05
2011-01-21,6.15881591884484e-05
2011-01-24,9.698488053318775e-05
2011-01-25,8.938839117944808e-05
2011-01-26,1.8309258093461598e-05
2011-01-27,4.5058927554084695e-05
2011-01-28,6.42794666285732e-05
2011-01-31,7.31828275232826e-05
2011-02-01,5.432007369104432e-05
2011-02-02,2.013911174329831e-05
2011-02-03,3.8879391751392825e-05
2011-02-04,7.657894216003152e-05
2011-02-07,3.0492159646885354e-05
2011-02-08,2.2014003248802387e-05
2011-02-09,0.00014143606828012222
2011-02-10,0.00010429859373401648
2011-02-11,0.00010030997521211318
2011-02-14,4.722047908311922e-05
2011-02-15,5.52130149376543e-05
2011-02-16,6.658878134676732e-05
2011-02-17,3.30502890805606e-05
2011-02-18,6.790474093303787e-05
2011-02-22,0.00021349546322415848
2011-02-23,7.280347352124529e-05
2011-02-24,0.00013564785550747448
2011-02-25,4.417924977508509e-05
2011-02-28,4.7470433451438294e-05
2011-03-01,0.0001837175634908296
2011-03-02,0.00013199362414661266
2011-03-03,6.45767242728601e-05
2011-03-04,6.471928196804082e-05
2011-03-07,7.139391415575207e-05
2011-03-08,5.885987199747028e-05
2011-03-09,2.7468316038674704e-05
2011-03-10,3.180955956072528e-05
2011-03-11,3.310114016817553e-05
2011-03-14,3.324718051152405e-05
2011-03-15,9.828995678123023e-05
2011-03-16,0.00013268490570424619
2011-03-17,0.00011477669851546002
2011-03-18,0.0001309068675753202
2011-03-21,0.00024064717631637803
2011-03-22,0.0002561027981508335
2011-03-23,9.461544612941679e-05
2011-03-24,7.715589954393625e-05
2011-03-25,7.543253095570355e-05
2011-03-28,1.707866478467631e-05
2011-03-29,3.953502304847719e-05
2011-03-30,3.877906474529743e-05
2011-03-31,2.6267783073635396e-05
2011-04-01,0.0001036962308337212
2011-04-04,2.6961758750100392e-05
2011-04-05,0.00014734405298518684
2011-04-06,2.709443178290845e-05
2011-04-07,3.243505236249097e-05
2011-04-08,2.2539175225817084e-05
2011-04-11,8.584371772375201e-05
2011-04-12,8.03612246967729e-05
2011-04-13,1.990139722084078e-05
2011-04-14,3.169391624986248e-05
2011-04-15,4.9846182359326075e-05
2011-04-18,8.450527355825061e-05
2011-04-19,6.461023845515973e-05
2011-04-20,6.973277949676929e-05
2011-04-21,0.00014847601151686787
2011-04-22,0.00014847601151686787
2011-04-25,2.3850732655452285e-05
2011-04-26,4.4246221423885415e-05
2011-04-27,3.3679817296178814e-05
2011-04-28,0.00025038833371929204
2011-04-29,0.0001013241949146123
2011-05-02,4.30805267797175e-05
2011-05-03,4.5771887341703214e-05
2011-05-04,4.20570186777849e-05
2011-05-05,4.20570186777849e-05
2011-05-06,5.096899860700497e-05
2011-05-09,5.2822998122558295e-05
2011-05-10,7.91030538739859e-06
2011-05-11,2.785066777724587e-05
2011-05-12,6.99945519607748e-06
2011-05-13,5.1430231463394947e-05
2011-05-16,5.723519023543617e-05
2011-05-17,1.8463732218593327e-05
2011-05-18,6.707600044722272e-05
2011-05-19,0.00011087401206678134
2011-05-20,3.471176617662091e-05
2011-05-23,5.9395142480590975e-05
2011-05-24,0.00010397521310252398
2011-05-25,2.6056563882753823e-05
2011-05-26,0.00018915202085708615
2011-05-27,2.0404383109150784e-05
2011-05-31,6.962548296688792e-05
2011-06-01,3.668699488101532e-05
2011-06-02,0.00013495384148620395
2011-06-03,5.965290340923093e-05
2011-06-06,4.194546154379112e-05
2011-06-07,5.3413252594538824e-05
