date,parkinson_volatility
2011-01-03,8.959944122648277e-05
2011-01-04,0.00014189761633789285
2011-01-05,0.00016175849719298122
2011-01-06,0.00043281815123268487
2011-01-07,0.00011216921539459377
2011-01-10,0.00015898512640120146
2011-01-11,0.0003334901935683094
2011-01-12,4.56373253990719e-05
2011-01-13,9.280475825914766e-05
2011-01-14,6.546037886753106e-05
2011-01-18,0.0003909013559293769
2011-01-19,5.842959384298764e-05
2011-01-20,5.311541625396839e-05
2011-01-21,4.959354447004123e-05
2011-01-24,4.6894809069629396e-05
2011-01-25,0.0008261996004690101
2011-01-26,5.807989799242566e-05
2011-01-27,2.6210542596202643e-05
2011-01-28,0.00018275877883322042
2011-01-31,7.974161949110707e-05
2011-02-01,5.352234812008425e-05
2011-02-02,8.021602101605896e-05
2011-02-03,8.631589594094096e-05
2011-02-04,6.86960355212129e-05
2011-02-07,3.376294586996152e-05
2011-02-08,0.00011696896371028293
2011-02-09,6.258249093383653e-05
2011-02-10,0.00014503315769405771
2011-02-11,4.6000082482602386e-05
2011-02-14,0.00010335843079497766
2011-02-15,0.00019551464690352994
2011-02-16,7.72938063657498e-05
2011-02-17,5.079314695072148e-05
2011-02-18,7.877361748820731e-05
2011-02-22,6.118840376424277e-05
2011-02-23,3.830150331868216e-05
2011-02-24,5.2724978804925585e-05
2011-02-25,7.91631175083802e-05
2011-02-28,0.0002607497858997172
2011-03-01,0.0002253826553010613
2011-03-02,0.00012734466717054688
2011-03-03,7.61119519875018e-05
2011-03-04,0.00011292761101249917
2011-03-07,2.6633644633549083e-05
2011-03-08,8.890971528778877e-05
2011-03-09,4.343583572061447e-05
2011-03-10,4.148440859897192e-05
2011-03-11,0.00014819145733942514
2011-03-14,0.0001991344292606562
2011-03-15,0.0008306628877091672
2011-03-16,0.00019877438204477554
2011-03-17,0.00016151733342527105
2011-03-18,6.83506155445064e-05
2011-03-21,0.000224955234443967
2011-03-22,0.00012376231974333776
2011-03-23,9.934849696137677e-05
2011-03-24,1.0442188106582402e-05
2011-03-25,7.518153400457031e-06
2011-03-28,6.354422220938995e-05
2011-03-29,0.0001981247609553947
2011-03-30,6.0206684078725055e-05
2011-03-31,4.91346674290754e-05
2011-04-01,4.4934010411218065e-05
