ticker,n_events,n_pos,n_neg,corr_ret1d,corr_ret2d,corr_ret3d,corr_ret5d,corr_ret10d,corr_posneg_ret5d
ACB,109,72,2,-0.09560347993516867,-0.1159465716966306,-0.08514587677012632,-0.0857273054755791,-0.002725808936960197,-0.11560692267984578
BCM,28,15,1,-0.09023314802897836,0.2628767421274391,0.21732347780615724,0.3440115390803524,0.10267239759859574,-0.014366570530687187
BID,52,18,1,-0.0904627327561269,-0.012806666804934608,0.0629314178571433,0.08469616152500291,0.00026376283182988634,-0.18096557134354563
BVH,10,4,0,-0.027524094128159017,0.27524094128159016,0.13762047064079508,-0.08257228238447704,0.11009637651263607,
CTG,75,42,1,0.012808780072460967,0.05574321494068997,0.1365045174756779,0.2040771068201519,0.2783086254759135,0.07930720342618981
FPT,115,78,0,0.05237871580722205,0.04636018688179797,0.03605705872594033,0.029255220061614875,-0.012412571940428026,0.05140498342131851
GAS,91,44,3,0.28628154533011113,0.14322183805105865,0.12123395766660829,0.12341225593897437,0.08844415633436399,0.2426014636644683
GVR,24,13,0,0.28649245078024177,0.20033416898825332,0.3492297651476053,0.15740541849077047,0.11352269576001021,0.14638501094227999
HDB,44,28,0,0.22456801076326927,0.45541627296050535,0.14556964363505273,0.4127470933788889,0.3463056510174971,0.36774958904091287
HPG,158,99,2,0.09515167794238813,0.07913310054610301,0.03381300306031726,0.05002376510071821,0.06296099356992321,0.16689474755673067
MBB,94,69,1,-0.2555205546792483,-0.14905360474893728,-0.21891942428889813,-0.10309407108486757,-0.09510389611803419,-0.11703890896830253
MSN,74,35,0,-0.18190305678198188,-0.16730964357692305,-0.1519197409894677,-0.12266921955575603,-0.0728576407835095,-0.3631873903267973
MWG,138,88,3,0.2214453722437824,0.10015324856281183,0.12126038036741026,0.1664773326573402,0.14791675047281966,0.057209119475809235
NVL,25,6,0,-0.055584508948916526,-0.10499296134795343,0.02573356895783172,0.14410798616385764,0.21616197924578648,0.4879500364742666
PDR,17,8,1,0.5438953571717021,0.45725740028005507,0.4820799448666866,0.3932413642408474,0.37756396765981687,0.6117944530887711
PLX,49,26,0,0.0513734170743717,0.1473582777147698,0.057251053459653305,0.033626236630497845,-0.003461436053702647,0.1754116038614058
POW,90,56,0,0.23612287067524923,0.10551478557706674,0.11650857132573375,0.031869492968684826,-0.06290440160674642,-0.018458344410405177
SAB,42,17,1,-0.05152460565744613,-0.07070674310731348,0.043041099684732013,0.11547858044167414,0.3666228131707934,-0.058909465950516327
SHB,17,6,1,0.15221505845220387,-0.10523126736812514,-0.01383773258656399,-0.0886158040994738,0.09824790136460432,-0.17928429140015906
SSI,22,12,0,0.09357544106144282,0.20701489180731453,0.23652164319063193,0.12369116544408049,0.2540194178144287,-0.038905499319173906
STB,54,31,0,-0.01650181427359647,-0.07705612496479415,-0.11873645114135581,-0.00681312503901898,-0.010901831184729718,0.5083598694780556
TCB,86,56,0,0.16082545701538334,0.15523801871744858,0.09732493518234031,0.19404592540647278,0.06947118852489448,-0.045596561933893276
TPB,48,24,0,-0.19273234511255766,-0.11723220848535494,-0.005419489364145556,0.10535278157695784,0.01977410745536107,0.0902386262384945
VCB,105,52,0,0.022474811394597574,-0.019867806983571684,0.009341404810661955,0.06173820454259433,0.005485448810785552,0.22236287635167964
VHM,56,44,2,-0.10312034335145666,-0.16360841463162232,-0.10213320023418977,-0.15770268542407576,-0.2641733001715552,-0.07273029895305286
VIB,37,20,0,0.06141169170198797,0.10020480650219443,-0.010433153973305607,0.2239150870313851,0.19101688077052117,-0.22936825768134733
VIC,44,17,3,0.03295919677863066,-0.08954442473141469,-0.07056150928437128,-0.14717633394467752,0.024347597709112732,-0.15531570725786406
VJC,21,4,1,0.24854920011405474,0.132387306169474,0.05746293286193177,0.08322217862762532,0.18427768124688465,0.6708203932499368
VNM,126,60,0,0.07957794880489526,0.09272221763687913,0.1646687673737931,0.012911069638496307,0.10687006787404749,-0.03929007379962309
