ticker,date,sentiment_1d,news_count_1d,grp,ret_1d,ret_2d,ret_3d,ret_5d,ret_10d
ACB,2010-11-26,0.0,2.0,neu,0.011494252873563315,0.05747126436781613,0.05363984674329503,0.1355080412065514,0.1647509578544062
ACB,2011-06-08,0.0,1.0,neu,0.0,0.0038022813688214363,0.0038022813688214363,0.0,0.0076045627376426506
ACB,2011-10-03,0.0,1.0,neu,0.0,-0.007246376811594013,0.0036231884057971175,0.0036231884057971175,-0.014492753623188248
ACB,2012-08-22,0.0,1.0,neu,-0.06666666666666665,-0.031746031746031744,-0.10158730158730156,-0.11111111111111116,-0.1333333333333333
ACB,2012-11-09,0.5,1.0,pos,0.019138755980861344,0.009569377990430672,0.009569377990430672,0.0,-0.028708133971291905
ACB,2013-10-25,0.0,1.0,neu,-0.00877192982456143,0.0,0.0,0.004385964912280826,-0.00877192982456143
ACB,2015-03-10,0.5,1.0,pos,0.0038461538461538325,0.0,-0.007692307692307665,-0.007692307692307665,-0.011538461538461608
ACB,2015-05-25,0.6666666666666666,1.0,pos,0.05283018867924527,0.08301886792452828,0.1214822794254802,0.1355080412065514,0.24279989446529096
ACB,2015-09-11,0.0,1.0,neu,-0.0033003300330032292,-0.01650165016501648,-0.01650165016501648,0.01650165016501659,0.03630363036303641
ACB,2017-08-15,0.5,1.0,pos,0.004415011037527394,-0.008830022075055233,-0.004415011037527727,0.015452538631346435,0.10816777041942593
ACB,2018-04-20,0.5,1.0,pos,-0.06875064897881272,-0.07750269106566188,-0.1057076773092859,-0.125558085617289,-0.07750269106566188
ACB,2018-11-29,0.5,1.0,pos,0.010687022900763399,0.06106870229007644,0.05343511450381677,0.04427480916030535,0.03969465648854964
ACB,2019-06-18,0.6666666666666666,1.0,pos,0.0,0.02336448598130847,0.02024922118380057,0.009345794392523477,0.0
ACB,2019-08-06,0.6666666666666666,1.0,pos,-0.004792332268370503,0.01437699680511173,0.009584664536741228,0.009584664536741228,0.02396166134185318
ACB,2019-11-08,0.6666666666666666,1.0,pos,-0.0041899441340782495,-0.0041899441340782495,0.006983240223463749,-0.016759776536312887,-0.06424581005586594
ACB,2019-12-04,0.5,1.0,pos,-0.004497751124437843,-0.004497751124437843,-0.008995502248875464,-0.008995502248875464,-0.026986506746626615
ACB,2020-03-04,0.0,1.0,neu,-0.008053691275167862,-0.020134228187919545,-0.09798657718120807,-0.09395973154362414,-0.15920000000000004
ACB,2020-04-15,0.5,1.0,pos,0.010291595197255532,0.039451114922812947,0.02401372212692965,0.010291595197255532,0.015437392795883298
ACB,2020-04-27,0.0,1.0,neu,0.010344827586207028,0.020689655172413834,0.010344827586207028,0.034482758620689724,0.07931034482758625
ACB,2020-05-12,0.5,1.0,pos,-0.004769475357710662,-0.01748807631160576,-0.004769475357710662,0.019077901430842648,0.06836248012718604
ACB,2020-06-19,0.5,1.0,pos,-0.011363636363636354,-0.015625,-0.024147727272727293,-0.032670454545454586,-0.05681818181818188
ACB,2020-06-22,0.5,1.0,pos,-0.004310344827586188,-0.012931034482758563,-0.017241379310344862,-0.050287356321839005,-0.02155172413793105
ACB,2020-07-24,0.6666666666666666,1.0,pos,-0.06119402985074629,-0.013432835820895495,-0.0432835820895523,-0.0313432835820896,0.020895522388059584
ACB,2020-08-03,0.5833333333333333,2.0,pos,0.020895522388059584,0.03432835820895508,0.025373134328358304,0.025373134328358304,0.11194029850746268
ACB,2020-08-13,0.5,1.0,pos,-0.00815217391304357,0.012228260869565188,0.0040760869565217295,0.059782608695652106,0.0964673913043479
ACB,2020-10-22,0.5,1.0,pos,0.0,-0.03124999999999989,-0.04687499999999989,-0.06562499999999993,-0.027083333333333348
ACB,2020-10-28,-0.5,1.0,neg,0.004479283314669846,0.012318029115341522,0.02911534154535267,0.07166853303471443,0.06718924972004481
ACB,2020-11-04,0.6666666666666666,1.0,pos,-0.024033437826541326,-0.015673981191222652,-0.004179728317659448,-0.004179728317659448,0.06687565308254961
ACB,2020-11-27,0.0,1.0,neu,0.0,0.002938295788442735,0.04897159647404514,0.03623898139079329,0.044074436826640584
ACB,2020-12-09,0.5,1.0,pos,-0.020541549953314697,-0.012138188608776912,-0.012138188608776912,-0.010270774976657404,-0.01587301587301604
ACB,2021-02-19,0.6666666666666666,1.0,pos,0.016281062553556103,0.018851756640959838,0.003427592116538314,0.0625535561268209,0.0428449014567267
ACB,2021-02-24,0.5,1.0,pos,0.038428693424423566,0.05892399658411618,0.06490179333902635,0.06490179333902635,0.04953031596925683
ACB,2021-03-16,0.6666666666666666,1.0,pos,0.0015936254980080111,0.01513944223107555,0.01035856573705174,-0.013545816733067761,-0.004780876494023922
ACB,2021-03-18,0.0,1.0,neu,-0.004709576138147598,-0.016483516483516536,-0.028257456828885363,-0.05651491365777084,-0.0031397174254317317
ACB,2021-04-16,0.75,1.0,pos,0.017713365539452575,0.015297906602254496,-0.0185185185185186,0.005636070853462183,0.06602254428341392
ACB,2021-04-26,0.5,1.0,pos,0.021617293835068052,0.015212169735788539,0.04083266613290637,0.06004803843074469,0.0856685348278623
ACB,2021-05-11,0.25,1.0,pos,0.00967982129560685,0.011169024571854091,0.01861504095309008,0.012658227848101333,0.0618019359642592
ACB,2021-05-14,0.5,1.0,pos,0.002192982456140413,-0.005847953216374324,0.003654970760234022,0.028508771929824706,0.06652046783625742
ACB,2021-06-18,0.0,1.0,neu,-0.006703229737964667,0.018890920170627545,0.023156611822059636,0.039000609384521656,0.03168799512492382
ACB,2021-06-24,-0.5,1.0,neg,0.0041224970553592755,0.013545347467609048,0.006478209658421719,-0.007067137809187329,0.0
ACB,2021-08-11,0.5,1.0,pos,-0.018957345971563955,-0.017772511848341277,-0.0082938388625593,-0.012440758293838727,-0.09834123222748803
ACB,2021-08-30,0.6666666666666666,1.0,pos,-0.004641909814323664,-0.004641909814323664,-0.003315649867374093,0.0,-0.02984084880636595
ACB,2021-10-22,0.0,1.0,neu,-0.010796221322537103,-0.015519568151147078,-0.006072874493927127,0.044534412955465674,0.06005398110661275
ACB,2021-10-28,0.5,1.0,pos,0.03614457831325302,0.02677376171352086,0.04082998661311921,0.05153949129852764,0.03614457831325302
ACB,2021-12-17,0.6666666666666666,1.0,pos,-0.0032113037893385377,-0.012202954399486154,-0.014771997430957029,-0.00578034682080919,0.03917790622992934
