symbol,start_date,end_date,total_days,file
ACB,2020-12-09 00:00:00+07:00,2026-06-19 00:00:00+07:00,1443,data\raw\vn30\ACB_ohlcv.csv
BCM,2021-03-15 00:00:00+07:00,2026-06-19 00:00:00+07:00,1366,data\raw\vn30\BCM_ohlcv.csv
BID,2014-01-24 00:00:00+07:00,2026-06-19 00:00:00+07:00,3204,data\raw\vn30\BID_ohlcv.csv
BVH,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30\BVH_ohlcv.csv
CTG,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4237,data\raw\vn30\CTG_ohlcv.csv
FPT,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4237,data\raw\vn30\FPT_ohlcv.csv
GAS,2012-05-21 00:00:00+07:00,2026-06-19 00:00:00+07:00,3652,data\raw\vn30\GAS_ohlcv.csv
GVR,2020-03-17 00:00:00+07:00,2026-06-19 00:00:00+07:00,1625,data\raw\vn30\GVR_ohlcv.csv
HDB,2018-01-05 00:00:00+07:00,2026-06-19 00:00:00+07:00,2202,data\raw\vn30\HDB_ohlcv.csv
HPG,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4237,data\raw\vn30\HPG_ohlcv.csv
MBB,2011-11-01 00:00:00+07:00,2026-06-19 00:00:00+07:00,3796,data\raw\vn30\MBB_ohlcv.csv
MSN,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30\MSN_ohlcv.csv
MWG,2014-07-14 00:00:00+07:00,2026-06-19 00:00:00+07:00,3083,data\raw\vn30\MWG_ohlcv.csv
PLX,2017-04-21 00:00:00+07:00,2026-06-19 00:00:00+07:00,2376,data\raw\vn30\PLX_ohlcv.csv
POW,2019-01-14 00:00:00+07:00,2026-06-19 00:00:00+07:00,1936,data\raw\vn30\POW_ohlcv.csv
SAB,2016-12-06 00:00:00+07:00,2026-06-19 00:00:00+07:00,2467,data\raw\vn30\SAB_ohlcv.csv
SSI,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30\SSI_ohlcv.csv
STB,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30\STB_ohlcv.csv
TCB,2018-06-04 00:00:00+07:00,2026-06-19 00:00:00+07:00,2087,data\raw\vn30\TCB_ohlcv.csv
TPB,2018-04-19 00:00:00+07:00,2026-06-19 00:00:00+07:00,2128,data\raw\vn30\TPB_ohlcv.csv
VCB,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30\VCB_ohlcv.csv
VHM,2018-05-17 00:00:00+07:00,2026-06-19 00:00:00+07:00,2099,data\raw\vn30\VHM_ohlcv.csv
VIB,2020-11-10 00:00:00+07:00,2026-06-19 00:00:00+07:00,1464,data\raw\vn30\VIB_ohlcv.csv
VIC,2012-04-03 00:00:00+07:00,2026-06-19 00:00:00+07:00,3686,data\raw\vn30\VIC_ohlcv.csv
VJC,2017-02-28 00:00:00+07:00,2026-06-19 00:00:00+07:00,2422,data\raw\vn30\VJC_ohlcv.csv
VNM,2012-04-03 00:00:00+07:00,2026-06-19 00:00:00+07:00,3677,data\raw\vn30\VNM_ohlcv.csv
VPB,2017-08-17 00:00:00+07:00,2026-06-19 00:00:00+07:00,2294,data\raw\vn30\VPB_ohlcv.csv
VRE,2017-11-06 00:00:00+07:00,2026-06-19 00:00:00+07:00,2237,data\raw\vn30\VRE_ohlcv.csv
