date,parkinson_variance
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0036672198931749426
2017-07-18,0.0009065628655156578
2017-07-19,0.003896925422595056
2017-07-20,0.0031369250095915615
2017-07-21,0.0006896139939556314
2017-07-24,9.97314879020625e-05
2017-07-25,0.004503060873382159
2017-07-26,0.00400378107673881
2017-07-27,0.0006674251412029341
2017-07-28,0.00020913480549428359
2017-07-31,0.0006674251412029341
2017-08-01,0.0002506154390754976
2017-08-02,0.0005568321696328511
2017-08-03,0.0002634899021241484
2017-08-04,1.595719290169219e-05
2017-08-07,1.5846050563564095e-05
2017-08-08,0.001208874836099286
2017-08-09,0.0001667056353288861
2017-08-10,9.22748928561666e-05
2017-08-11,0.0004818854224285936
2017-08-14,0.00011346212834153586
2017-08-15,4.3141343974359676e-05
2017-08-16,2.1178625680678017e-05
2017-08-17,2.3301688673710817e-05
2017-08-18,1.599076367252922e-05
2017-08-21,2.3614242129876724e-05
2017-08-22,1.6024440494546025e-05
2017-08-23,0.00011369926117083165
2017-08-24,6.34959825204534e-06
2017-08-25,4.4466758843986296e-05
2017-08-28,5.2664036070151493e-05
2017-08-29,2.7377110003525236e-05
2017-08-30,2.7626867990022603e-05
2017-08-31,2.1750486403695988e-06
2017-09-01,3.06163468263308e-05
2017-09-05,1.6019259459400177e-06
2017-09-06,7.586646562035432e-06
2017-09-07,2.204336734675283e-06
2017-09-08,1.6304345012444889e-06
2017-09-11,4.3141343974359676e-05
2017-09-12,1.6019259459400177e-06
2017-09-13,4.4964643645198525e-05
2017-09-14,9.861185002736952e-05
2017-09-15,0.00028179111776915504
2017-09-18,3.423449714408164e-05
2017-09-19,2.1463403998716513e-06
2017-09-20,2.1463403998716513e-06
2017-09-21,2.1463403998716513e-06
2017-09-22,0.0
2017-09-25,9.929333131173705e-05
2017-09-26,1.5747012269426296e-05
2017-09-27,3.947755826131564e-07
2017-09-28,4.375715131937975e-06
2017-09-29,1.1178492215411176e-05
2017-10-02,0.0033506370963788017
2017-10-03,1.0588385483460596e-05
2017-10-04,2.0370091617666866e-06
2017-10-05,7.1476740134651e-05
2017-10-06,6.283636032060691e-05
2017-10-09,1.1225313316853273e-05
2017-10-10,0.00012619258133477065
2017-10-11,0.0001668176961466398
2017-10-12,0.0011760318612756622
2017-10-13,0.0006294457166613407
2017-10-16,0.0011225593637222938
2017-10-17,0.0006737384200537182
2017-10-18,0.00014436934555064508
2017-10-19,0.00015807391606625186
2017-10-20,6.664197752816929e-05
2017-10-23,0.00013449978730889538
2017-10-24,2.6493397660698846e-05
2017-10-25,7.696217794687474e-05
2017-10-26,0.00020065455979024701
2017-10-27,3.277316608534187e-05
2017-10-30,1.5325527458598008e-05
2017-10-31,2.570122089439557e-06
2017-11-01,1.1412599976285607e-06
2017-11-02,0.00020185817548781345
2017-11-03,9.305191666344186e-05
2017-11-06,0.0006076604573635936
2017-11-07,0.001073200327372905
2017-11-08,0.0017252411697391667
2017-11-09,0.0007592760772838794
2017-11-10,2.5780296645677624e-05
2017-11-13,0.00023894690789305725
2017-11-14,2.961553584331208e-05
2017-11-15,6.20985856302634e-06
2017-11-16,2.0501384187794265e-05
2017-11-17,0.00016708052489840174
2017-11-20,9.74654919489823e-05
