date,parkinson_variance
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.001496596795510714
2017-12-01,0.0032794677258017445
2017-12-04,0.00041898051595408236
2017-12-05,0.00023608576259874218
2017-12-06,0.00046223155737863306
2017-12-07,3.7440483931757765e-05
2017-12-08,0.00023886740458409412
2017-12-11,0.00025517337769803255
2017-12-12,0.0004352938870982807
2017-12-13,0.0003728082046747907
2017-12-14,0.0002647512747407515
2017-12-15,0.0009005745880523795
2017-12-18,0.002458757601101226
2017-12-19,0.0002171057048825477
2017-12-20,9.515735518591942e-05
2017-12-21,0.0003910891504778333
2017-12-22,6.972556198199688e-05
2017-12-25,0.0002813314849294676
2017-12-26,0.00018551045563003699
2017-12-27,0.00010710560311593636
2017-12-28,0.0002843782245665277
2017-12-29,0.002436703213668258
2018-01-02,0.0008559085849658605
2018-01-03,0.0001343967751430332
2018-01-04,4.585321338099174e-05
2018-01-05,4.560800430299061e-05
2018-01-08,2.6404417972333685e-05
2018-01-09,1.2513569449695558e-05
2018-01-10,1.2513569449695558e-05
2018-01-11,3.7130823433610513e-06
2018-01-12,3.7130823433610513e-06
2018-01-15,0.00016911634370506305
2018-01-16,4.413069738371438e-05
2018-01-17,9.407637659924689e-05
2018-01-18,0.00013154094918534483
2018-01-19,0.00012255743350155656
2018-01-22,3.751689438744246e-05
2018-01-23,6.359875761832207e-05
2018-01-24,2.3815947275624838e-05
2018-01-25,8.917893246688698e-05
2018-01-26,0.00015599834979007157
2018-01-29,0.00012057362386891098
2018-01-30,0.00016906106322857377
2018-01-31,0.0003106022050759919
2018-02-01,6.359875761832207e-05
2018-02-02,4.180898441956687e-05
2018-02-05,0.0003885951666991422
2018-02-06,0.002389211133879066
2018-02-07,0.0002780362842247523
2018-02-08,0.00033756826415853966
2018-02-09,0.0006344613623841627
2018-02-12,0.0006004107505965544
2018-02-13,0.0006859660452847949
2018-02-21,6.392483058472478e-05
2018-02-22,6.359875761832207e-05
2018-02-23,0.00016019610009862634
2018-02-26,0.00019587329189007298
2018-02-27,8.96330184246293e-05
2018-02-28,9.604584720803496e-05
2018-03-01,3.751689438744246e-05
2018-03-02,9.331455585902358e-06
2018-03-05,4.113139982179658e-05
2018-03-06,4.113139982179658e-05
2018-03-07,4.113139982179658e-05
2018-03-08,3.751689438744246e-05
2018-03-09,9.06442970932486e-05
2018-03-12,1.1530277553527423e-05
2018-03-13,1.1530277553527423e-05
2018-03-14,0.00012318742172204048
2018-03-15,9.604584720803496e-05
2018-03-16,6.359875761832207e-05
2018-03-19,3.751689438744246e-05
2018-03-20,6.359875761832207e-05
2018-03-21,9.06442970932486e-05
2018-03-22,2.115700359659769e-05
2018-03-23,4.202416572314777e-05
2018-03-26,6.491823836790769e-05
2018-03-27,0.0005632776096824858
2018-03-28,0.00012216149996465187
2018-03-29,0.0006122961598919827
2018-03-30,0.00029563168533048483
2018-04-02,0.0003307703584718012
2018-04-03,0.00022307861349501196
2018-04-04,0.00017905528205043136
2018-04-05,7.774480273117803e-05
2018-04-06,0.0006088346305158117
2018-04-09,0.00013015527171247375
2018-04-10,0.0005867973591436026
2018-04-11,0.0003368624082040382
2018-04-12,7.33050378729896e-05
2018-04-13,1.9482360027205684e-05
2018-04-16,7.230403704954944e-05
2018-04-17,1.8939136565277786e-05
2018-04-18,7.125873552225233e-05
2018-04-19,9.863305504504199e-05
2018-04-20,0.0004028441023560332
2018-04-23,0.0004397700664251669
2018-04-24,0.00013015527171247375
2018-04-26,0.0003357218497567071
2018-04-27,0.00016336094604472778
2018-05-02,0.00016030714853176788
2018-05-03,0.00017054304327303289
2018-05-04,5.097695706042816e-05
2018-05-07,0.00046524045490779824
2018-05-08,0.0003000210701045635
2018-05-09,0.00025486616750088856
2018-05-10,0.0002449160717095224
2018-05-11,0.00046524045490779824
2018-05-14,0.00020542249446243974
2018-05-15,0.001233045472428398
2018-05-16,0.00026956650145748366
2018-05-17,6.67656787240244e-05
2018-05-18,0.00011679053102218804
2018-05-21,0.0002283399749303823
2018-05-22,6.960783435273554e-05
2018-05-23,0.00019403896890845634
2018-05-24,6.862025150729511e-05
2018-05-25,9.801633208513714e-05
2018-05-28,0.0003368624082040382
2018-05-29,7.33050378729896e-05
2018-05-30,7.296907355947704e-05
2018-05-31,0.0004542966574186976
2018-06-01,0.0008958827734321574
2018-06-04,0.00019490742361149345
2018-06-05,0.00011897360439173408
2018-06-06,9.233642232946107e-05
2018-06-07,0.000676360516446446
2018-06-08,2.9286050022839028e-05
2018-06-11,0.00021820694198534037
2018-06-12,0.0001819934537286113
2018-06-13,4.5613640780340374e-05
2018-06-14,0.00018043115513287347
2018-06-15,3.008100529459957e-05
2018-06-18,0.00018696768750659607
2018-06-19,0.0003895343871343225
2018-06-29,0.0007620176422446443
2018-07-02,0.00028880732543435213
2018-07-03,0.0007172718239300704
2018-07-04,0.00015262615403019867
2018-07-05,6.695402205623696e-05
2018-07-06,0.00013395841695114263
2018-07-09,9.113162223015543e-05
2018-07-10,1.7712104097285902e-05
2018-07-11,4.231303533036803e-05
2018-07-12,5.425008323897692e-05
2018-07-13,9.070704585839945e-05
2018-07-16,0.00011840804315179545
2018-07-17,3.439387794008069e-05
2018-07-18,5.221102120854816e-05
2018-07-19,8.870980581874201e-05
2018-07-20,3.10372514472804e-05
2018-07-23,5.230780021137742e-05
2018-07-24,1.7289528456460893e-05
2018-07-25,4.050034914006567e-05
2018-07-26,4.050034914006567e-05
2018-07-27,9.863305504504199e-05
2018-07-30,1.6805160739700155e-05
2018-07-31,5.121085518609989e-05
2018-08-01,2.4454801969772634e-05
2018-08-02,1.7209999279648392e-05
2018-08-03,3.363884408402426e-05
2018-08-06,0.00017181259243553607
2018-08-07,0.00016823051127768578
2018-08-08,0.00021970313478725497
2018-08-09,4.1996004508861027e-05
2018-08-10,4.1996004508861027e-05
2018-08-13,2.5781810324764973e-05
2018-08-14,5.3340434181201145e-05
2018-08-15,3.48135151728157e-05
2018-08-16,3.445794204838033e-05
2018-08-17,5.230780021137742e-05
2018-08-20,6.516614230916907e-05
2018-08-21,2.78429408609235e-05
2018-08-22,2.78429408609235e-05
2018-08-23,0.00033388927576333635
2018-08-24,9.936201392454004e-05
2018-08-27,3.3484676713139294e-05
2018-08-28,7.296907355947704e-05
2018-08-29,8.749484559913994e-05
2018-08-30,5.097695706042816e-05
2018-08-31,5.097695706042816e-05
2018-09-04,5.144636682145485e-05
2018-09-05,8.789704410129094e-05
2018-09-06,1.9482360027205684e-05
2018-09-07,7.850750137027765e-05
2018-09-10,5.144636682145485e-05
2018-09-11,7.230403704954944e-05
2018-09-12,0.00011319548340865371
2018-09-13,1.2576691169846853e-05
2018-09-14,2.4276785627462044e-05
2018-09-17,1.9304600611243283e-05
2018-09-18,8.622619604677259e-05
2018-09-19,7.521251067128027e-05
2018-09-20,1.2340142915811728e-05
2018-09-21,1.866760889676654e-05
2018-09-24,5.342369609158663e-05
2018-09-25,2.3711463909820745e-05
2018-09-26,9.631853855691244e-05
2018-09-27,5.046798851593926e-05
2018-09-28,0.0001246502494572922
2018-10-01,3.240530636048273e-05
2018-10-02,1.88536512238302e-05
2018-10-03,7.487423759866722e-05
2018-10-04,7.311708989627552e-06
2018-10-05,4.965142253698069e-05
2018-10-08,0.00011350463598382032
2018-10-09,1.9025204634712257e-05
2018-10-10,1.2519757046779784e-05
2018-10-11,1.6805160739700155e-05
2018-10-12,5.046798851593926e-05
2018-10-15,7.4316807464157515e-06
2018-10-16,1.2519757046779784e-05
2018-10-17,4.717644627811553e-06
2018-10-18,5.7792564069033315e-05
2018-10-19,2.423258525888412e-05
2018-10-22,3.269983605348608e-05
2018-10-23,1.2611038257529403e-05
2018-10-24,1.6805160739700155e-05
2018-10-25,5.074465773886313e-05
2018-10-26,2.9944116181931592e-05
2018-10-29,2.9944116181931592e-05
2018-10-30,3.954720007020722e-05
2018-10-31,1.6683466347160225e-05
2018-11-01,3.240530636048273e-05
2018-11-02,6.992082893754425e-05
2018-11-05,4.1000983025968346e-05
2018-11-06,5.5807275386976816e-05
2018-11-07,3.1349443018094094e-05
2018-11-08,1.194987770178805e-05
2018-11-09,6.849828321580742e-05
2018-11-12,4.118374082635808e-05
2018-11-13,1.6108721718804927e-05
2018-11-14,3.773914089649502e-05
2018-11-15,3.75718547720496e-05
2018-11-16,6.771335752578806e-05
2018-11-19,4.773687060108885e-05
2018-11-20,1.6108721718804927e-05
2018-11-21,1.6108721718804927e-05
2018-11-22,1.2142658821875305e-05
2018-11-23,5.5807275386976816e-05
2018-11-26,4.816215075502894e-05
2018-11-27,3.1349443018094094e-05
2018-11-28,4.829084335100306e-05
2018-11-29,1.2197037290639218e-05
2018-11-30,7.487423759866722e-05
2018-12-03,0.00024269185131210004
2018-12-04,0.00023919561173470466
2018-12-05,0.00029433410564910914
2018-12-06,1.6488513670128787e-05
2018-12-07,0.00013110234021866966
2018-12-10,0.0001246502494572922
2018-12-11,3.3088766183649924e-05
2018-12-12,8.521562583272271e-05
2018-12-13,3.240530636048273e-05
2018-12-14,1.8939136565277786e-05
2018-12-17,0.00010105486757784921
2018-12-18,0.0003368624082040382
2018-12-19,0.0001561919646756154
2018-12-20,0.00010520144888914233
2018-12-21,5.074465773886313e-05
2018-12-24,0.00011319548340865371
2018-12-25,1.9482360027205684e-05
2018-12-26,4.0129716449888336e-05
2018-12-27,5.046798851593926e-05
2018-12-28,1.2542484211804922e-05
2019-01-02,0.0005507376151779946
2019-01-03,0.00013205978361752242
2019-01-04,0.00020924637441396547
2019-01-07,5.294347378048308e-05
2019-01-08,1.7289528456460893e-05
2019-01-09,1.2998327788448712e-05
2019-01-10,0.0001307430905367167
2019-01-11,2.8180747332991038e-05
2019-01-14,6.758762262611352e-05
2019-01-15,0.0001077727983571538
2019-01-16,7.694102689138373e-05
2019-01-17,0.0001030341089233827
