date,parkinson_variance
2010-01-18,0.0
2010-01-19,0.0
2010-01-20,0.00012143556928007672
2010-01-21,0.0009238197389961496
2010-01-22,0.000917291113945838
2010-01-25,0.0008037415050174057
2010-01-26,0.00024762573459524484
2010-01-27,0.0011236032022013036
2010-01-28,0.0015115656417825708
2010-01-29,0.0014276006376431002
2010-02-01,0.000488809828233465
2010-02-02,0.0001579610759692432
2010-02-03,0.0013018090088849374
2010-02-04,0.0008430778839352383
2010-02-05,0.0006736212371527704
2010-02-08,0.0003589781880692482
2010-02-09,0.0003682135478703667
2010-02-10,0.000526894269506633
2010-02-11,0.00022404198787413256
2010-02-12,0.00034152017192735803
2010-02-22,0.00017206363354829528
2010-02-23,0.00023715534961444258
2010-02-24,6.163168562753178e-05
2010-02-25,0.00013512035481501086
2010-02-26,0.0007358594828926637
2010-03-01,0.0005041597201900314
2010-03-02,0.00033326494180785376
2010-03-03,5.565881512707294e-05
2010-03-04,0.0004020404579406041
2010-03-05,0.00012369491639862686
2010-03-08,0.0002595772391566219
2010-03-09,0.0004389835502110073
2010-03-10,0.001024963366768783
2010-03-11,0.00022357736356072726
2010-03-12,0.00040988242432818455
2010-03-15,0.0003434391253134801
2010-03-16,0.0010483682619351956
2010-03-17,0.0002978625024752067
2010-03-18,0.00010722105544915411
2010-03-19,0.0001438677510430202
2010-03-22,0.000676123859772005
2010-03-23,0.00030131643278804486
2010-03-24,0.00019622107886621646
2010-03-25,0.0005352554613907282
2010-03-26,0.0006454225659728006
2010-03-29,0.0001579610759692432
2010-03-30,0.00020570563492045132
2010-03-31,0.0010026610410475514
2010-04-01,0.00016579732864894906
2010-04-02,0.0004574135525126257
2010-04-05,0.0001116685046070678
2010-04-06,0.00011501687814246075
2010-04-07,0.0001579610759692432
2010-04-08,0.0007850978924573039
2010-04-09,0.0005425816407463848
2010-04-12,0.000943547045974787
2010-04-13,0.0003593904013623407
2010-04-14,7.731943236890038e-05
2010-04-15,0.00030131643278804486
2010-04-16,0.00010599911320287729
2010-04-19,0.0005517156175128287
2010-04-20,6.228130917118335e-05
2010-04-21,0.0009440836148034974
2010-04-22,0.0012583683368462563
2010-04-26,9.233642232946107e-05
2010-04-27,0.0009044398130131174
2010-04-28,0.00035412008100505426
2010-04-29,0.0005060501688553843
2010-05-04,0.00029168270028940625
2010-05-05,0.0004202073370897633
2010-05-06,0.0006360807056353725
2010-05-07,0.0020701175424733625
2010-05-10,0.0021222416428522315
2010-05-11,0.0002131599097719919
2010-05-12,0.000728787235746806
2010-05-13,0.0006681814495400009
2010-05-14,9.318650206833077e-05
2010-05-17,0.0010252135373000216
2010-05-18,0.00029729262518046653
2010-05-19,0.00010801778143420424
2010-05-20,0.00220695918371555
2010-05-21,3.9340953125662636e-05
2010-05-24,0.001134689845617302
2010-05-25,0.0018018851876971313
2010-05-26,3.698688540620566e-05
2010-05-27,0.00014356037574477488
2010-05-28,0.00029729262518046653
2010-05-31,0.0002366034445551012
2010-06-01,0.0002862300862392801
2010-06-02,0.0007729484447567272
2010-06-03,0.00029729262518046653
2010-06-04,0.0003030659712484751
2010-06-07,0.0003329274918518785
2010-06-08,0.000597983785257221
2010-06-09,0.0001464680506567397
2010-06-10,3.698688540620566e-05
2010-06-11,0.0001464680506567397
2010-06-14,0.0004960889622510251
2010-06-15,0.0011004264225926979
2010-06-16,0.0002280287275828889
2010-06-17,0.0003929236232572834
2010-06-18,0.0012848804277066608
2010-06-21,0.0009574572948362502
2010-06-22,0.00042796339851652957
2010-06-23,0.0005336726463806602
2010-06-24,0.00012840696389226244
2010-06-25,0.00025901539258147533
2010-06-28,0.0002694152743883875
2010-06-29,0.00013599639042359077
2010-06-30,0.0003262847122957493
2010-07-01,0.0008039912263130877
2010-07-02,0.0005235534110338596
2010-07-05,0.00013086460632663895
2010-07-06,0.00048641902640172475
2010-07-07,0.0002694152743883875
2010-07-08,0.00010591263203079705
2010-07-09,0.00025901539258147533
2010-07-12,0.0004960889622510251
2010-07-13,0.0003030659712484751
2010-07-14,0.000513719306735928
2010-07-15,0.0006681814495400009
2010-07-16,0.0
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,0.000331247905853169
2010-07-22,0.0007266550449012382
2010-07-23,0.0007568787878885978
2010-07-26,0.00045077027455254213
2010-07-27,0.000897067571401885
2010-07-28,6.909596892225345e-05
2010-07-29,0.0007517672970285236
2010-07-30,0.00037729558323647614
2010-08-02,0.00012474279013242643
2010-08-03,0.0005086980983378984
2010-08-04,0.0017447053435005336
2010-08-05,0.0008990596691418472
2010-08-06,0.0007351293966680369
2010-08-09,0.0012401243102539274
2010-08-10,0.0012781911001720765
2010-08-11,0.0007922909575022
2010-08-12,8.909982228800029e-05
2010-08-13,0.0024230377387837237
2010-08-16,0.001074285126489264
2010-08-17,0.0005717720812072518
2010-08-18,8.636360595286304e-05
2010-08-19,0.00021284617784111167
2010-08-20,0.0008872057188471872
2010-08-23,0.0006211623280143869
2010-08-24,0.0002487107461985028
2010-08-25,3.092240346083636e-05
2010-08-26,0.0016925569667661838
2010-08-27,0.002642870811329827
2010-08-30,0.0
2010-08-31,0.00010188284466245712
2010-09-01,2.3269149750495665e-05
2010-09-06,0.0
2010-09-07,0.002164634587166132
2010-09-08,0.0003718391213648335
2010-09-09,0.0008043110394535424
2010-09-10,0.0014451860595471188
2010-09-13,0.0009297552872329001
2010-09-14,0.0011464888293272718
2010-09-15,0.0007775207056711612
2010-09-16,0.00019891849212294954
2010-09-17,0.00019283285079235227
2010-09-20,0.0003718391213648335
2010-09-21,0.0005357316792719187
2010-09-22,0.0003509055205967288
2010-09-23,0.0009148283738568899
2010-09-24,0.00011478899711041577
2010-09-27,0.00037752238563952794
2010-09-28,7.521251067128027e-05
2010-09-29,0.0001729619738969228
2010-09-30,0.0005466129635803672
2010-10-01,0.00030976431829078335
2010-10-04,0.00021579333148894807
2010-10-05,0.0003454957896643455
2010-10-06,0.0001755150907136199
2010-10-07,0.0006970944537994648
2010-10-08,0.0004876122292302984
2010-10-11,0.00017812515956314675
2010-10-12,0.0003662832396091429
2010-10-13,0.00019283285079235227
2010-10-14,2.142417534377609e-05
2010-10-15,0.00019584021755500138
2010-10-18,8.909982228800029e-05
2010-10-19,0.0012213081915148922
2010-10-20,0.0002765575747062852
2010-10-21,0.0002765575747062852
2010-10-22,0.0014251253667772466
2010-10-25,0.0006910043775823337
2010-10-26,9.854249957908572e-05
2010-10-27,0.00022357736356072726
2010-10-28,0.00010188284466245712
2010-10-29,0.000980876115436864
2010-11-01,0.00023762385595253429
2010-11-02,0.000601039462955598
2010-11-03,0.00021633575013685962
2010-11-04,0.0002199118504837692
2010-11-05,0.000245312769755848
2010-11-08,9.536377930874998e-05
2010-11-09,0.000271904159105054
2010-11-10,0.0007342790019914765
2010-11-11,0.00010956986822903178
2010-11-12,0.0007032654061692516
2010-11-15,0.00045403835541469527
2010-11-16,0.0005229671474993487
2010-11-17,0.00011349172935331216
2010-11-18,0.00025312289679355423
2010-11-19,2.7631704476642024e-05
2010-11-22,0.00011349172935331216
2010-11-23,0.0010039583267413793
2010-11-24,0.0004853000086078416
2010-11-25,0.00040082285098518266
2010-11-26,0.00021284617784111167
2010-11-29,0.00021633575013685962
2010-11-30,0.0006104978670252438
2010-12-01,0.00024142240303240233
2010-12-02,0.0004096116002156134
2010-12-03,0.0002190787674666006
2010-12-06,0.00019283285079235227
2010-12-07,0.0006104978670252438
2010-12-08,0.000601039462955598
2010-12-09,0.0008872057188471872
2010-12-10,0.00024142240303240233
2010-12-13,2.0778656796327144e-05
2010-12-14,0.0006104978670252438
2010-12-15,0.00019891849212294954
2010-12-16,0.0004096116002156134
2010-12-17,0.0004096116002156134
2010-12-20,0.00019584021755500138
2010-12-21,0.0004096116002156134
2010-12-22,0.0004096116002156134
2010-12-23,0.000601039462955598
2010-12-24,0.00021633575013685962
2010-12-27,9.536377930874998e-05
2010-12-28,0.00021284617784111167
2010-12-29,9.383178953057875e-05
2010-12-30,0.0003815055548022742
2010-12-31,0.0008721429072526755
