date,sentiment_score,sentiment_confidence,news_count
2024-02-12,0.20055025815963745,0.5324801206588745,1
2024-02-13,-0.3790251910686493,0.6812793612480164,1
2024-02-15,0.74999038875103,0.8700725436210632,1
2024-02-26,-0.8248254805803299,0.9078986644744873,1
2024-02-28,-0.40438520908355713,0.6969137191772461,1
2024-02-29,0.8042925223708153,0.8962572813034058,1
2024-03-01,0.22595680318772793,0.7403956651687622,1
2024-03-13,0.645928218960762,0.8175145387649536,1
2024-03-14,-0.8750288486480713,0.9114258885383606,1
2024-03-15,-0.6888166964054108,0.8377014398574829,1
