horizon,n_pos,n_neg,n_neu,mean_pos_bp,mean_neg_bp,mean_neu_bp,spread_pos_neg_bp,p_value
1,968,7,292,24.614833573054028,142.6527503735196,-21.55747902116943,-118.03791680046558,0.5573884690258137
3,967,7,291,35.20439640502017,308.70993514947617,-36.21215398017062,-273.505538744456,0.5688731324718787
5,964,7,291,60.30755882271533,325.952862156096,-7.341840187803025,-265.6453033333807,0.7053894207331808
