category,n_days,pooled_ratio_vs_no_news,yearmatched_median_ratio,yearmatched_mean_ratio,n_years_matched,p_value_pooled
all_news,1178,0.8654242166326923,1.0343874793603176,0.9898299496869174,18,1.051391008284652e-11
rating_POS,719,0.880143063958273,1.013086753189154,0.991654451769369,12,1.7100818384586617e-06
rating_NEG,7,0.8606125629433254,,,0,0.4019591734224518
earnings_update,153,0.8161286231890462,0.9425353061047558,0.9658290471166201,14,0.00013417730075203227
event_shock,6,0.7686375186961515,0.7890137596380078,0.7890137596380078,1,0.2930213849440003
