ticker,date,sentiment_1d,title,rating,is_earnings,is_event
ACB,2010-11-26,0.0,ACB: Báo cáo phân tích cổ phiếu 26/11/2010 | ACB: Báo cáo phân tích cổ phiếu 26/11/2010,,False,False
ACB,2011-06-08,0.0,ACB: Báo cáo phân tích cổ phiếu 08/06/2011,,False,False
ACB,2011-10-03,0.0,ACB: Báo cáo phân tích cổ phiếu 03/10/2011,,False,False
ACB,2012-08-22,0.0,ACB: Báo cáo cập nhật - Định giá cao so với NH khác,,False,False
ACB,2012-11-09,0.5,ACB: Báo cáo cập nhật lợi nhuận 9 tháng đầu năm 2012,,False,False
ACB,2013-10-25,0.0,HPG: Báo cáo cập nhật - Thu hồi khoản phải thu từ CTCP đầu tư Hà Nội ACB,,False,False
ACB,2015-03-10,0.5,ACB : Báo cáo cập nhật - Khuyến nghị KHẢ QUAN,POS,False,False
ACB,2015-05-25,0.6666666666666666,ACB : [KQ +19%] - KQLN Q1/2015 trái chiều đưa ACB khỏi vùng khuyến nghị mua,POS,True,False
ACB,2015-09-11,0.0,ACB : Những bước tiến vững chắc nhất kể từ năm 2011,,False,False
ACB,2017-08-15,0.5,ACB : Báo cáo cập nhật - Khuyến nghị Tăng tỷ trọng,,False,False
ACB,2018-04-20,0.5,ACB : Báo cáo cập nhật ngắn - Khuyến nghị Khả quan,POS,False,False
ACB,2018-11-29,0.5,ACB : Báo cáo cập nhật - Khuyến nghị [Mua +27.2%],POS,False,False
ACB,2019-06-18,0.6666666666666666,ACB : Báo cáo cập nhật - Khuyến nghị Mua,POS,False,False
ACB,2019-08-06,0.6666666666666666,ACB - Báo cáo cập nhật [TĂNG TỶ TRỌNG +44.6%] - Duy trì chất lượng tài sản tốt và lợi nhuận tăng ổn ,,False,False
ACB,2019-11-08,0.6666666666666666,Báo cáo nhanh cổ phiểu ACB - Khuyến nghị MUA,POS,True,False
ACB,2019-12-04,0.5,Báo cáo cập nhật ACB - MUA,POS,False,False
ACB,2020-03-04,0.0,Báo cáo cập nhật ACB - NẮM GIỮ,NEU,False,False
ACB,2020-04-15,0.5,Báo cáo cập nhật ACB - MUA,POS,False,False
ACB,2020-04-27,0.0,Báo cáo nhanh ACB,,True,False
ACB,2020-05-12,0.5,ACB – Cập nhật KQKD [Mua +46%] Khẳng định nội lực,POS,True,False
ACB,2020-06-19,0.5,"Khuyến nghị tích cực đối với VCB, ACB và TCB",POS,False,False
ACB,2020-06-22,0.5,Khuyến nghị tích cực dành cho ACB với giá mục tiêu 29.600 đồng/CP,POS,False,False
ACB,2020-07-24,0.6666666666666666,ACB – Tin vắn [17.5%] Có thể thêm room tăng trưởng tín dụng 3-4%,,False,False
ACB,2020-08-03,0.5833333333333333,ACB – Cập nhật 2Q20 [MUA +30.2%] Nền tảng thu nhập ngoài lãi vững chắc | Khuyến nghị mua cổ phiếu ACB,POS,True,False
ACB,2020-08-13,0.5,Khuyến nghị tích cực dành cho cổ phiếu ACB,POS,False,False
ACB,2020-10-22,0.5,ACB: Kết quả LNTT quý 3/2020 khả quan (+34% YoY),POS,True,False
ACB,2020-10-28,-0.5,ACB: Vững vàng nhờ khẩu vị rủi ro thấp,,False,False
ACB,2020-11-04,0.6666666666666666,ACB – Cập nhật 3Q20 [MUA +23%] Tăng tốc,POS,True,False
ACB,2020-11-27,0.0,ACB: Trợ lực đến từ thương vụ banca độc quyền,,False,False
ACB,2020-12-09,0.5,Khuyến nghị tích cực đối với cổ phiếu ACB,POS,False,False
ACB,2021-02-19,0.6666666666666666,ACB: Duy trì tốc độ tăng trưởng ấn tượng,,False,False
ACB,2021-02-24,0.5,ACB – Cập nhật 4Q20 [MUA +15.5%] Quản lý tốt chi phí tín dụng,POS,True,False
ACB,2021-03-16,0.6666666666666666,"ACB – Tin vắn [MUA +9.3%] Mục tiêu LNTT 2021 10.6 nghìn tỷ, tăng 10.5% n/n",POS,False,False
ACB,2021-03-18,0.0,ACB: Chất lượng tốt với các chất xúc tác ngắn hạn,,False,False
ACB,2021-04-16,0.75,ACB: Lợi nhuận tăng trưởng ổn định,,False,False
ACB,2021-04-26,0.5,Khuyến nghị tích cực dành cho cổ phiếu ACB,POS,False,False
ACB,2021-05-11,0.25,ACB – Cập nhật 1Q21 [MUA +15.7%] NIM tăng xoa dịu xu hướng tăng nợ xấu,POS,True,False
ACB,2021-05-14,0.5,Khuyến nghị tích cực dành cho cổ phiếu ACB,POS,False,False
ACB,2021-06-18,0.0,"SAB, GVR và ACB sẽ thay thế REE, SBT và TCH trong rổ VN30",,False,False
ACB,2021-06-24,-0.5,ACB: Tập trung kinh doanh mảng bán lẻ,,False,False
ACB,2021-08-11,0.5,"ACB: Khuyến nghị KHẢ QUAN với giá hợp lý 41,117 đồng/cp",POS,False,False
ACB,2021-08-30,0.6666666666666666,"ACB: Khuyến nghị MUA với giá mục tiêu 38,500 đồng/cp",POS,False,False
