date,parkinson_volatility
2016-12-28,0.0
2016-12-29,0.0013800829404163424
2016-12-30,0.0003043621365344582
2017-01-03,0.00010441195457610191
2017-01-04,2.632552219985022e-05
2017-01-05,1.687708572409068e-05
2017-01-06,1.6993129856820804e-05
2017-01-09,3.823491747857678e-05
2017-01-10,9.542221141284253e-06
2017-01-11,1.705160125880489e-05
2017-01-12,1.705160125880489e-05
2017-01-13,2.6781175324988397e-05
2017-01-16,2.6597505025895503e-05
2017-01-17,1.6993129856820804e-05
2017-01-18,9.608001306821052e-06
2017-01-19,0.00010267780403283008
2017-01-20,3.6083664262534436e-05
2017-01-23,3.620953037332954e-05
2017-01-24,3.96856004030084e-05
2017-01-25,0.0006837660309137269
2017-02-02,2.5130779226698518e-05
2017-02-03,3.6248998610529327e-05
2017-02-06,7.770904607364006e-05
2017-02-07,3.7587142979446335e-05
2017-02-08,8.442919304224636e-05
2017-02-09,8.529701625016326e-05
2017-02-10,6.750992240884318e-05
2017-02-13,3.797381307163251e-05
2017-02-14,1.6762226226491543e-05
2017-02-15,6.659567819879233e-05
2017-02-16,9.730136674243088e-05
2017-02-17,0.00012083012435774214
2017-02-20,0.000584532388099009
2017-02-21,0.0012958351166098914
2017-02-22,0.000321189432263343
2017-02-23,0.00023999445212811966
2017-02-24,0.00017046416410772285
2017-02-27,0.0002674461075020978
2017-02-28,0.0007079080191706926
2017-03-01,0.0002526984016242424
2017-03-02,4.9556332180849374e-05
2017-03-03,0.0001090939713234894
2017-03-06,3.573631388051277e-05
2017-03-07,0.00021686393408516672
2017-03-08,0.0003489846706259739
2017-03-09,2.8946590212630038e-05
2017-03-10,4.7599527644910657e-05
2017-03-13,0.0005100802218484327
2017-03-14,0.0005574704996689756
2017-03-15,0.0009734237010686789
2017-03-16,3.404469828184978e-05
2017-03-17,0.0014365235320291901
2017-03-20,0.00036837589136873197
2017-03-21,2.812184239132755e-05
2017-03-22,7.57866967241624e-05
2017-03-23,0.00015519860354312512
2017-03-24,0.0004891736082278283
2017-03-27,2.7957023958241292e-05
2017-03-28,7.423350805437387e-05
2017-03-29,4.717898357301808e-05
2017-03-30,1.7696435896565877e-05
2017-03-31,4.9556332180849374e-05
2017-04-03,9.274068472615406e-05
2017-04-04,0.00010387914617816072
2017-04-05,7.070524403099355e-05
2017-04-07,3.680031564369234e-05
2017-04-10,2.4520109710003803e-05
2017-04-11,1.0399244791362368e-05
2017-04-12,2.4520109710003803e-05
2017-04-13,1.0429090286069946e-05
2017-04-14,5.752179291124121e-05
2017-04-17,1.2103461510549863e-05
2017-04-18,6.226312565150114e-05
2017-04-19,7.543020992740996e-05
2017-04-20,5.6863330890511254e-05
2017-04-21,0.000338400794842313
2017-04-24,0.00024671753836965764
2017-04-25,2.4977647461714646e-05
2017-04-26,3.385647345423862e-05
2017-04-27,0.0002483193219332251
2017-04-28,0.00037577557064415943
2017-05-03,5.6863330890511254e-05
2017-05-04,4.869634942285886e-05
2017-05-05,1.9049408840499873e-05
2017-05-08,0.00016965050474066295
2017-05-09,0.0001286448347265026
2017-05-10,7.445245300327409e-05
2017-05-11,1.246179986093309e-05
2017-05-12,2.812184239132755e-05
2017-05-15,7.601255425226574e-05
2017-05-16,3.969551393032104e-05
2017-05-17,5.146114021087083e-05
2017-05-18,2.912024999402854e-05
2017-05-19,3.945861039221488e-05
2017-05-22,4.7458723664972014e-05
2017-05-23,5.948992644879717e-06
2017-05-24,4.7740959181461187e-05
2017-05-25,5.208139680486179e-05
2017-05-26,2.0435982934802172e-05
2017-05-29,2.0435982934802172e-05
2017-05-30,0.00013651569109576848
2017-05-31,0.00013651569109576848
2017-06-01,0.00013691516803588906
2017-06-02,8.113435374921898e-05
2017-06-05,4.717898357301808e-05
2017-06-06,1.9329340122878135e-05
2017-06-07,1.916064701291806e-05
2017-06-08,4.9556332180849374e-05
2017-06-09,0.00019660305231554458
2017-06-12,1.2981087779823003e-05
2017-06-13,7.312806476765869e-06
2017-06-14,2.9383684570312468e-05
2017-06-15,4.041916795136958e-05
2017-06-16,0.0001377396983986024
2017-06-19,0.00017268410979312656
2017-06-20,6.484014561654345e-05
2017-06-21,3.9576796269980096e-05
2017-06-22,2.0192062122416246e-05
2017-06-23,9.254292328111844e-05
2017-06-26,1.7801284881603257e-05
2017-06-27,1.1144342669963042e-05
2017-06-28,3.6161670431643966e-05
2017-06-29,0.00011039737032229863
2017-06-30,1.2865055602500258e-05
2017-07-03,1.9893253845483114e-05
2017-07-04,1.2865055602500258e-05
2017-07-05,1.2826723759795914e-05
2017-07-06,2.8946590212630038e-05
2017-07-07,4.005488967903192e-05
2017-07-10,5.271293529314961e-05
2017-07-11,2.9561298588063376e-05
2017-07-12,4.017576666294397e-05
2017-07-13,2.0435982934802172e-05
2017-07-14,6.522827553957391e-05
2017-07-17,0.00022402115283856453
2017-07-18,6.56199009471653e-05
2017-07-19,2.0192062122416246e-05
2017-07-20,2.9561298588063376e-05
2017-07-21,6.56199009471653e-05
2017-07-24,2.0131764283832183e-05
2017-07-25,2.8946590212630038e-05
2017-07-26,7.225782116414497e-06
2017-07-27,2.0192062122416246e-05
2017-07-28,8.236508994650122e-05
2017-07-31,0.00020611565022095313
2017-08-01,2.0435982934802172e-05
2017-08-02,2.0497653745482276e-05
2017-08-03,7.401412487115024e-06
2017-08-04,2.05596041400449e-05
2017-08-07,9.587066985801849e-05
2017-08-08,8.044144152856567e-05
2017-08-09,1.3743181327337767e-05
2017-08-10,0.00014377121338958568
2017-08-11,0.00029800522784008854
2017-08-14,0.0002729874411815954
2017-08-15,0.00016436133164314442
2017-08-16,0.00011806371720807433
2017-08-17,8.666743672634974e-06
2017-08-18,8.69513604836598e-06
2017-08-21,7.903296379646902e-05
2017-08-22,2.471642414486629e-05
2017-08-23,0.00023861000121596447
2017-08-24,6.000300730101964e-05
2017-08-25,0.00021029845731322758
2017-08-28,0.0001416697656010789
2017-08-29,0.0002522205353389781
2017-08-30,0.00015035640661772537
2017-08-31,0.0002582557996828191
2017-09-01,4.6871052319873686e-05
2017-09-05,0.00036915663676312854
2017-09-06,0.00023534135136700984
2017-09-07,0.00014984604018718342
2017-09-08,0.00010441195457610191
2017-09-11,6.659567819879233e-05
2017-09-12,0.0005201718529793945
2017-09-13,0.00011768976766130772
2017-09-14,7.902924983666819e-05
2017-09-15,0.001505975726076396
2017-09-18,0.0002642355933262375
2017-09-19,1.533234112353158e-05
2017-09-20,6.213832924531186e-05
2017-09-21,3.495237111266118e-05
2017-09-22,3.518289275922645e-05
2017-09-25,2.4553546798720628e-05
2017-09-26,6.254815583652962e-05
2017-09-27,3.529900973196263e-05
2017-09-28,2.4392274173854118e-05
2017-09-29,0.00011133415075353527
2017-10-02,3.483795896747911e-05
2017-10-03,2.4472711217452718e-05
2017-10-04,1.5688306601772165e-05
2017-10-05,1.5688306601772165e-05
2017-10-06,1.5688306601772165e-05
2017-10-09,8.810112273820344e-06
2017-10-10,8.839212661142546e-06
2017-10-11,8.810112273820344e-06
2017-10-12,2.4392274173854118e-05
2017-10-13,8.781155356596907e-06
2017-10-16,0.00029721249219136323
2017-10-17,0.00011181751289616459
2017-10-18,3.364271190051855e-05
2017-10-19,9.285570846460177e-05
2017-10-20,0.00013107701859925962
2017-10-23,0.0001909359783998598
2017-10-24,2.4472711217452718e-05
2017-10-25,0.00016820621003368164
2017-10-26,4.608937662303668e-05
2017-10-27,3.6128166681975483e-05
2017-10-30,8.927384176642746e-06
2017-10-31,1.595021229829935e-05
2017-11-01,2.5047078801571763e-05
2017-11-02,0.0003432079980826776
2017-11-03,3.495237111266118e-05
2017-11-06,1.563669999212216e-05
2017-11-07,1.574016911421206e-05
2017-11-08,0.0005289661026737336
2017-11-09,0.00011690266934349117
2017-11-10,9.664899422616472e-05
2017-11-13,8.986900153540238e-06
2017-11-14,2.5130779226698518e-05
2017-11-15,1.6110516125960455e-05
2017-11-16,6.359063778474766e-05
2017-11-17,6.359063778474766e-05
2017-11-20,0.00016611643377969107
2017-11-21,5.072812572376898e-05
2017-11-22,0.0001180863011847931
2017-11-23,7.71902121026273e-05
2017-11-24,1.64801554701675e-05
