ticker,num_records
AAA,4010
ACB,4598
ANV,4598
ASM,4135
BCM,2113
BFC,2714
BID,3131
BMP,4598
BSI,3759
BVH,4280
BWE,2267
CII,4598
CMG,4131
CTD,4133
CTG,4265
CTR,2194
CTS,4251
DBC,4590
DCM,2845
DGC,2984
DGW,2760
DIG,4241
DPM,4598
DSE,531
DXG,4153
DXS,1266
EIB,4193
EVF,1996
FPT,4598
FRT,2075
FTS,2393
GAS,3556
GEE,1091
GEX,2698
GMD,4598
GVR,2094
HAG,4404
HAH,2859
HCM,4307
HDB,2148
HDC,4598
HDG,4124
HHV,2653
HPG,4598
HSG,4415
HT1,4598
HVN,2394
IJC,4075
IMP,4598
KBC,4155
KDC,4598
KDH,4125
KOS,2162
LPB,2203
MBB,3691
MSN,4186
MWG,3021
NKG,3887
NLG,3334
NT2,4094
NVL,2404
OCB,1381
PAN,3901
PC1,2434
PDR,4004
PHR,4242
PLX,2329
PNJ,4345
POW,2102
PPC,4598
PTB,3762
PVD,4598
PVT,4598
REE,4598
SAB,2420
SBT,4598
SCS,2267
SHB,4323
SIP,1794
SJS,4598
SSB,1347
SSI,4598
STB,4598
SZC,1892
TCB,2050
TCH,2464
TLG,4091
TPB,2079
VCB,4277
VCG,4475
VCI,2276
VGC,2697
VHC,4598
VHM,3474
VIB,2390
VIC,4598
VIX,4141
VJC,2366
VND,4079
VNM,4598
VPB,2247
VPI,2168
VRE,2191
VSC,4598
