date,ticker,num_articles,avg_sentiment_score,avg_positive_score,avg_negative_score,avg_neutral_score,sentiment_std,min_sentiment,max_sentiment
2026-06-15,SAB,3,-0.27622074633836746,0.030006180206934612,0.3062269190947215,0.6637669205665588,0.4763523942516427,-0.8260173797607422,0.012972671538591385
2026-06-16,SAB,4,-0.6725309432949871,0.03668504673987627,0.7092159937601537,0.2540989483240992,0.4568042522361854,-0.9334161281585693,0.009979450143873692
2026-06-17,SAB,3,-0.10555054744084676,0.28717566281557083,0.3927262065311273,0.32009810364494723,0.7871933442380272,-0.92765212059021,0.6413351893424988
2026-06-18,SAB,5,-0.5455274535343051,0.03234596364200115,0.5778734182938934,0.38978061843663453,0.48884744242962236,-0.9333494305610657,0.009979450143873692
2026-06-19,SAB,5,-0.5771659549325705,0.10759082809090614,0.6847567867487669,0.2076523993164301,0.41494777525197724,-0.9131575226783752,0.01898968406021595
2026-06-22,SAB,5,-0.20533817652612923,0.10091424379497767,0.3062524240463972,0.5928333424031734,0.39847339504953483,-0.9131575226783752,0.01898968406021595
2026-06-23,SAB,3,-0.924629012743632,0.02803943306207657,0.9526684482892355,0.01929209629694621,0.007835838130138452,-0.9331421256065369,-0.9177181124687195
2026-06-24,SAB,3,-0.0420973834892114,0.31475543479124707,0.35685280834635097,0.3283917875960469,0.7749002041344706,-0.8430635929107666,0.703798770904541
2026-06-25,SAB,3,-0.620573333154122,0.02018047372500102,0.6407538075000048,0.33906569828589755,0.5320874937722923,-0.9277791380882263,-0.006171617656946182
2026-06-26,SAB,4,-0.3012378318235278,0.10300929355435073,0.40424711839295924,0.4927435995778069,0.44087152078119207,-0.9275199174880981,0.012972671538591385
2026-06-29,SAB,4,-0.43358322349376976,0.038575252052396536,0.47215846576727927,0.489266311051324,0.5183555890768857,-0.9202384352684021,0.01898968406021595
2026-06-30,SAB,3,-0.31087145178268355,0.025892086947957676,0.33676354804386693,0.6373443597306808,0.5201276363811991,-0.9109829068183899,0.009979450143873692
