date,open,high,low,close,volume,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2007-11-15,1.83,1.83,1.53,1.79,1306330.0,0.011562576493174158,0.015840458638781148,0.02810124114013135,,0.17904823144898546,,0.011562576493174158,,,0.0021886872770281087,,,False,none,False,False
2007-11-16,1.7,1.7,1.7,1.7,248510.0,0.0,0.0,0.0,,0.0,-0.051587368790493235,0.0,,,0.0001121020169064379,,,True,none,True,False
2007-11-19,1.62,1.62,1.62,1.62,120480.0,0.0,0.0,0.0,,0.0,-0.04820210181787763,0.0,,,4.670773307038734e-05,,,True,none,True,False
2007-11-20,1.55,1.55,1.55,1.55,58710.0,0.0,0.0,0.0,,0.0,-0.04417121831313754,0.0,,,5.970807155678486e-05,,,True,none,True,False
2007-11-21,1.48,1.6,1.48,1.6,728080.0,0.0021921758173435897,0.0006911030946498229,0.0,,0.07796154146971192,0.03174869831458027,0.0021921758173435897,0.0027509504621035493,,0.000543871747639778,,,False,none,False,False
2007-11-22,1.6,1.6,1.55,1.6,266040.0,0.0003635518808054429,0.0005039899223351161,0.001007979844670234,,0.03174869831458027,0.0,0.0003635518808054429,0.0005111455396298065,,0.0004679168558260981,,,False,none,False,False
2007-11-23,1.56,1.6,1.55,1.55,106370.0,0.0003635518808054429,0.00048801419736356,0.0008038074476796949,,0.03174869831458027,-0.0317486983145803,0.0003635518808054429,0.000583855915790895,,0.0001758801142297244,,,False,none,False,False
2007-11-26,1.52,1.55,1.51,1.53,135430.0,0.0002465478079205536,0.0003251773707430046,0.00034068184944616804,,0.026145280104322207,-0.01298719552681119,0.0002465478079205536,0.0006331654773750058,,0.00016454887453345247,,,False,none,False,False
2007-11-27,1.52,1.52,1.48,1.48,262120.0,0.0002565095200490746,8.086692760249088e-05,0.0,,0.026668247082161273,-0.03322564762832039,0.0002565095200490746,0.0006844673813848208,,0.0001954192782780622,,,False,none,False,False
2007-11-28,1.49,1.51,1.49,1.51,131020.0,6.412167950512402e-05,2.0214934764600448e-05,0.0,,0.013333530869465168,0.020067563050809388,6.412167950512402e-05,0.0002588565538171276,,8.707903434826803e-05,,,False,none,False,False
2007-11-29,1.51,1.52,1.49,1.51,128110.0,0.00014332198660570102,0.00019868646185598382,0.00022135207512872642,,0.01993421490081733,0.0,0.00014332198660570102,0.00021481057497717924,,0.0001730378967489856,,,False,none,False,False
2007-11-30,1.49,1.49,1.48,1.49,114720.0,1.6355541323397364e-05,2.267359470968912e-05,4.534718941937755e-05,,0.0067340321813441194,-0.013333530869465144,1.6355541323397364e-05,0.00014537130708077012,,7.557116021831013e-05,,,False,none,False,False
2007-12-03,1.51,1.51,1.49,1.49,68710.0,6.412167950512402e-05,2.0214934764600705e-05,0.0,,0.013333530869465168,0.0,6.412167950512402e-05,0.0001088860813976842,,0.00019087160380606015,,,False,none,False,False
2007-12-04,1.48,1.49,1.48,1.48,125040.0,1.6355541323397364e-05,2.267359470968912e-05,4.534718941937824e-05,,0.0067340321813441194,-0.006734032181344068,1.6355541323397364e-05,6.085528565254876e-05,,6.31780243725944e-05,,,False,none,False,False
2007-12-05,1.45,1.48,1.45,1.46,112160.0,0.00015125584354595473,0.0001914379411082663,0.00027862377207357264,,0.0204785313435407,-0.013605652055778598,0.00015125584354595473,7.828211846071489e-05,,8.76802319232051e-05,,,False,none,False,False
2007-12-06,1.51,1.51,1.46,1.48,76580.0,0.00040896271651085734,0.00041137923099410906,0.0004581460483396233,,0.03367321510658802,0.013605652055778678,0.00040896271651085734,0.00013141026444174616,,0.00011006376583385302,,,False,none,False,False
2007-12-07,1.45,1.48,1.43,1.43,133400.0,0.00042600437293785183,0.0005160484050350082,0.0007037988647045527,,0.03436764350420782,-0.03436764350420777,0.00042600437293785183,0.00021334003076463708,,0.0001560822596841174,,,False,none,False,False
2007-12-10,1.41,1.42,1.37,1.37,156420.0,0.0004634460036535778,0.0003225324661702012,0.00025333060754175374,,0.03584613177313566,-0.04286370443178227,0.0004634460036535778,0.0002932048955943278,,0.00018691248942743585,,,False,none,False,False
2007-12-11,1.33,1.36,1.31,1.31,184520.0,0.0005060501688553843,0.0006128501195100677,0.0008355193069801492,,0.037457562534900415,-0.04478360262697343,0.0005060501688553843,0.0003911438211007252,,0.00015566423892497558,,,False,none,False,False
2007-12-12,1.25,1.36,1.25,1.32,307780.0,0.0025656273006035915,0.002409821250961268,0.0025178331961945534,,0.08434114843375096,0.0076045993852192125,0.0025656273006035915,0.0008740181125122526,,0.0006261227925541365,,0.8124358695499196,False,none,False,False
2007-12-13,1.32,1.32,1.27,1.27,130410.0,0.0005378026525227679,0.0001695471113807585,0.0,0.0009512717089224617,0.038614836127779516,-0.03861483612777966,0.0005378026525227679,0.0008997860997146346,,0.00012764060084494586,,-0.22821289008740195,False,none,False,False
