date,open,high,low,close,volume,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2011-11-22,33.05354340071344,33.05354340071344,33.05354340071344,33.05354340071344,5000.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0005033311662706913,,,True,none,True,False
2011-11-23,33.05354340071344,33.05354340071344,33.05354340071344,33.05354340071344,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.00034436305607102476,,,True,none,True,True
2011-11-24,35.15393579072532,35.15393579072532,35.15393579072532,35.15393579072532,2500.0,0.0,0.0,0.0,,0.0,0.06160780938949016,0.0,,,0.0004282765925450016,,,True,none,True,False
2011-11-25,35.15393579072532,35.15393579072532,35.15393579072532,35.15393579072532,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.00028393641665656514,,,True,none,True,True
2011-11-28,38.249250891795484,38.249250891795484,38.249250891795484,38.249250891795484,5000.0,0.0,0.0,0.0,,0.0,0.0843873922775476,0.0,0.0,,0.00049188086804873,,,True,none,True,False
2011-11-29,38.249250891795484,38.249250891795484,38.249250891795484,38.249250891795484,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0003952861068830175,,,True,none,True,True
2011-11-30,41.34456599286564,41.34456599286564,41.34456599286564,41.34456599286564,3000.0,0.0,0.0,0.0,,0.0,0.07781702235680774,0.0,0.0,,0.00042125588676212016,,,True,none,True,False
2011-12-01,44.43988109393579,44.43988109393579,44.43988109393579,44.43988109393579,5000.0,0.0,0.0,0.0,,0.0,0.07219629120448899,0.0,0.0,,0.0004173214660670882,,,True,none,True,False
2011-12-02,44.43988109393579,44.43988109393579,44.43988109393579,44.43988109393579,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0004126492863326169,,,True,none,True,True
2011-12-05,47.535196195005945,47.535196195005945,47.535196195005945,47.535196195005945,5000.0,0.0,0.0,0.0,,0.0,0.06733312006858716,0.0,0.0,,0.0005236848271466361,,,True,none,True,False
2011-12-06,47.535196195005945,47.535196195005945,47.535196195005945,47.535196195005945,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0005124869930306661,,,True,none,True,True
2011-12-07,47.535196195005945,47.535196195005945,47.535196195005945,47.535196195005945,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0003266143840541824,,,True,none,True,True
2011-12-08,49.59873959571938,49.59873959571938,49.59873959571938,49.59873959571938,2000.0,0.0,0.0,0.0,,0.0,0.04249501284895526,0.0,0.0,,0.00045583772193157166,,,True,none,True,False
2011-12-09,49.59873959571938,49.59873959571938,49.59873959571938,49.59873959571938,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0003948547417559847,,,True,none,True,True
