date,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2008-03-11,8.280247031982733e-05,0.00010922496856505762,0.00011457243135865223,,0.015151805020602246,,8.280247031982733e-05,,,0.0005339176659569269,,,False,none,False,False
2008-03-12,0.0009920810673934592,0.001285272832956453,0.0019499076778943312,,0.052446475372542524,0.0,0.0009920810673934592,,,0.001188776886918308,,,False,none,False,False
2008-03-13,0.0006055260716906445,0.0005002541531060429,0.00046473928328343174,,0.040974074210305696,0.007547205635382904,0.0006055260716906445,,,0.0006215951764832389,,,False,none,False,False
2008-03-14,8.217870143122637e-05,2.590757293465883e-05,0.0,,0.015094626222484888,0.003752349618550372,8.217870143122637e-05,,,0.0003396901082740149,,,False,none,False,False
2008-03-17,0.00018773412637765693,0.000237571703190483,0.0003456835491208962,,0.022814677766171264,-0.01890415463915261,0.00018773412637765693,0.00039006448744256285,,0.0002376217756711424,,,False,none,False,False
2008-03-18,0.00036068315451554813,0.0004938074996575525,0.0008732796306237844,,0.03162318843051214,-0.0468835858988505,0.00036068315451554813,0.0004456406242817071,,0.003934882527414068,,,False,none,False,False
2008-03-19,0.00036068315451554813,0.0005000130232558386,0.0007786616857821485,,0.03162318843051214,0.0,0.00036068315451554813,0.0003193610417061248,,0.0013496929677121509,,,False,none,False,False
2008-03-20,0.00014143606828012222,0.00014196980365896388,0.00015779069379537956,,0.01980262729617973,0.007968169649176881,0.00014143606828012222,0.0002265430410240204,,0.000661569016103728,,,False,none,False,False
2008-03-21,0.00020944036432362812,0.0002349401234197884,0.00029209511063657133,,0.024097551579060524,-0.01197619104671565,0.00020944036432362812,0.0002519953736025007,,0.0008241156103096392,,,False,none,False,False
2008-03-24,6.340726975648291e-06,1.998971068165154e-06,0.0,,0.004192878260036178,-0.04518222279323303,6.340726975648291e-06,0.00021571669372209894,,0.00021328104542315282,,,False,none,False,False
2008-03-25,2.799809245900685e-05,3.881359769803453e-05,7.762719539606906e-05,,0.008810629682154906,-0.051735674399188865,2.799809245900685e-05,0.00014917968131079073,,0.00010256761977056405,,,False,none,False,False
2008-03-26,0.0,0.0,0.0,,0.0,0.05173567439918889,0.0,7.70430504076811e-05,,0.0016382042103504698,,,True,none,True,False
2008-03-27,0.0,0.0,0.0,,0.0,0.004192878260036178,0.0,4.8755836751656655e-05,,1.0420387478543492e-05,,,True,none,True,False
2008-03-28,0.0,0.0,0.0,,0.0,0.004175371410480592,0.0,6.867763886931028e-06,,4.528326440681908e-06,,,True,none,True,False
2008-03-31,0.0,0.0,0.0,,0.0,0.008298802814695064,0.0,5.59961849180137e-06,,1.3085867126684614e-06,,,True,none,True,False
2008-04-01,0.0,0.0,0.0,,0.0,0.004123717183862156,0.0,0.0,,0.0,,,True,none,True,False
2008-04-02,0.0,0.0,0.0,,0.0,0.00819676720417849,0.0,0.0,,7.630850956645284e-07,,,True,none,True,False
2008-04-03,0.0,0.0,0.0,,0.0,0.004073325387635648,0.0,0.0,,0.0,,,True,none,True,False
2008-04-04,0.0,0.0,0.0,,0.0,0.004056800695614469,0.0,0.0,,0.0,,,True,none,True,False
2008-04-07,0.0,0.0,0.0,,0.0,0.020040750883445972,0.0,0.0,,0.0,,-1.3767057188997682,True,none,True,False
