date,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2010-03-26,0.002514811336858414,0.0007928168368672873,0.0,,0.08350172184532716,,0.002514811336858414,,,0.00033877962797338926,,,False,none,False,False
2010-03-29,0.0006653787657824653,0.0009224108310131441,0.0009925813369163414,,0.04295138719559926,-0.027398974188114388,0.0006653787657824653,,,0.0002716899678467235,,,False,none,False,False
2010-03-30,0.0035239626225990056,0.0013325496334609071,0.000291151417091045,,0.09884583463663264,0.045256591588120856,0.0035239626225990056,,,0.0004540183577759918,,,False,none,False,False
2010-03-31,0.0013488706208815019,0.0011457791543736666,0.0010920722909902741,,0.061154423153330646,0.04329680575332426,0.0013488706208815019,,,0.0002925620802651092,,,False,none,False,False
2010-04-01,0.000645943013541179,0.0005923303065213375,0.0006054385361953207,,0.04231943187891174,-0.00566573753567742,0.000645943013541179,0.0017397932719325133,,0.0004450362154977665,,,False,none,False,False
2010-04-02,0.0007715376667919355,0.001066487024284214,0.0020083191556707694,,0.04625101765075569,0.0056657375356773,0.0007715376667919355,0.0013911385379192175,,0.00023485562914672082,,,False,none,False,False
2010-04-05,0.00035733640700352467,0.0001781779976456902,8.879027637295627e-05,,0.0314761321020175,0.0,0.00035733640700352467,0.0013295300661634293,,0.00022925761178047913,,,False,none,False,False
2010-04-06,7.382016484739162e-05,0.00010233647826487977,0.00020467295652975954,,0.01430639565123793,-0.019972133186915243,7.382016484739162e-05,0.0006395015746131066,,0.00026497647565780334,,,False,none,False,False
2010-04-07,0.0005289661026737336,0.00016676130975920524,0.0,,0.03829628507728033,-0.0028860048891349867,0.0005289661026737336,0.0004755206709715529,,0.00024482332711471685,,,False,none,False,False
2010-04-08,0.000700169731297848,0.0009706413503250356,0.0019412827006500713,,0.044059989794030495,-0.03829628507728044,0.000700169731297848,0.0004863660145228867,,0.0002180838957888167,,,False,none,False,False
2010-04-09,0.0011712917683503966,0.0012855748528504893,0.0015613834617654006,,0.056986931373610564,0.0,0.0011712917683503966,0.0005663168348345788,,0.00029060517814709987,,,False,none,False,False
2010-04-12,0.0011712917683503966,0.0012855748528504893,0.0015613834617654006,,0.056986931373610564,0.0,0.0011712917683503966,0.0007291079071039533,,0.0002276112005463332,,,False,none,False,False
2010-04-13,8.010978829732557e-05,2.5255329506878883e-05,0.0,,0.014903405502574948,0.014903405502574948,8.010978829732557e-05,0.0007303658317939401,,0.0005603762101638329,,,False,none,False,False
2010-04-14,8.010978829732557e-05,0.00011105574778709063,0.00022211149557418126,,0.014903405502574948,-0.014903405502574919,8.010978829732557e-05,0.0006405945689186585,,0.0002494516839381507,,,False,none,False,False
