date,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2009-08-20,0.0,0.0,0.0,,0.0,,0.0,,,0.00026141371046758716,,,True,none,True,False
2009-08-21,0.0,0.0,0.0,,0.0,0.04190249165400922,0.0,,,0.0005925265193028612,,,True,none,True,False
2009-08-24,0.0,0.0,0.0,,0.0,0.04745223364514564,0.0,,,0.00039571637949777593,,,True,none,True,False
2009-08-25,0.0,0.0,0.0,,0.0,0.04530215984710221,0.0,,,0.0003553988124059515,,,True,none,True,False
2009-08-26,0.0,0.0,0.0,,0.0,0.043338510475555855,0.0,0.0,,0.0003857087883876968,,,True,none,True,False
2009-08-27,0.0,0.0,0.0,,0.0,0.04784721266156176,0.0,0.0,,0.00024480370593726495,,,True,none,True,False
2009-08-28,0.0,0.0,0.0,,0.0,0.04480327701583832,0.0,0.0,,0.00019935282608026168,,,True,none,True,False
2009-08-31,0.0,0.0,0.0,,0.0,0.04862651144015754,0.0,0.0,,0.00022784963832133228,,,True,none,True,False
2009-09-01,7.962269108872455e-06,1.1038048767348981e-05,2.207609753469726e-05,,0.0046985207815543354,0.04637121718212229,7.962269108872455e-06,1.592453821774491e-06,,0.000448715792685315,,,False,none,False,False
2009-09-03,0.0023619185825198155,0.0032743144123715054,0.004191399316917893,,0.08092359868878182,0.015504186535965254,0.0023619185825198155,0.00047397617032573765,,0.0007887840395266482,,,False,none,False,False
2009-09-04,0.000948933402211387,0.001315501024563959,0.002631002049127918,,0.05129329438755048,-0.05129329438755058,0.000948933402211387,0.000663762850768015,,0.0007425635702550555,,,False,none,False,False
2009-09-07,0.00047625892218403163,0.0006602350582567598,0.0007821132490300696,,0.03633827343880718,0.010471299867295437,0.00047625892218403163,0.0007590146352048214,,0.0006738087765485509,,,False,none,False,False
2009-09-08,0.0002433559252671703,0.0003373629469429917,0.00044750924127953185,,0.025975486403260736,0.010362787035546437,0.0002433559252671703,0.0008076858202582555,,0.0002965036125247678,,,False,none,False,False
2009-09-09,0.00024100251738234737,0.0003341004308628466,0.0006682008617256932,,0.02584958146132531,-0.03141619623337881,0.00024100251738234737,0.0008542938699129504,,0.0003089625108609335,,,False,none,False,False
2009-09-10,0.00048641902640172475,0.0006743199534421382,0.0010411256103184995,,0.0367238329546941,0.016234122761883348,0.00048641902640172475,0.00047919395868933223,,0.0003072903215531426,,,False,none,False,False
2009-09-11,3.6262979752445236e-05,3.906223888350316e-05,4.6529455972074966e-05,,0.01002707976912716,0.04794631463142104,3.6262979752445236e-05,0.0002966598741975439,,0.0002822199733795654,,,False,none,False,False
2009-09-14,0.0,0.0,0.0,,0.0,0.04868052105765078,0.0,0.00020140808976073753,,0.0002972536860973784,,,True,none,True,False
2009-09-15,0.0,0.0,0.0,,0.0,0.0464203296456761,0.0,0.00015273690470730348,,0.0003556592085671721,,,True,none,True,False
2009-09-16,0.0004501901156970117,0.0006240960188226784,0.0012481920376453631,,0.03532976135845467,0.04436073624899289,0.0004501901156970117,0.00019457442437023636,,0.0004011006801921786,,,False,none,False,False
2009-09-17,0.0017704494154984903,0.002426014046404755,0.0034081292198121105,,0.07006231571042401,0.008640798195574664,0.0017704494154984903,0.0004513805021895895,,0.000729421539525388,,0.6888049637085469,False,none,False,False
2009-09-18,0.0006398178953751474,0.0002017083319721687,0.0,0.0014468497208988626,0.04211830814508491,0.04211830814508491,0.0006398178953751474,0.0005720914853141299,,0.00040072474389207487,,0.5776934902333623,False,none,False,False
