date,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2008-03-11,0.00015574148702772846,0.00021590354525896654,0.0004318070905179331,,0.020779968491745435,,0.00015574148702772846,,,0.0005339176659569269,,,False,none,False,False
2008-03-12,0.001339692443955338,0.0010609355169328004,0.0009473663843840948,,0.06094601021708,0.005235614053944943,0.001339692443955338,,,0.001188776886918308,,,False,none,False,False
2008-03-13,0.0009044398130131174,0.0009918175687603334,0.0012034946181105498,,0.050076337980176085,-0.010498784098219695,0.0009044398130131174,,,0.0006215951764832389,,,False,none,False,False
2008-03-14,0.00012806153146560135,0.0001661827587521861,0.00025293115067957447,,0.018843087801479915,-0.02403319944415622,0.00012806153146560135,,,0.0003396901082740149,,,False,none,False,False
2008-03-17,7.134929148930297e-05,2.249350428884933e-05,0.0,,0.014064929467403675,-0.04703494870497345,7.134929148930297e-05,0.0005198569133902176,,0.0002376217756711424,,,False,none,False,False
2008-03-18,0.0,0.0,0.0,,0.0,-0.04638512658093495,0.0,0.0004887086159846719,,0.003934882527414068,,,True,none,True,False
2008-03-19,0.003083695125739842,0.004141605894503962,0.006832148607126021,,0.09246522767209342,-0.051761934558589455,0.003083695125739842,0.0008375091523415729,,0.0013496929677121509,,,False,none,False,False
2008-03-20,0.0006283639219487819,0.000724492995110654,0.0009290597968914237,,0.04173960617276534,-0.048009219186360724,0.0006283639219487819,0.0007822939741287057,,0.000661569016103728,,,False,none,False,False
2008-03-21,1.7036955147819233e-05,2.3618234852074294e-05,4.723646970414859e-05,,0.0068728792877620504,-0.050430853626891856,1.7036955147819233e-05,0.0007600890588651493,,0.0008241156103096392,,,False,none,False,False
2008-03-24,0.0,0.0,0.0,,0.0,-0.04225980928988273,0.0,0.0007458192005672887,,0.00021328104542315282,,,True,none,True,False
