date,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2009-08-19,0.0,0.0,0.0,,0.0,,0.0,,,0.0002368890546540265,,,True,none,True,False
2009-08-20,3.900077606123051e-05,5.406655593298347e-05,0.00010813311186596915,,0.010398707220898517,0.04827305651333452,3.900077606123051e-05,,,0.00026141371046758716,,,False,none,False,False
2009-08-21,0.0,0.0,0.0,,0.0,0.04714677842570208,0.0,,,0.0005925265193028612,,,True,none,True,False
2009-08-24,0.0004029869361026945,0.00020768951320723392,0.00010977445846114791,,0.03342629255912618,0.0032840752011900187,0.0004029869361026945,,,0.00039571637949777593,,,False,none,False,False
2009-08-25,0.0003407706955684184,0.00010743101917741417,0.0,,0.03073787545362891,-0.019868203216725173,0.0003407706955684184,0.0001565516815464687,,0.0003553988124059515,,,False,none,False,False
2009-08-26,0.0006051502718458137,0.000797145198125851,0.0012518876536040738,,0.04096135763106541,-0.030562650410166925,0.0006051502718458137,0.00027758173591563144,,0.0003857087883876968,,,False,none,False,False
2009-08-27,0.0001544016859456714,0.00017313035082757016,0.0002151533417694376,,0.020690393257446246,0.0,0.0001544016859456714,0.0003006619178925196,,0.00024480370593726495,,,False,none,False,False
2009-08-28,3.820213240617328e-05,5.295940073743346e-05,0.0001059188014748673,,0.010291686036547506,0.010291686036547506,3.820213240617328e-05,0.00030830234437375433,,0.00019935282608026168,,,False,none,False,False
2009-08-31,0.00018052432472319464,0.0002502598534087408,0.0005005197068174815,,0.022372297754532984,0.0056721649524665955,0.00018052432472319464,0.0002638098220978543,,0.00022784963832133228,,,False,none,False,False
2009-09-01,0.0003368965590177758,0.000467037800047037,0.0005168307981114062,,0.030562650410166883,-0.00567216495246653,0.0003368965590177758,0.00026303499478772576,,0.000448715792685315,,,False,none,False,False
2009-09-03,0.0009511502153198233,0.0013185741800758408,0.0026371483601516817,,0.051353172834321364,-0.05135317283432144,0.0009511502153198233,0.0003322349834825277,,0.0007887840395266482,,,False,none,False,False
2009-09-04,0.0005444085119562695,0.000754710450270647,0.001509420900541294,,0.038851266395592485,-0.0023980826840127437,0.0005444085119562695,0.0004102363486846473,,0.0007425635702550555,,,False,none,False,False
2009-09-07,5.142452465929507e-06,7.128952855845152e-06,1.4257905711689832e-05,,0.003775964209535136,-0.045434456322459696,5.142452465929507e-06,0.0004036244126965985,,0.0006738087765485509,,,False,none,False,False
2009-09-08,0.0004936446204798004,0.0006843367537683157,0.0013686735075366268,,0.03699558767659505,0.03699558767659505,0.0004936446204798004,0.0004662484718479197,,0.0002965036125247678,,,False,none,False,False
