date,open,high,low,close,volume,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2008-03-11,17.42,17.42,17.02,17.22,67360.0,0.00019462888481902913,0.00021830284412261845,0.00027137981863646046,,0.02322984827912885,,0.00019462888481902913,,,0.0005339176659569269,,,False,none,False,False
2008-03-12,17.42,17.82,16.81,16.81,80910.0,0.0012278877741488355,0.0012114007454626006,0.0013246306613120058,,0.05834747462213912,-0.02409755157906053,0.0012278877741488355,,,0.001188776886918308,,,False,none,False,False
2008-03-13,16.81,17.22,16.81,17.02,47210.0,0.00020944036432362812,0.00023080390115974412,0.0002815166547163307,,0.024097551579060524,0.012415175724703827,0.00020944036432362812,,,0.0006215951764832389,,,False,none,False,False
2008-03-14,17.42,17.42,17.02,17.22,65910.0,0.00019462888481902913,0.00021830284412261845,0.00027137981863646046,,0.02322984827912885,0.011682375854356651,0.00019462888481902913,,,0.0003396901082740149,,,False,none,False,False
2008-03-17,16.61,16.61,16.41,16.41,61180.0,5.292867405951932e-05,1.6686239374071877e-05,0.0,,0.012114018523203955,-0.04818059389758516,5.292867405951932e-05,0.0003759029164340082,,0.0002376217756711424,,,False,none,False,False
2008-03-18,15.61,15.71,15.61,15.61,139450.0,1.4707334964713385e-05,2.038869552868357e-05,4.077739105736714e-05,,0.006385717740189206,-0.049979170574658865,1.4707334964713385e-05,0.0003399186064631451,,0.003934882527414068,,,False,none,False,False
2008-03-19,15.81,15.91,15.01,15.01,93510.0,0.001222998651916366,0.0006538667647006846,0.0003671588248512671,,0.05823119670432484,-0.039195088881970125,0.001222998651916366,0.00033894078201665123,,0.0013496929677121509,,,False,none,False,False
2008-03-20,15.01,15.41,14.31,14.31,131450.0,0.001978149726824064,0.001861225449879658,0.0019477271396107993,,0.07405805576366492,-0.04775805207701097,0.001978149726824064,0.0006926826545167384,,0.000661569016103728,,,False,none,False,False
2008-03-21,13.91,13.91,13.61,13.61,98390.0,0.00017145675397742393,5.405328000378931e-05,0.0,,0.021803189271976848,-0.05015377690498495,0.00017145675397742393,0.0006880482283484173,,0.0008241156103096392,,,False,none,False,False
2008-03-24,13.01,13.01,13.01,13.01,49860.0,0.0,0.0,0.0,,0.0,-0.045086524138960825,0.0,0.0006774624935365135,,0.00021328104542315282,,,True,none,True,False
