date,open,high,low,close,volume,hl_pct,parkinson_volatility,ohlcv_date,har_daily_vol,har_weekly_vol,har_monthly_vol
2017-11-06 00:00:00+07:00,31229.982421875,31229.982421875,31229.982421875,31229.982421875,980,0.0,0.0,2017-11-06 00:00:00+07:00,0.0,0.0,0.0
2017-11-07 00:00:00+07:00,31229.982421875,31229.982421875,31229.982421875,31229.982421875,0,0.0,0.0,2017-11-07 00:00:00+07:00,0.0,0.0,0.0
2017-11-08 00:00:00+07:00,31229.982421875,31229.982421875,31229.982421875,31229.982421875,0,0.0,0.0,2017-11-08 00:00:00+07:00,0.0,0.0,0.0
2017-11-09 00:00:00+07:00,31229.982421875,31229.982421875,31229.982421875,31229.982421875,0,0.0,0.0,2017-11-09 00:00:00+07:00,0.0,0.0,0.0
2017-11-10 00:00:00+07:00,33386.43359375,33386.43359375,33386.43359375,33386.43359375,38011,0.0,0.0,2017-11-10 00:00:00+07:00,0.0,0.0,0.0
2017-11-13 00:00:00+07:00,35696.9140625,35696.9140625,35696.9140625,35696.9140625,162165,0.0,0.0,2017-11-13 00:00:00+07:00,0.0,0.0,0.0
2017-11-14 00:00:00+07:00,38161.42761951435,38161.42761951435,35696.91456935192,36197.51953125,18944465,0.0667609988713469,0.001607534119485077,2017-11-14 00:00:00+07:00,0.001607534119485077,0.00032150682389701544,0.000229647731355011
2017-11-15 00:00:00+07:00,35696.91214303071,36197.51707090265,33733.0041882533,34272.1171875,8024068,0.07051381640535971,0.001793341458891921,2017-11-15 00:00:00+07:00,0.001793341458891921,0.0006801751156753996,0.00042510944729712475
2017-11-16 00:00:00+07:00,34272.11980566529,34272.11980566529,32924.340889922634,33887.0390625,6764437,0.04011996108975811,0.0005805445520760152,2017-11-16 00:00:00+07:00,0.0005805445520760152,0.0007962840260906026,0.00044238001449477927
2017-11-17 00:00:00+07:00,33887.03981666753,35042.27838653777,33347.926764237985,34349.13671875,13159415,0.04955968196179518,0.0008858732117218325,2017-11-17 00:00:00+07:00,0.0008858732117218325,0.0009734586684349691,0.00048672933421748456
2017-11-20 00:00:00+07:00,35119.289959750844,36736.62890625,34657.1968032294,36736.62890625,3891420,0.058268916149394695,0.0012245835676927917,2017-11-20 00:00:00+07:00,0.0012245835676927917,0.0012183753819735275,0.0005538069918061488
2017-11-21 00:00:00+07:00,38430.98234697774,39278.15625,37737.83704741217,39278.15625,9876844,0.040005317380243204,0.0005772314537156152,2017-11-21 00:00:00+07:00,0.0005772314537156152,0.001012314848819635,0.0005557590302986044
2017-11-22 00:00:00+07:00,39663.233861643326,41588.63363522476,38816.05633971994,39740.25,9133195,0.0689929157939547,0.0017168151884807614,2017-11-22 00:00:00+07:00,0.0017168151884807614,0.000997009594737403,0.0006450710424664626
2017-11-23 00:00:00+07:00,39740.2518385708,40664.44185627288,38893.074277453,40048.31640625,2837761,0.044537850482752835,0.0007154397295613388,2017-11-23 00:00:00+07:00,0.0007154397295613388,0.0010239886302344677,0.0006500973772589538
2017-11-24 00:00:00+07:00,39663.239086518726,40125.335977531206,38893.07760149792,38970.09375,2921404,0.031191673587165323,0.0003509068955536659,2017-11-24 00:00:00+07:00,0.0003509068955536659,0.0009169953670008348,0.0006301513451452679
2017-11-27 00:00:00+07:00,38970.09115810129,40048.31716541767,37737.83654936104,39355.171875,4227524,0.0594234411288534,0.0012735914732935002,2017-11-27 00:00:00+07:00,0.0012735914732935002,0.0009267969481209762,0.0006703663531545325
2017-11-28 00:00:00+07:00,39971.3001334339,39971.3001334339,38122.91641874723,38353.96484375,3444577,0.04734611780327296,0.0008085060914590045,2017-11-28 00:00:00+07:00,0.0008085060914590045,0.0009730518756696541,0.000678492220113619
2017-11-29 00:00:00+07:00,38122.91848960114,38662.03151055914,37622.31354156872,38045.90234375,1954977,0.027260700894450825,0.00026803319486071354,2017-11-29 00:00:00+07:00,0.00026803319486071354,0.0006832954769456446,0.0006556889409329021
2017-11-30 00:00:00+07:00,37737.8359375,37737.8359375,36852.15030299301,37737.8359375,3964051,0.02374922715197281,0.0002034293026555938,2017-11-30 00:00:00+07:00,0.0002034293026555938,0.0005808933915644955,0.0006318858020762016
2017-12-01 00:00:00+07:00,37891.86953435325,38430.98254794566,37352.75652076084,38122.91796875,1607371,0.028457260176047727,0.0002920792579986686,2017-12-01 00:00:00+07:00,0.0002920792579986686,0.0005691278640534961,0.000614895474872325
2017-12-04 00:00:00+07:00,38430.98254794566,38507.99869274458,37622.31302755704,38122.91796875,1940412,0.02326867199916709,0.00019527998951371275,2017-12-04 00:00:00+07:00,0.00019527998951371275,0.00035346556729753866,0.0005949137850933434
2017-12-05 00:00:00+07:00,38507.99867658181,38507.99867658181,36890.65963648341,36967.67578125,2425536,0.04290758492633427,0.000664022337479366,2017-12-05 00:00:00+07:00,0.000664022337479366,0.0003245688165016109,0.0005980550829290717
2017-12-06 00:00:00+07:00,36967.6728118883,37352.75350479034,35966.46669567837,36274.53125,2246833,0.03781960685985557,0.0005158798532075743,2017-12-06 00:00:00+07:00,0.0005158798532075743,0.0003741381481709831,0.0006215041671657796
2017-12-07 00:00:00+07:00,36736.62988903725,36890.658488441375,35427.35546875,35427.35546875,1307503,0.04047408642779814,0.0005908383234140564,2017-12-07 00:00:00+07:00,0.0005908383234140564,0.0004516199523226756,0.0006483604545936913
2017-12-08 00:00:00+07:00,35427.358051406794,36698.12449314808,34195.103368993485,36197.51953125,1909517,0.07064319255312103,0.001799928209354429,2017-12-08 00:00:00+07:00,0.001799928209354429,0.0007531897425938277,0.0007301753732007108
2017-12-11 00:00:00+07:00,34657.19921875,35812.437718574045,34657.19921875,34657.19921875,1155530,0.03278978166035704,0.0003877855279110174,2017-12-11 00:00:00+07:00,0.0003877855279110174,0.0007916908502732887,0.000747801988105757
2017-12-12 00:00:00+07:00,34811.23001512685,35504.37161111984,33193.89102536025,35427.35546875,1957819,0.06728997914381532,0.0016331096122750197,2017-12-12 00:00:00+07:00,0.0016331096122750197,0.0009855083052324194,0.000822034243209167
2017-12-13 00:00:00+07:00,35427.360166373124,35504.376318955205,34965.26325088063,35311.8359375,1081944,0.015300875363520655,8.443978185876292e-05,2017-12-13 00:00:00+07:00,8.443978185876292e-05,0.0008992202909626571,0.0008258724151118381
2017-12-14 00:00:00+07:00,35196.30750028155,35273.323643654985,34580.18203862971,34811.23046875,1745269,0.019846229588888,0.00014205959424687812,2017-12-14 00:00:00+07:00,0.00014205959424687812,0.0008094645451292215,0.0007592599366919201
2017-12-15 00:00:00+07:00,34734.214381109545,35735.420561235034,34734.214381109545,35350.33984375,2157519,0.028417163103054918,0.00029125674224530297,2017-12-15 00:00:00+07:00,0.00029125674224530297,0.0005077302517073962,0.0006909833586625282
2017-12-18 00:00:00+07:00,35889.45469236316,36120.50313472631,35350.341660182465,35658.40625,2957542,0.021552600619927004,0.00016753822510928663,2017-12-18 00:00:00+07:00,0.00016753822510928663,0.0004636807911470501,0.0006722103438004042
2017-12-19 00:00:00+07:00,35927.96276609035,36159.0112084535,34965.26092291054,35658.40625,1590013,0.033571166720443836,0.00040648770801512615,2017-12-19 00:00:00+07:00,0.00040648770801512615,0.00021835641029507136,0.0006504200936319175
2017-12-20 00:00:00+07:00,35196.3080741209,35581.388797266394,35119.2919294918,35273.32421875,1751995,0.01307210746105594,6.163192979280112e-05,2017-12-20 00:00:00+07:00,6.163192979280112e-05,0.00021379483988187898,0.0005975586555455544
2017-12-21 00:00:00+07:00,35427.35930712471,37198.72708821415,35273.32700569642,37121.7109375,3548396,0.053147473215716556,0.0010187785467631377,2017-12-21 00:00:00+07:00,0.0010187785467631377,0.00038913863038513095,0.0006176289779568053
2017-12-22 00:00:00+07:00,37121.7091190154,37622.31407413418,36813.64453125,36813.64453125,1179540,0.021728782026496207,0.00017028849773780209,2017-12-22 00:00:00+07:00,0.00017028849773780209,0.00036494498148363077,0.0005473323101957617
2017-12-25 00:00:00+07:00,36813.64502978874,36967.67732575738,36197.51953125,36197.51953125,1079886,0.021053349807594386,0.00015986631358828765,2017-12-25 00:00:00+07:00,0.00015986631358828765,0.00036341059917943094,0.0005220789731060776
2017-12-26 00:00:00+07:00,36351.55030845295,37314.24843269966,36043.485729386586,36967.67578125,1905659,0.03464910280811635,0.00043301060693833,2017-12-26 00:00:00+07:00,0.00043301060693833,0.0003687151789640717,0.0005258109599871987
2017-12-27 00:00:00+07:00,36813.64265900017,37121.70723109818,36467.0737007255,36544.08984375,1351812,0.017792136008510862,0.00011417492295417762,2017-12-27 00:00:00+07:00,0.00011417492295417762,0.000379223777596347,0.0004731102076990477
2017-12-28 00:00:00+07:00,36736.62912616416,36736.62912616416,36120.5,36120.5,1151928,0.016913754954420455,0.00010317978442438529,2017-12-28 00:00:00+07:00,0.00010317978442438529,0.00019610402512859653,0.0004410499210156559
2017-12-29 00:00:00+07:00,36043.48645662815,36775.13984667317,35581.38957870498,36313.04296875,3461556,0.03299933271921623,0.0003927578407784343,2017-12-29 00:00:00+07:00,0.0003927578407784343,0.00024059789373672295,0.00044671922310282505
2018-01-01 00:00:00+07:00,36313.04296875,36313.04296875,36313.04296875,36313.04296875,0,0.0,0.0,2018-01-01 00:00:00+07:00,0.0,0.00020862463101906542,0.0004374724366184799
2018-01-02 00:00:00+07:00,36274.53774407928,36736.63465828901,36274.53774407928,36467.078125,730443,0.012658421152649672,5.779278577906263e-05,2018-01-02 00:00:00+07:00,5.779278577906263e-05,0.00013358106678721199,0.00042682305151758865
