date,open,high,low,close,volume,hl_pct,parkinson_volatility,ohlcv_date,har_daily_vol,har_weekly_vol,har_monthly_vol
2020-11-10 00:00:00+07:00,6248.243350922669,6266.620653363766,6027.71728515625,6027.71728515625,7603370,0.03886885920079084,0.000544901666609407,2020-11-10 00:00:00+07:00,0.000544901666609407,0.000544901666609407,0.000544901666609407
2020-11-11 00:00:00+07:00,6064.471851677587,6073.660307991408,6009.34033203125,6009.34033203125,3634629,0.010646458676182606,4.088131839910922e-05,2020-11-11 00:00:00+07:00,4.088131839910922e-05,0.0002928914925042581,0.0002928914925042581
2020-11-12 00:00:00+07:00,5990.962700898686,6064.471520034452,5990.962700898686,6036.90576171875,3958634,0.012195285352011443,5.364119951293761e-05,2020-11-12 00:00:00+07:00,5.364119951293761e-05,0.00021314139484048458,0.00021314139484048458
2020-11-13 00:00:00+07:00,6064.471659147112,6064.471659147112,6018.528597273163,6055.283203125,4779451,0.0076046151297980745,2.085782532709605e-05,2020-11-13 00:00:00+07:00,2.085782532709605e-05,0.00016507050246213745,0.00016507050246213745
2020-11-16 00:00:00+07:00,6064.471520034452,6073.65997584579,6000.151547591711,6036.90576171875,3776419,0.012176657946522468,5.347745864984655e-05,2020-11-16 00:00:00+07:00,5.347745864984655e-05,0.0001427518936996793,0.0001427518936996793
2020-11-17 00:00:00+07:00,6036.905782438375,6064.471540848686,6027.717326595502,6046.09423828125,5164181,0.006079019744414452,1.3328511638440121e-05,2020-11-17 00:00:00+07:00,1.3328511638440121e-05,3.643726270548591e-05,0.0001211813300228061
2020-11-18 00:00:00+07:00,5990.962838325131,6055.283203125,5990.962838325131,6055.283203125,4196477,0.010679007525114694,4.1131669045140717e-05,2020-11-18 00:00:00+07:00,4.1131669045140717e-05,3.6487332834692205e-05,0.0001097456641688539
2020-11-19 00:00:00+07:00,7594.924111253847,7594.924111253847,7436.145610388701,7489.07177734375,3704063,0.02112749257870031,0.00016099428634422375,2020-11-19 00:00:00+07:00,0.00016099428634422375,5.795795020094944e-05,0.00011615174194077513
2020-11-20 00:00:00+07:00,7515.533582581061,7515.533582581061,7436.144732403645,7462.607421875,1278147,0.010619489609633548,4.0674463783439533e-05,2020-11-20 00:00:00+07:00,4.0674463783439533e-05,6.192127789221814e-05,0.00010776537770107117
2020-11-23 00:00:00+07:00,7462.607703248671,7462.607703248671,7277.365742911333,7396.4501953125,1493713,0.025135962986270338,0.00022787968160555447,2020-11-23 00:00:00+07:00,0.00022787968160555447,9.680172248335972e-05,0.0001197768080915195
2020-11-24 00:00:00+07:00,7396.4501953125,7409.681540547058,7277.365742911333,7396.4501953125,1819421,0.018018513175817746,0.00011709880173098376,2020-11-24 00:00:00+07:00,0.00011709880173098376,0.00011755578050186844,0.00011953335296783444
2020-11-25 00:00:00+07:00,7396.450782621068,7409.68212890625,7356.755962002081,7409.68212890625,1505753,0.007168471261807252,1.853393538650929e-05,2020-11-25 00:00:00+07:00,1.853393538650929e-05,0.00011303623377014217,0.00011111673483605733
2020-11-26 00:00:00+07:00,7396.450782621068,7409.68212890625,7317.061141383094,7409.68212890625,1567494,0.012578776864801133,5.7067832003095204e-05,2020-11-26 00:00:00+07:00,5.7067832003095204e-05,9.225094290191645e-05,0.00010695912692582947
2020-11-27 00:00:00+07:00,7396.450782621068,7409.68212890625,7369.987308287263,7409.68212890625,1077253,0.005371556682315314,1.040674405110379e-05,2020-11-27 00:00:00+07:00,1.040674405110379e-05,8.619739895544931e-05,0.00010006252814906336
2020-11-30 00:00:00+07:00,7409.680929961853,7409.680929961853,7303.82861328125,7303.82861328125,947297,0.014388700754477303,7.467198713650064e-05,2020-11-30 00:00:00+07:00,7.467198713650064e-05,5.555586006163853e-05,9.836982541489252e-05
2020-12-02 00:00:00+07:00,7965.407018613409,8349.123046875,7938.944329482959,8349.123046875,5134885,0.05037619858587616,0.0009153039409009607,2020-12-02 00:00:00+07:00,0.0009153039409009607,0.00021519688789563393,0.00014942820763277177
2020-12-03 00:00:00+07:00,8798.998334727736,8931.31415206102,8574.0615234375,8574.0615234375,3874978,0.040822001814473735,0.0006010396777473363,2020-12-03 00:00:00+07:00,0.0006010396777473363,0.00033169803636779935,0.00017599358822774616
2020-12-04 00:00:00+07:00,8468.20784152223,8732.838652526847,8216.807593863625,8626.986328125,4657047,0.06090871459773482,0.0013380533088771162,2020-12-04 00:00:00+07:00,0.0013380533088771162,0.0005878951317426035,0.00024055246159715562
2020-12-07 00:00:00+07:00,8626.986700533282,8679.912865018912,8441.74473395187,8494.6708984375,2222782,0.027822480753557834,0.0002791941080452648,2020-12-07 00:00:00+07:00,0.0002791941080452648,0.0006416526045414357,0.00024258623246284556
2020-12-08 00:00:00+07:00,8494.670531741005,8825.459631819307,8454.975714649469,8626.986328125,2716018,0.04288557434876444,0.0006633412566641558,2020-12-08 00:00:00+07:00,0.0006633412566641558,0.0007593864584469667,0.0002636239836729111
2020-12-09 00:00:00+07:00,8679.911276906123,8693.143401929081,8521.1328125,8521.1328125,2484208,0.019985308997520462,0.00014405763556728124,2020-12-09 00:00:00+07:00,0.00014405763556728124,0.0006051371973802308,0.0002579303480488335
2020-12-10 00:00:00+07:00,8521.134158157038,8574.060321317176,8349.12354156405,8388.818359375,2387345,0.026584835256033588,0.0002549074299846065,2020-12-10 00:00:00+07:00,0.0002549074299846065,0.0005359107478276849,0.0002577929426822777
2020-12-11 00:00:00+07:00,8388.818569466237,8600.52400917217,8309.428931856088,8494.6708984375,2930858,0.03443224679126207,0.000427607459261621,2020-12-11 00:00:00+07:00,0.000427607459261621,0.0003538215779045859,0.00025246138780283286
2020-12-14 00:00:00+07:00,8494.67020003948,8574.059831122531,8428.5126953125,8428.5126953125,2354433,0.01712101988223248,0.00010572405472781449,2020-12-14 00:00:00+07:00,0.00010572405472781449,0.00031912756724109583,0.00025540878490868307
2020-12-15 00:00:00+07:00,8415.281741427934,8679.913360732731,8388.819048555526,8454.9765625,2178556,0.03411179359368738,0.0004196852035228392,2020-12-15 00:00:00+07:00,0.0004196852035228392,0.0002703963566128325,0.000272047148727315
