date,ticker,num_articles,avg_sentiment_score,avg_positive_score,avg_negative_score,avg_neutral_score,sentiment_std,min_sentiment,max_sentiment
2026-06-15,VIC,5,-0.3539164774119854,0.22139039896428586,0.5753068750724196,0.20330272149294615,0.7289796719132247,-0.9202519059181213,0.7534645795822144
2026-06-16,VIC,4,-0.45205771923065186,0.2663122368976474,0.7183699775487185,0.01531779463402927,0.8106211253133133,-0.932397723197937,0.754175066947937
2026-06-17,VIC,4,-0.20727730821818113,0.2705177520401776,0.47779508028179407,0.2516871194820851,0.7784370228309656,-0.9246698617935181,0.7942247986793518
2026-06-18,VIC,4,-0.6553664873354137,0.0401404807344079,0.6955069713294506,0.26435252930969,0.4344974693026117,-0.9257605075836182,-0.014575747773051262
2026-06-19,VIC,4,-0.516834850423038,0.10320015856996179,0.6200350178405643,0.2767648217268288,0.41838878758111936,-0.9322744011878967,0.011136312037706375
2026-06-22,VIC,5,-0.6810200698673725,0.049397990480065344,0.7304180603474378,0.2201839605346322,0.381356373567711,-0.9135854840278625,-0.009428147226572037
2026-06-23,VIC,4,-0.30060012405738235,0.09787567076273263,0.39847579854540527,0.5036485437303782,0.42349622252468516,-0.9028259515762329,0.0009346473962068558
2026-06-24,VIC,4,-0.18880867725238204,0.033417280996218324,0.2222259638365358,0.7443567533046007,0.37873999329073504,-0.7567746639251709,0.010684741660952568
2026-06-25,VIC,5,-0.5224641183391213,0.03375408444553614,0.556218208372593,0.41002767980098725,0.4775480992518172,-0.9243550300598145,0.0008418438956141472
2026-06-26,VIC,4,-0.43003622628748417,0.03450527833774686,0.4645415002014488,0.5009532137773931,0.5165351826303537,-0.932691216468811,0.019775692373514175
2026-06-29,VIC,3,-0.6843104759852091,0.1429781001061201,0.8272885878880819,0.029733300519486267,0.25010854669564786,-0.9206979274749756,-0.4224330186843872
2026-06-30,VIC,3,-0.10568952808777492,0.1155399742225806,0.22122950262079635,0.6632305160164833,0.2009183335019002,-0.33742520213127136,0.019775692373514175
