date,ticker,num_articles,avg_sentiment_score,avg_positive_score,avg_negative_score,avg_neutral_score,sentiment_std,min_sentiment,max_sentiment
2026-06-15,PNJ,5,-0.31503570824861526,0.13723829425871373,0.4522740084677935,0.41048766002058984,0.3756517284308409,-0.9293534755706787,0.00016457214951515198
2026-06-16,PNJ,3,-0.06960965568820636,0.11962463551511367,0.18923429089287916,0.6911411285400391,0.1204362875685191,-0.2066975235939026,0.01918487623333931
2026-06-17,PNJ,4,-0.550526016857475,0.09902203362435102,0.6495480509474874,0.25142990855965763,0.43311296573588387,-0.9309689998626709,0.008966470137238503
2026-06-18,PNJ,3,-0.5938969552516937,0.030755278654396534,0.6246522447715203,0.3445925482859214,0.49827512263316587,-0.9290918707847595,-0.021316319704055786
2026-06-19,PNJ,5,-0.789360648393631,0.0791351031512022,0.8684957385063171,0.05236915126442909,0.23716933575067123,-0.9256389141082764,-0.3691064417362213
2026-06-22,PNJ,4,-0.9054120481014252,0.038135601207613945,0.9435476362705231,0.018316762521862984,0.03633416815061398,-0.9256389141082764,-0.8509564995765686
2026-06-23,PNJ,4,-0.7781515792012215,0.08342087082564831,0.8615724593400955,0.05500664049759507,0.23363263520376756,-0.9312883019447327,-0.4336378276348114
2026-06-24,PNJ,5,-0.42583413049578667,0.08125445395708084,0.5070885866880417,0.4116569489240646,0.4417680142428208,-0.9291275143623352,0.01918487623333931
2026-06-25,PNJ,5,-0.2748491683974862,0.06928601264953613,0.34413518086075784,0.5865788539871574,0.40858082098346743,-0.9256389141082764,0.008966470137238503
2026-06-26,PNJ,4,-0.6799996022600681,0.027123552514240146,0.7071231454610825,0.2657533138990402,0.45386306502704876,-0.9233174324035645,0.0003259284421801567
2026-06-29,PNJ,5,-0.5203380117192864,0.03763934597373009,0.5579773595556616,0.40438331179320813,0.48013125652358213,-0.921991229057312,0.008966470137238503
2026-06-30,PNJ,3,-0.5892096478492022,0.038019842778642975,0.6272294881443182,0.3347506870826085,0.5193797905743615,-0.9256389141082764,0.008966470137238503
