date,open,high,low,close,volume,parkinson_volatility
2017-11-06,31229.982421875,31229.982421875,31229.982421875,31229.982421875,980,0.0
2017-11-07,31229.982421875,31229.982421875,31229.982421875,31229.982421875,0,0.0
2017-11-08,31229.982421875,31229.982421875,31229.982421875,31229.982421875,0,0.0
2017-11-09,31229.982421875,31229.982421875,31229.982421875,31229.982421875,0,0.0
2017-11-10,33386.43359375,33386.43359375,33386.43359375,33386.43359375,38011,0.0
2017-11-13,35696.9140625,35696.9140625,35696.9140625,35696.9140625,162165,0.0
2017-11-14,38161.42761951435,38161.42761951435,35696.91456935192,36197.51953125,18944465,0.0400940658886708
2017-11-15,35696.91214303071,36197.51707090265,33733.0041882533,34272.1171875,8024068,0.0423478625067655
2017-11-16,34272.11980566529,34272.11980566529,32924.340889922634,33887.0390625,6764437,0.0240944921522744
2017-11-17,33887.03981666753,35042.27838653777,33347.926764237985,34349.13671875,13159415,0.0297636222883209
2017-11-20,35119.289959750844,36736.62890625,34657.1968032294,36736.62890625,3891420,0.0349940504613683
2017-11-21,38430.98234697774,39278.15625,37737.83704741217,39278.15625,9876844,0.024025641588012
2017-11-22,39663.233861643326,41588.63363522476,38816.05633971994,39740.25,9133195,0.0414344686038177
2017-11-23,39740.2518385708,40664.44185627288,38893.074277453,40048.31640625,2837761,0.0267477051270074
2017-11-24,39663.239086518726,40125.335977531206,38893.07760149792,38970.09375,2921404,0.0187325090565483
2017-11-27,38970.09115810129,40048.31716541767,37737.83654936104,39355.171875,4227524,0.035687413373534
2017-11-28,39971.3001334339,39971.3001334339,38122.91641874723,38353.96484375,3444577,0.0284342415312771
2017-11-29,38122.91848960114,38662.03151055914,37622.31354156872,38045.90234375,1954977,0.0163717193617748
2017-11-30,37737.8359375,37737.8359375,36852.15030299301,37737.8359375,3964051,0.014262864461797
2017-12-01,37891.86953435325,38430.98254794566,37352.75652076084,38122.91796875,1607371,0.0170903264450585
2017-12-04,38430.98254794566,38507.99869274458,37622.31302755704,38122.91796875,1940412,0.0139742616804506
2017-12-05,38507.99867658181,38507.99867658181,36890.65963648341,36967.67578125,2425536,0.0257686308809638
2017-12-06,36967.6728118883,37352.75350479034,35966.46669567837,36274.53125,2246833,0.0227129886454331
2017-12-07,36736.62988903725,36890.658488441375,35427.35546875,35427.35546875,1307503,0.0243071660917939
2017-12-08,35427.358051406794,36698.12449314808,34195.103368993485,36197.51953125,1909517,0.0424255608018848
2017-12-11,34657.19921875,35812.437718574045,34657.19921875,34657.19921875,1155530,0.0196922707657349
2017-12-12,34811.23001512685,35504.37161111984,33193.89102536025,35427.35546875,1957819,0.0404117509182047
2017-12-13,35427.360166373124,35504.376318955205,34965.26325088063,35311.8359375,1081944,0.0091891121365865
2017-12-14,35196.30750028155,35273.323643654985,34580.18203862971,34811.23046875,1745269,0.011918875544567
