estimator,panel,horizon,n_test_obs,n_test_dates,qlike_HAR-X,qlike_LSTM,qlike_LSTM+GAT,p_LSTM_vs_HARX,win_LSTM_vs_HARX,p_wGAT_vol2pk_vs_HARX,win_wGAT_vol2pk_vs_HARX,p_wGAT_vol2pk_vs_LSTM,win_wGAT_vol2pk_vs_LSTM
yang_zhang,vn30,1,10137,327,0.005700101031055925,0.006898831480564053,0.012863114585212049,4.372297730047414e-05,HAR-X,6.454604918144297e-19,HAR-X,5.535917441829014e-17,LSTM
yang_zhang,vn100,1,46104,452,0.006243020738432419,0.007009075307145164,0.008009700715313265,0.45516290351231126,LSTM,1.1115642622719064e-12,HAR-X,3.957334368558544e-19,LSTM
yang_zhang,hnx,1,59022,471,0.02979573492693735,0.031162123634262934,0.031758234788511516,0.3826206764586073,LSTM,0.25039030574045784,HAR-X,1.0969976249559063e-22,LSTM
yang_zhang,hose,1,190603,589,0.013293715394400931,0.0170990655551636,0.016915115460746512,8.738845805439403e-07,HAR-X,8.003920527032057e-08,HAR-X,0.47709663564209215,LSTM+GAT
yang_zhang,sp500,1,712018,1622,0.03179806830354845,0.011644262576745727,0.0625355272599494,2.241657755329821e-28,LSTM,0.004332209298340581,LSTM+GAT,2.8869791015227825e-65,LSTM
yang_zhang,vn30,5,10044,324,0.07956037758908344,0.08709422369214384,0.09473004746937055,0.7142007554711964,HAR-X,0.32008301254132576,HAR-X,0.09273184277289077,LSTM
yang_zhang,vn100,5,46104,452,0.06511202424781756,0.07030952512204926,0.07737174295040258,0.9574001020767426,HAR-X,0.8856827303256138,HAR-X,0.5770468622712202,LSTM
yang_zhang,hnx,5,58940,470,0.12826546319789484,0.11398754157154348,0.11050277887858488,3.2532727184385464e-06,LSTM,3.0713323287337614e-06,LSTM+GAT,0.988869659037827,LSTM+GAT
yang_zhang,hose,5,190082,587,0.0840397401417056,0.0841427001122155,0.08675406204753858,0.10344837286111483,LSTM,0.14341276173303902,LSTM+GAT,0.2480272996921604,LSTM
yang_zhang,sp500,5,710400,1622,0.44398921811788256,0.09396622912089655,0.12935568060508357,1.2883308058035787e-14,LSTM,1.1041807461430857e-13,LSTM+GAT,4.111646372059903e-05,LSTM
yang_zhang,vn30,10,10044,324,0.2231135196658835,0.24393784850427097,0.22001529908524056,0.6499726806502202,HAR-X,0.6183128710685786,LSTM+GAT,0.2713687097234216,LSTM+GAT
yang_zhang,vn100,10,46002,451,0.16999728468326863,0.20335184955932503,0.23956729915923644,0.4778067092744954,HAR-X,0.5717549021973939,HAR-X,0.08252698510173266,LSTM+GAT
yang_zhang,hnx,10,58877,469,0.23743789577103902,0.23282694757262745,0.19594379893676572,0.23606733184919165,LSTM,2.3357056371847582e-07,LSTM+GAT,0.0778801011624536,LSTM+GAT
yang_zhang,hose,10,189389,586,0.1789765394582848,0.25308457205853574,0.21051122705516945,0.34380602256844106,HAR-X,0.5169404646921996,HAR-X,0.15928458967731723,LSTM+GAT
yang_zhang,sp500,10,709965,1621,0.9916922615328774,0.20765745314058798,0.21258256256411712,4.8917115529511135e-06,LSTM,4.802837488945795e-06,LSTM+GAT,0.8066357529836823,LSTM
yang_zhang,vn30,22,9982,322,0.32814070115982164,0.3936473490515418,0.4078610169967306,0.25956683486480714,HAR-X,0.20591614205297862,HAR-X,0.058851558165396355,LSTM
yang_zhang,vn100,22,45900,450,0.2983254234174308,0.582640407670781,0.4518427362879024,0.2159168216370806,HAR-X,0.16062567917301546,HAR-X,0.3569609999228648,LSTM+GAT
yang_zhang,hnx,22,58654,466,0.3404195295737329,0.3355101867183524,0.3455342539369104,0.6628807155232974,LSTM,0.19847453731621467,HAR-X,0.41088594465911477,LSTM
