measure,n_days_with_sent,mkt_ret_1d+0,mkt_ret_3d+0,mkt_ret_5d+0,mkt_fwd_vol_22d+0,mkt_abs_ret_1d+0
sent_all (all news),2758,0.027169589188907453,0.011986614917471288,0.016460284793941484,0.03579340515912632,0.008167551804820362
sent_realnews (cafef/ssi/vndirect),1996,0.022148847021255726,0.017230039255782953,0.03484615512024081,0.05832087072067801,0.017500682893187566
