source,target,mi,n,mi_null_mean,mi_null_p95
MBB,MSN,0.18399670797733814,1270,0.008436858468341807,0.03476246936686992
MSN,HPG,0.16938446720659073,1270,0.008436858468341807,0.03476246936686992
TPB,HPG,0.14778163062985916,1270,0.008436858468341807,0.03476246936686992
CTG,VIB,0.14311298699617803,1270,0.008436858468341807,0.03476246936686992
ACB,VIB,0.1401611247544814,1270,0.008436858468341807,0.03476246936686992
VHM,VIC,0.1341135792233823,1270,0.008436858468341807,0.03476246936686992
CTG,MSN,0.13383557277612734,1270,0.008436858468341807,0.03476246936686992
POW,VIB,0.13173564585188569,1270,0.008436858468341807,0.03476246936686992
CTG,SHB,0.1294674496242334,1270,0.008436858468341807,0.03476246936686992
GAS,PLX,0.12920384257568696,1270,0.008436858468341807,0.03476246936686992
BID,VIB,0.12899766577094773,1270,0.008436858468341807,0.03476246936686992
VIB,MSN,0.12559867324492924,1270,0.008436858468341807,0.03476246936686992
SSI,VIB,0.12527195634883137,1270,0.008436858468341807,0.03476246936686992
SSI,HPG,0.12498231479507727,1270,0.008436858468341807,0.03476246936686992
SHB,VIB,0.12351605126355603,1270,0.008436858468341807,0.03476246936686992
MBB,CTG,0.12349459535125451,1270,0.008436858468341807,0.03476246936686992
HPG,SSI,0.12232123694165242,1270,0.008436858468341807,0.03476246936686992
VPB,SHB,0.12143286826570154,1270,0.008436858468341807,0.03476246936686992
SHB,VPB,0.12066662197848732,1270,0.008436858468341807,0.03476246936686992
HDB,VIB,0.12037087689683856,1270,0.008436858468341807,0.03476246936686992
MBB,SHB,0.12006243739252431,1270,0.008436858468341807,0.03476246936686992
TPB,VIB,0.11971329343901571,1270,0.008436858468341807,0.03476246936686992
LPB,VIB,0.11749098034271821,1270,0.008436858468341807,0.03476246936686992
TCB,HPG,0.11608791640508187,1270,0.008436858468341807,0.03476246936686992
STB,VPB,0.11600081423368591,1270,0.008436858468341807,0.03476246936686992
SHB,HPG,0.11499812795651909,1270,0.008436858468341807,0.03476246936686992
HDB,MSN,0.11353747598490349,1270,0.008436858468341807,0.03476246936686992
TCB,VIB,0.1133684936789554,1270,0.008436858468341807,0.03476246936686992
SSI,MSN,0.1116257713504174,1270,0.008436858468341807,0.03476246936686992
CTG,BID,0.11007806753052884,1270,0.008436858468341807,0.03476246936686992
VCB,CTG,0.10699346162245149,1270,0.008436858468341807,0.03476246936686992
VRE,VPB,0.10620671127307224,1270,0.008436858468341807,0.03476246936686992
ACB,HPG,0.1058374005447642,1270,0.008436858468341807,0.03476246936686992
ACB,TCB,0.10519343832888373,1270,0.008436858468341807,0.03476246936686992
