source,target,dqlike_val,dqlike_test,p_test,n_test,dqlike_test_lo_regime,dqlike_test_hi_regime,fdr_q,stable
BVH,VIC,0.028912993793472085,0.15429563982517044,2.856334899689064e-09,189,0.05853879887966383,0.13329264907931399,7.540724135179129e-07,True
BVH,PLX,-0.0029397543855326992,0.09055168244754441,5.726919818057234e-07,189,0.05548691474984346,0.10081475602415349,3.7797670799177744e-05,False
GAS,VIC,-0.06370771000736425,0.06349688372447748,0.017270176623658737,189,-0.01416186160627655,0.0860741432824741,0.14707505253696473,False
VIC,VHM,0.032745308052113384,0.05842583040963608,9.17896382690572e-07,189,0.012672297089247464,0.060057832272574316,5.701756353654377e-05,True
VPB,PLX,-0.001263786992046585,0.044235937682847386,0.00012113428200009051,189,0.012424010422558751,0.09073283484492374,0.0035995173633705207,False
GAS,PLX,-0.0015102083814666043,0.03980433619863385,3.101105866921202e-07,189,0.03774022179554117,0.03478230759188663,2.300022527349407e-05,False
BCM,SAB,-0.006487295248577381,0.039186483108203315,0.021079468317534277,189,-0.0046282938274449185,0.07739587968880193,0.16681438326415937,False
PDR,VIC,0.0045194900761184155,0.03850621619143757,0.0015656442484650944,189,0.07794009230759248,-0.0029599239893069616,0.02543569732890984,True
PLX,VJC,0.01851876541951286,0.0369047991739769,0.007711795175224785,189,0.12556344268931127,-0.01590638991170881,0.09254154210269742,True
VHM,VJC,0.015595849374349787,0.03605334381370352,0.010782734040220125,189,0.07755623933772866,-0.005857091706697878,0.10948622256223511,True
BVH,VHM,0.007210952357675809,0.03415625313615646,8.936336176016487e-10,189,0.03371876211543221,0.027495143761814438,3.1455903339578035e-07,True
CTG,PLX,-0.00047077562155438304,0.0315558043983513,0.0009992266400993075,189,0.001746878766316795,0.06857198978003243,0.017796713468362757,False
SAB,VJC,0.01240741207448232,0.029078672351914116,0.005247671891444934,189,0.06758305628762602,0.00034400075544896013,0.06821768793670276,True
MSN,VHM,0.008307321261934331,0.02819524931829219,2.61899096485688e-07,189,0.011927810507592784,0.01812865740095798,2.1274265068375886e-05,True
BID,PLX,0.0014299391940749318,0.024716939350445548,1.3787556031960946e-05,189,0.022279767500058854,0.024539073335328433,0.0006330286595543808,True
SSB,PLX,-0.0007347304749445952,0.024632481346342158,0.00026874555884478965,189,3.952080939779723e-05,0.05495589413186931,0.006599890933490647,False
BID,VJC,0.014614817997907746,0.023960353192288467,0.0285484444868313,189,0.08438045713067603,-0.02420501513301562,0.20232991528922048,True
POW,PLX,0.002489981715723955,0.023391534908199736,1.3752317045034767e-05,189,-0.004782731541382146,0.03014979323209307,0.0006330286595543808,True
VJC,PLX,-0.0070503353810256785,0.023141396751811573,0.1174851554867161,189,0.0038201595816973466,0.07147608326318396,0.4307789034512924,False
FPT,PLX,0.0015574539857558104,0.02279676710548437,1.965118408821008e-05,189,0.012383616992296453,0.027229675423780103,0.0008300660158859938,True
MWG,PLX,0.001495360496666984,0.020846753368968435,3.5963749507790865e-06,189,0.01130351901663711,0.021839036036805447,0.0001809440161220396,True
VPB,TCB,-0.01038434750831739,0.019687809450494097,0.03425959789636234,189,0.0036595957880803166,0.04471612337578662,0.22195175078870324,False
SAB,VHM,0.016491146227803025,0.018261483527299182,0.053058431020421494,189,0.016376383720240483,-0.001710765763827647,0.28014851578782546,True
VIB,VJC,-0.004295355190416041,0.017703119158138797,0.06000071474614597,189,0.01325577466989758,0.02256960394045896,0.298137470515921,False
NVL,VCB,0.0013183511066250033,0.016603223155679345,0.02360650387509891,189,-0.0010762050528120737,0.03638072398091813,0.17555259219791866,True
BCM,VHM,0.005011955623095614,0.016120831909777825,0.006784886603165171,189,0.04424250236971287,-0.0023609053499906215,0.08529571729693358,True
SHB,PLX,-0.0008268881376502347,0.014819953107558022,7.995575691374211e-05,189,0.01205563715685375,0.025474974436181068,0.0026385399781534897,False
VIC,NVL,-0.0027931906726123973,0.01306401311720273,0.08066718757111838,189,0.055622942228562976,-0.004730206767974418,0.35791827762647477,False
GAS,VHM,0.0006698522645440121,0.01250300782083024,0.0007112396236258879,189,0.018810983276394556,0.00408545983377779,0.014171114010357314,True
FPT,SAB,-0.009292003506174982,0.012426816344322677,0.06768434506176942,189,0.008812638128672955,0.01582067059284368,0.3173896863749974,False
BID,SAB,0.0003131047203201223,0.011940178679503964,0.0625951687603235,189,-0.0005060234933208174,0.012932081583601958,0.3032132945454203,True
VHM,VRE,3.26722182432936e-05,0.011724662082367068,1.4745467005499711e-05,189,0.018445015954651534,0.006031303922860099,0.0006488005482419873,True
MBB,PLX,0.0018866454992559373,0.011708499367313278,0.075587096504924,189,0.0252272252131005,0.021289196872406844,0.3411109996119647,True
BCM,VIC,-0.0030759398784332664,0.011638557503641086,1.2558866703472065e-06,189,0.006839704997152885,0.010545005577090693,7.367868466036945e-05,False
PDR,PLX,-0.0022662158340453833,0.011434035625218747,0.011364943899264377,189,-4.3815010035419544e-05,0.024135484693249835,0.11322057318512437,False
STB,PLX,0.0013305840086285825,0.011325392927277344,0.1164919018323473,189,0.021082087523273185,0.018020309053691227,0.4307789034512924,True
SHB,CTG,-0.0020108798597476885,0.010457728936805603,0.06909969843749028,189,-0.0019484153587276064,0.006637918530813847,0.32145057951537326,False
NVL,CTG,-0.0035899924429013295,0.01027540203087931,0.08959651432674212,189,-0.0004789043052204511,0.022711440708070733,0.37249574460251844,False
NVL,POW,-0.0038846347111350394,0.01021222237223971,0.041262472022920604,189,-0.0019308722327930905,0.016962640858243755,0.24757483213752363,False
GVR,PLX,2.3264159183921988e-05,0.010203436558777819,0.11833562821620364,189,0.029679696439043078,-0.004571659513998335,0.43090490826314154,True
NVL,VIC,0.0005595436071947043,0.010178586694112915,0.11588097174939242,189,-0.013275586745730983,0.008976391886668994,0.4307789034512924,True
NVL,GVR,0.00032995265682805836,0.010007107569182628,0.08497445047730362,189,0.005524287943628825,-0.0033759194468755732,0.36673064421613116,True
BVH,GAS,-0.0050637149734666705,0.009933605482952029,0.215760740848145,189,0.024350857966826744,0.013588691587153623,0.5686838582105836,False
PDR,VCB,-0.008681499511064176,0.00879603595286832,0.38853121875548746,189,-0.0006281379358622829,0.02480252207942463,0.7875028157500858,False
SSI,TCB,-0.01275732736870331,0.008431723584700073,0.00037965859624029054,189,0.0025876481567316924,0.015301237336276599,0.008909321725105486,False
PDR,MBB,-0.012309988987071451,0.008374766309513514,0.20858417681819647,189,-0.00224199377672053,0.016770868871685215,0.5609220042090809,False
VCB,PLX,0.003421769531227624,0.008302457842217281,0.39976774939873705,189,0.029154034787385995,0.043213501703172535,0.8010526439564826,True
GVR,SAB,0.003209159529868205,0.008266486423342297,0.1219502317489933,189,0.004163279590852997,0.0013573875237152563,0.4379963381139585,True
PLX,POW,-0.0046025388708672635,0.008138824648745482,0.06735578447832984,189,0.011935081987225283,0.011243012405592829,0.3173896863749974,False
VCB,VHM,-0.0017669780078092827,0.008086101946524558,0.00916972764006098,189,-0.0019456711803794823,0.009249780329864446,0.09825731260017069,False
VIC,VIB,0.0010482650627703588,0.008039117318188838,0.00020935946293320528,189,-0.009253047738371267,0.02054041562141716,0.005392282752621092,True
PDR,ACB,-0.021172030450820462,0.007799727115252538,0.023111480716352325,189,0.0037872469654521624,0.015268570642095764,0.17368258892845653,False
SHB,VHM,0.00030845816425765675,0.007631452336908351,0.03425108913771295,189,0.019153328076634966,-0.004213175362225737,0.22195175078870324,True
LPB,CTG,0.0003776482381208583,0.007492069467958246,0.0009953610375256121,189,0.0019242389525017888,0.012738642695538305,0.017796713468362757,True
BCM,GVR,0.0014898528007427718,0.0071176779442966515,0.04427424225962711,189,0.004160706415689286,0.004467962721606753,0.25830718136003444,True
HDB,PLX,-0.0016951266037596247,0.007037181661674074,0.1631429178838749,189,0.02264121872370124,-0.006464646280536503,0.5059033119495627,False
GAS,SAB,0.000699702567544557,0.006984566328732979,0.0949873789786508,189,0.014968485593314752,0.00496910700793145,0.38878555116843116,True
SHB,TCB,-0.003307189454304855,0.00679717447616678,0.036308508736735995,189,0.008155283243892508,0.011414566486067026,0.23097460979513984,False
BID,VCB,-0.004831384525814302,0.006508710519646988,0.060700337273601336,189,0.0011606873533339557,0.014613246412967424,0.298137470515921,False
STB,VJC,-0.00014119659860510858,0.006422739241657338,0.31008108438461635,189,-0.012315649425232899,0.004463545354416161,0.6836025576412419,False
VPB,VJC,-7.278827905241065e-05,0.006350404219842811,0.22209473387934917,189,0.008197221962903688,0.005969244442590889,0.5761252728761833,False
BCM,BID,-0.005988164611193569,0.006282606978149814,0.104576524965466,189,0.004175602188228133,0.014475039181174537,0.4090104087538226,False
