source,target,dqlike_val,dqlike_test,p_test,n_test,dqlike_test_lo_regime,dqlike_test_hi_regime,fdr_q,stable
VHM,PLX,0.0015534416488581393,0.05461927630758706,0.0032302113582667108,189,0.12138825738629389,0.03962290645199682,0.03445558782151158,True
BCM,VCB,-0.0293875167174106,0.03874568321520153,0.08744641412623046,189,0.13110690860282376,0.06826702725013915,0.28284790493547085,False
VIC,VRE,0.00860285054025813,0.03421236025015951,0.0003618901636579025,189,0.08150319158648237,0.007541636510869101,0.00830773940919011,True
TCB,PLX,-0.003570924749605784,0.0334137992776214,0.006068227911021696,189,-0.0021946291128782324,0.056921821990597754,0.05621095328104308,False
PLX,TCB,-0.01575684263420471,0.028272179386515554,0.009657565749712117,189,0.0004770952693903596,0.05397943815650841,0.07610738381862683,False
HPG,PLX,-0.009177312664884984,0.027901004172171534,0.0005754944615779348,189,0.018505606143755016,0.03579928713809486,0.010852181275469627,False
MWG,PLX,-0.003226856140598608,0.026852012875322358,0.0017756763067990286,189,0.017155697953505078,0.04231978529908614,0.021553036551491656,False
VJC,BVH,0.005982514121613918,0.02591297435683906,0.04566910217308544,189,-0.0022308428924606937,0.03423397998870411,0.19524927892622762,True
BCM,BID,-0.10527925235158728,0.023812062206790843,0.07118639378227179,189,0.06699748122145573,0.04541455081717362,0.2551267379669899,False
VNM,VIB,0.013725335366319683,0.022634602074601516,0.019730893265060334,189,0.049547461051015526,0.03970223665424108,0.1211385074878123,True
VIB,GAS,-0.059824214487716146,0.02232465329979925,0.0010981085646128608,189,0.02315031242191141,0.03395858309558764,0.016805835423640305,False
VJC,GAS,-0.004896588447683262,0.021469729730463627,0.009326187639245658,189,0.04137219070638627,0.01758154906999189,0.07463451116983508,False
PLX,VIB,-0.003354390912684499,0.02104752719784991,0.12087304799786808,189,0.0071219123622487945,0.05026549841868123,0.3435853070871619,False
PDR,VIC,0.008781875609078081,0.02097486730846166,4.674012875646831e-08,189,0.04073847422084144,0.01453311075859776,1.2339393991707635e-05,True
VJC,VHM,0.0005561061085123704,0.020948322433286544,0.0572192842211825,189,0.08719128623980565,0.008286785774423181,0.22412500883585618,True
VHM,VRE,0.0007847184224026039,0.020547977053560748,3.7135292833441106e-05,189,0.055504689798927954,0.00900574572691024,0.0017049943144397308,True
VIB,PLX,-0.00020601111060828965,0.01997718410054076,0.00685276918528808,189,0.00921324339276942,0.033127462914927186,0.05882282392066575,False
GAS,FPT,-0.001008419339640798,0.019344901000232402,0.0620947416597136,189,0.040837100037303474,0.014593318466460387,0.23587067335488332,False
HPG,BVH,-0.000951951584576341,0.018980540196322022,0.02162937349030373,189,0.02206941201818452,0.026158772340658238,0.12977624094182236,False
STB,PLX,0.001093575983430628,0.018226141904482504,0.07127120047373298,189,0.026994822180864308,0.013117083751311728,0.2551267379669899,True
POW,SAB,-0.005565819967007914,0.01783472122341276,0.03863185611316534,189,0.028146285835856787,0.03644610230620308,0.18631356337959085,False
BVH,BCM,0.005986134972084513,0.017599530315488124,0.4975616766680045,189,0.07994636880730907,0.00903575927995692,0.6802667046827073,True
PLX,MBB,0.0013447919860011036,0.017569268263836615,0.0183310965921778,189,0.006498209235058528,0.030113643942789876,0.11522403572226046,True
MSN,PLX,-0.0016350358312512746,0.016835916628100443,0.00030687888496042884,189,0.006266345728822065,0.02767996567438681,0.007536374477167741,False
MSN,BVH,-0.026120938363994574,0.016824664473541574,0.0023357436855480055,189,0.009456489676278535,0.029414068198672517,0.026810275347159716,False
TPB,MSN,0.007662459869354472,0.016399955432936847,0.0015549157031118288,189,0.010071600928819069,0.019782131476390557,0.02052488728107614,True
VHM,NVL,0.012731574881205979,0.016197147370628617,0.15326999878239564,189,0.09632583942828601,0.001303277689106161,0.3843025301582242,True
VHM,VJC,0.019812456003857372,0.015517985559967893,0.0721015314555171,189,0.0544873242453965,0.006534029344892631,0.2563610007307275,True
VIC,VCB,0.026032199630385156,0.015082622426468269,0.45150797457592384,189,0.030515622503482286,-0.022509517345091556,0.6503385198033758,True
MWG,POW,-0.0023362678552795546,0.014614623000717893,0.12201648737134502,189,0.012479170627191071,0.010039328198557079,0.3435853070871619,False
GAS,BID,-0.022583153732932678,0.014462546814528071,0.07638251568070167,189,0.0744685483620969,0.014429739639994766,0.26450289844901326,False
TPB,SHB,0.0026450989091272316,0.014369308334004505,0.0001386522277970316,189,0.003297637518047236,0.023520173209302987,0.004436871289505011,True
VCB,VRE,-0.0030031534257675997,0.013983776947005299,0.003094467884839967,189,0.01618095348945442,0.01133204904863253,0.03334447026929597,False
BVH,VHM,0.0006021485820193553,0.01370031276565999,0.0012065819808412522,189,0.020180819279628524,0.004084500616780483,0.017218250969842735,True
ACB,PLX,0.001490590798452242,0.013637694177519095,0.0006595174508540062,189,0.0015968782784732017,0.02458393219203375,0.01151020861436639,True
MSN,VHM,0.0009698651285501292,0.01337344846463973,4.1872586603435824e-05,189,0.031281286482960836,0.007454818432769001,0.0017686980581291293,True
NVL,SHB,-0.0026346344743733035,0.013174690808192873,0.0037556974287440295,189,0.021851098121559165,0.004058056200379994,0.03850501441508442,False
STB,VCB,0.02684439969622779,0.01307389476090232,0.2256160902861107,189,0.06724117254582013,0.007180045365962817,0.4644261039807659,True
VPB,PLX,0.00011808840631908391,0.013030531356164209,0.0016990312042202407,189,0.009732914774599333,0.0193306761377375,0.020862522693681097,True
SSI,MBB,-0.003217332056334812,0.012853362047481911,0.0004233870280714553,189,0.018504842687992785,0.007603942697404285,0.009124422482519528,False
STB,BID,0.05286503588414031,0.012830277674987156,0.22720217218636224,189,0.05964795845137888,0.004143995371033163,0.46599857947074985,True
LPB,BCM,0.01333648281046854,0.012815031068720934,0.09113748177192933,189,-0.007670413115182883,0.01328597319565962,0.28988307455167883,True
NVL,TPB,-0.0007517488223405152,0.012719922547347523,0.005463886830883075,189,-0.0015800134390654863,0.013741321498988423,0.052934536636812184,False
VIB,BVH,-0.01099565408340246,0.01267796175817919,0.0010453904243126943,189,0.011034428736453628,0.02013791937081228,0.016476601314540377,False
VIB,PDR,-0.0025485916707141208,0.012645812548004518,0.10388387994986692,189,-0.0017005252037366803,0.019025904242420844,0.31797500645524485,False
BID,TCB,0.013434358946246852,0.012206878227465025,0.21482680801553278,189,-0.015221371930243888,0.025997723044036993,0.4537142185288052,True
